time,num,w_s,w_a
1728453405.61,0,1.14,284.0
1728453405.81,0,1.14,284.0
1728453406.01,0,1.14,284.0
1728453406.22,0,1.14,284.0
1728453407.43,3,1.43,280.0
1728453407.63,3,1.43,280.0
1728453407.84,3,1.43,280.0
1728453408.04,3,1.43,280.0
1728453408.24,3,1.43,280.0
1728453408.44,4,1.47,276.0
1728453408.64,4,1.47,276.0
1728453408.85,4,1.47,276.0
1728453409.05,4,1.47,276.0
1728453409.25,4,1.47,276.0
1728453409.45,5,1.61,287.0
1728453409.66,5,1.61,287.0
1728453409.86,5,1.61,287.0
1728453410.06,5,1.61,287.0
1728453410.26,5,1.61,287.0
1728453410.46,6,1.52,278.0
1728453410.66,6,1.52,278.0
1728453410.86,6,1.52,278.0
1728453411.06,6,1.52,278.0
1728453411.26,6,1.52,278.0
1728453411.47,7,1.51,279.0
1728453411.67,7,1.51,279.0
1728453411.87,7,1.51,279.0
1728453412.07,7,1.51,279.0
1728453412.27,7,1.51,279.0
1728453412.47,8,1.58,271.0
1728453412.67,8,1.58,271.0
1728453412.87,8,1.58,271.0
1728453413.07,8,1.58,271.0
1728453413.27,8,1.58,271.0
1728453413.47,9,1.58,289.0
1728453413.67,9,1.58,289.0
1728453413.88,9,1.58,289.0
1728453414.08,9,1.58,289.0
1728453414.28,9,1.58,289.0
1728453414.48,10,1.64,294.0
1728453414.68,10,1.64,294.0
1728453414.88,10,1.64,294.0
1728453415.08,10,1.64,294.0
1728453415.28,10,1.64,294.0
1728453415.48,11,1.69,277.0
1728453415.69,11,1.69,277.0
1728453415.89,11,1.69,277.0
1728453416.09,11,1.69,277.0
1728453416.29,11,1.69,277.0
1728453416.49,12,1.73,289.0
1728453416.7,12,1.73,289.0
1728453416.9,12,1.73,289.0
1728453417.1,12,1.73,289.0
1728453417.3,12,1.73,289.0
1728453417.5,13,1.84,283.0
1728453417.7,13,1.84,283.0
1728453417.9,13,1.84,283.0
1728453418.1,13,1.84,283.0
1728453418.3,13,1.84,283.0
1728453418.51,14,1.58,285.0
1728453418.71,14,1.58,285.0
1728453418.91,14,1.58,285.0
1728453419.11,14,1.58,285.0
1728453419.31,14,1.58,285.0
1728453419.51,15,1.68,283.0
1728453419.71,15,1.68,283.0
1728453419.92,15,1.68,283.0
1728453420.12,15,1.68,283.0
1728453420.32,15,1.68,283.0
1728453420.52,16,1.75,288.0
1728453420.72,16,1.75,288.0
1728453420.92,16,1.75,288.0
1728453421.12,16,1.75,288.0
1728453421.32,16,1.75,288.0
1728453421.52,17,1.57,282.0
1728453421.72,17,1.57,282.0
1728453421.92,17,1.57,282.0
1728453422.12,17,1.57,282.0
1728453422.32,17,1.57,282.0
1728453422.53,18,1.5,284.0
1728453422.73,18,1.5,284.0
1728453422.93,18,1.5,284.0
1728453423.13,18,1.5,284.0
1728453423.33,18,1.5,284.0
1728453423.53,19,1.53,281.0
1728453423.73,19,1.53,281.0
1728453423.93,19,1.53,281.0
1728453424.13,19,1.53,281.0
1728453424.33,19,1.53,281.0
1728453424.53,20,1.61,278.0
1728453424.73,20,1.61,278.0
1728453424.93,20,1.61,278.0
1728453425.13,20,1.61,278.0
1728453425.33,20,1.61,278.0
1728453425.53,21,1.38,272.0
1728453425.73,21,1.38,272.0
1728453425.93,21,1.38,272.0
1728453426.13,21,1.38,272.0
1728453426.34,21,1.38,272.0
1728453426.54,22,1.49,285.0
1728453426.74,22,1.49,285.0
1728453426.94,22,1.49,285.0
1728453427.14,22,1.49,285.0
1728453427.34,22,1.49,285.0
1728453427.54,23,1.21,278.0
1728453427.74,23,1.21,278.0
1728453427.94,23,1.21,278.0
1728453428.14,23,1.21,278.0
1728453428.34,23,1.21,278.0
1728453428.54,24,1.38,282.0
1728453428.74,24,1.38,282.0
1728453428.94,24,1.38,282.0
1728453429.14,24,1.38,282.0
1728453429.34,24,1.38,282.0
1728453429.55,25,1.09,284.0
1728453429.75,25,1.09,284.0
1728453429.95,25,1.09,284.0
1728453430.15,25,1.09,284.0
1728453430.35,25,1.09,284.0
1728453430.55,26,1.19,279.0
1728453430.75,26,1.19,279.0
1728453430.95,26,1.19,279.0
1728453431.15,26,1.19,279.0
1728453431.35,26,1.19,279.0
1728453431.55,27,1.28,281.0
1728453431.75,27,1.28,281.0
1728453431.95,27,1.28,281.0
1728453432.15,27,1.28,281.0
1728453432.35,27,1.28,281.0
1728453432.55,28,1.64,286.0
1728453432.75,28,1.64,286.0
1728453432.95,28,1.64,286.0
1728453433.16,28,1.64,286.0
1728453433.36,28,1.64,286.0
1728453433.56,29,1.89,283.0
1728453433.76,29,1.89,283.0
1728453433.96,29,1.89,283.0
1728453434.16,29,1.89,283.0
1728453434.36,29,1.89,283.0
1728453434.56,30,2.08,286.0
1728453434.76,30,2.08,286.0
1728453434.96,30,2.08,286.0
1728453435.16,30,2.08,286.0
1728453435.36,30,2.08,286.0
1728453435.56,31,2.06,277.0
