time,num,w_s,w_a
1728453348.1,1,0.0,144.0
1728453348.31,1,0.0,144.0
1728453348.51,1,0.0,144.0
1728453348.71,1,0.0,144.0
1728453349.92,4,0.0,144.0
1728453350.12,4,0.0,144.0
1728453350.32,4,0.0,144.0
1728453350.53,4,0.0,144.0
1728453350.73,4,0.0,144.0
1728453350.93,5,0.0,144.0
1728453351.13,5,0.0,144.0
1728453351.33,5,0.0,144.0
1728453351.53,5,0.0,144.0
1728453351.73,5,0.0,144.0
1728453351.93,6,0.0,144.0
1728453352.13,6,0.0,144.0
1728453352.33,6,0.0,144.0
1728453352.53,6,0.0,144.0
1728453352.73,6,0.0,144.0
1728453352.94,7,0.0,144.0
1728453353.14,7,0.0,144.0
1728453353.34,7,0.0,144.0
1728453353.54,7,0.0,144.0
1728453353.74,7,0.0,144.0
1728453353.94,8,0.0,144.0
1728453354.14,8,0.0,144.0
1728453354.34,8,0.0,144.0
1728453354.54,8,0.0,144.0
1728453354.75,8,0.0,144.0
1728453354.95,9,0.0,144.0
1728453355.15,9,0.0,144.0
1728453355.35,9,0.0,144.0
1728453355.55,9,0.0,144.0
1728453355.75,9,0.0,144.0
1728453355.96,10,0.0,144.0
1728453356.16,10,0.0,144.0
1728453356.36,10,0.0,144.0
1728453356.56,10,0.0,144.0
1728453356.76,10,0.0,144.0
1728453356.97,11,0.0,144.0
1728453357.17,11,0.0,144.0
1728453357.37,11,0.0,144.0
1728453357.57,11,0.0,144.0
1728453357.77,11,0.0,144.0
1728453357.98,12,0.0,144.0
1728453358.18,12,0.0,144.0
1728453358.38,12,0.0,144.0
1728453358.58,12,0.0,144.0
1728453358.78,12,0.0,144.0
1728453358.99,13,0.0,144.0
1728453359.19,13,0.0,144.0
1728453359.39,13,0.0,144.0
1728453359.59,13,0.0,144.0
1728453359.79,13,0.0,144.0
1728453359.99,14,0.0,144.0
1728453360.19,14,0.0,144.0
1728453360.4,14,0.0,144.0
1728453360.6,14,0.0,144.0
1728453360.8,14,0.0,144.0
1728453361.0,15,0.0,144.0
1728453361.2,15,0.0,144.0
1728453361.4,15,0.0,144.0
1728453361.6,15,0.0,144.0
1728453361.8,15,0.0,144.0
1728453362.0,16,0.0,144.0
1728453362.2,16,0.0,144.0
1728453362.4,16,0.0,144.0
1728453362.6,16,0.0,144.0
1728453362.8,16,0.0,144.0
1728453363.0,17,0.0,144.0
1728453363.2,17,0.0,144.0
1728453363.4,17,0.0,144.0
1728453363.61,17,0.0,144.0
1728453363.81,17,0.0,144.0
1728453364.01,18,1.22,243.0
1728453364.21,18,1.22,243.0
1728453364.41,18,1.22,243.0
1728453364.61,18,1.22,243.0
1728453364.81,18,1.22,243.0
1728453365.01,19,1.13,249.0
1728453365.21,19,1.13,249.0
1728453365.41,19,1.13,249.0
1728453365.61,19,1.13,249.0
1728453365.81,19,1.13,249.0
1728453366.01,20,0.0,245.0
1728453366.21,20,0.0,245.0
1728453366.41,20,0.0,245.0
1728453366.61,20,0.0,245.0
1728453366.81,20,0.0,245.0
1728453367.02,21,0.77,267.0
1728453367.22,21,0.77,267.0
1728453367.42,21,0.77,267.0
1728453367.62,21,0.77,267.0
1728453367.82,21,0.77,267.0
1728453368.02,22,1.13,245.0
1728453368.22,22,1.13,245.0
1728453368.42,22,1.13,245.0
1728453368.62,22,1.13,245.0
1728453368.82,22,1.13,245.0
1728453369.02,23,1.16,235.0
1728453369.22,23,1.16,235.0
1728453369.42,23,1.16,235.0
1728453369.62,23,1.16,235.0
1728453369.82,23,1.16,235.0
1728453370.02,24,1.4,233.0
1728453370.22,24,1.4,233.0
1728453370.42,24,1.4,233.0
1728453370.62,24,1.4,233.0
1728453370.83,24,1.4,233.0
1728453371.03,25,1.52,235.0
1728453371.23,25,1.52,235.0
1728453371.43,25,1.52,235.0
1728453371.63,25,1.52,235.0
1728453371.83,25,1.52,235.0
1728453372.03,26,1.47,241.0
1728453372.23,26,1.47,241.0
1728453372.43,26,1.47,241.0
1728453372.63,26,1.47,241.0
1728453372.83,26,1.47,241.0
1728453373.03,27,1.36,230.0
1728453373.23,27,1.36,230.0
1728453373.43,27,1.36,230.0
1728453373.63,27,1.36,230.0
1728453373.83,27,1.36,230.0
1728453374.04,28,1.93,241.0
1728453374.24,28,1.93,241.0
1728453374.44,28,1.93,241.0
1728453374.64,28,1.93,241.0
1728453374.84,28,1.93,241.0
1728453375.04,29,1.74,231.0
1728453375.24,29,1.74,231.0
1728453375.44,29,1.74,231.0
1728453375.64,29,1.74,231.0
1728453375.84,29,1.74,231.0
1728453376.04,30,2.13,229.0
1728453376.24,30,2.13,229.0
1728453376.44,30,2.13,229.0
1728453376.64,30,2.13,229.0
1728453376.84,30,2.13,229.0
1728453377.04,31,1.87,193.0
1728453377.24,31,1.87,193.0
1728453377.44,31,1.87,193.0
1728453377.64,31,1.87,193.0
1728453377.85,31,1.87,193.0
1728453378.05,32,2.48,195.0
1728453378.25,32,2.48,195.0
1728453378.45,32,2.48,195.0
1728453378.65,32,2.48,195.0
1728453378.85,32,2.48,195.0
1728453379.05,33,2.65,176.0
1728453379.25,33,2.65,176.0
1728453379.45,33,2.65,176.0
1728453379.65,33,2.65,176.0
1728453379.85,33,2.65,176.0
1728453380.05,34,2.33,176.0
1728453380.25,34,2.33,176.0
1728453380.45,34,2.33,176.0
1728453380.65,34,2.33,176.0
1728453380.86,34,2.33,176.0
1728453381.06,35,2.26,183.0
1728453381.26,35,2.26,183.0
1728453381.46,35,2.26,183.0
1728453381.66,35,2.26,183.0
1728453381.86,35,2.26,183.0
1728453382.06,36,2.45,186.0
