time,num,w_s,w_a
1728970797.56,0,0.0,43.0
1728970797.76,0,0.0,43.0
1728970797.96,0,0.0,43.0
1728970798.17,0,0.0,43.0
1728970798.37,1,0.0,43.0
1728970798.57,1,0.0,43.0
1728970798.78,1,0.0,43.0
1728970798.98,1,0.0,43.0
1728970799.18,1,0.0,43.0
1728970799.39,2,0.8,27.0
1728970799.59,2,0.8,27.0
1728970799.79,2,0.8,27.0
1728970799.99,2,0.8,27.0
1728970800.19,2,0.8,27.0
1728970800.4,3,0.8,28.0
1728970800.6,3,0.8,28.0
1728970800.8,3,0.8,28.0
1728970801.01,3,0.8,28.0
1728970801.21,3,0.8,28.0
1728970801.41,4,0.9,30.0
1728970801.61,4,0.9,30.0
1728970801.82,4,0.9,30.0
1728970802.02,4,0.9,30.0
1728970802.22,4,0.9,30.0
1728970802.42,5,0.7,28.0
1728970802.62,5,0.7,28.0
1728970802.82,5,0.7,28.0
1728970803.02,5,0.7,28.0
1728970803.22,5,0.7,28.0
1728970803.42,6,0.8,28.0
1728970803.62,6,0.8,28.0
1728970803.82,6,0.8,28.0
1728970804.02,6,0.8,28.0
1728970804.22,6,0.8,28.0
1728970804.42,7,0.8,30.0
1728970804.62,7,0.8,30.0
1728970804.82,7,0.8,30.0
1728970805.02,7,0.8,30.0
1728970805.23,7,0.8,30.0
1728970805.43,8,0.7,28.0
1728970805.63,8,0.7,28.0
1728970805.83,8,0.7,28.0
1728970806.03,8,0.7,28.0
1728970806.23,8,0.7,28.0
1728970806.43,9,0.0,28.0
1728970806.63,9,0.0,28.0
1728970806.83,9,0.0,28.0
1728970807.03,9,0.0,28.0
1728970807.23,9,0.0,28.0
1728970807.43,10,0.0,28.0
1728970807.63,10,0.0,28.0
1728970807.83,10,0.0,28.0
1728970808.03,10,0.0,28.0
1728970808.23,10,0.0,28.0
1728970808.43,11,0.0,28.0
1728970808.63,11,0.0,28.0
1728970808.84,11,0.0,28.0
1728970809.04,11,0.0,28.0
1728970809.24,11,0.0,28.0
1728970809.44,12,0.0,30.0
1728970809.64,12,0.0,30.0
1728970809.84,12,0.0,30.0
1728970810.04,12,0.0,30.0
1728970810.24,12,0.0,30.0
1728970810.44,13,0.0,30.0
1728970810.64,13,0.0,30.0
1728970810.84,13,0.0,30.0
1728970811.04,13,0.0,30.0
1728970811.24,13,0.0,30.0
1728970811.44,14,0.0,30.0
1728970811.64,14,0.0,30.0
1728970811.84,14,0.0,30.0
1728970812.04,14,0.0,30.0
1728970812.25,14,0.0,30.0
1728970812.45,15,0.0,30.0
1728970812.65,15,0.0,30.0
1728970812.86,15,0.0,30.0
1728970813.06,15,0.0,30.0
1728970813.26,15,0.0,30.0
1728970813.46,16,0.0,30.0
1728970813.67,16,0.0,30.0
1728970813.87,16,0.0,30.0
1728970814.07,16,0.0,30.0
1728970814.27,16,0.0,30.0
1728970814.48,17,0.0,30.0
1728970814.68,17,0.0,30.0
1728970814.88,17,0.0,30.0
1728970815.08,17,0.0,30.0
1728970815.28,17,0.0,30.0
1728970815.49,18,0.0,30.0
1728970815.69,18,0.0,30.0
1728970815.89,18,0.0,30.0
1728970816.09,18,0.0,30.0
1728970816.3,18,0.0,30.0
1728970816.5,19,1.4,28.0
1728970816.7,19,1.4,28.0
1728970816.91,19,1.4,28.0
1728970817.11,19,1.4,28.0
1728970817.31,19,1.4,28.0
1728970817.51,20,1.4,22.0
1728970817.72,20,1.4,22.0
1728970817.92,20,1.4,22.0
1728970818.12,20,1.4,22.0
1728970818.32,20,1.4,22.0
1728970818.53,21,0.8,22.0
1728970818.73,21,0.8,22.0
1728970818.93,21,0.8,22.0
1728970819.13,21,0.8,22.0
1728970819.34,21,0.8,22.0
1728970819.54,22,1.6,1.0
1728970819.74,22,1.6,1.0
1728970819.95,22,1.6,1.0
1728970820.15,22,1.6,1.0
1728970820.35,22,1.6,1.0
1728970820.56,23,3.8,1.0
1728970820.76,23,3.8,1.0
1728970820.96,23,3.8,1.0
1728970821.16,23,3.8,1.0
1728970821.37,23,3.8,1.0
1728970821.57,24,5.8,8.0
1728970821.77,24,5.8,8.0
1728970821.97,24,5.8,8.0
1728970822.17,24,5.8,8.0
1728970822.38,24,5.8,8.0
1728970822.58,25,6.6,9.0
1728970822.78,25,6.6,9.0
1728970822.99,25,6.6,9.0
1728970823.19,25,6.6,9.0
1728970823.39,25,6.6,9.0
1728970823.59,26,4.2,11.0
1728970823.8,26,4.2,11.0
1728970824.0,26,4.2,11.0
1728970824.2,26,4.2,11.0
1728970824.4,26,4.2,11.0
1728970824.61,27,3.9,13.0
1728970824.81,27,3.9,13.0
1728970825.01,27,3.9,13.0
1728970825.21,27,3.9,13.0
1728970825.41,27,3.9,13.0
1728970825.62,28,3.1,21.0
1728970825.82,28,3.1,21.0
1728970826.02,28,3.1,21.0
1728970826.23,28,3.1,21.0
1728970826.43,28,3.1,21.0
1728970826.63,29,2.7,25.0
1728970826.84,29,2.7,25.0
1728970827.04,29,2.7,25.0
1728970827.24,29,2.7,25.0
1728970827.44,29,2.7,25.0
1728970827.65,30,2.3,31.0
1728970827.85,30,2.3,31.0
1728970828.05,30,2.3,31.0
1728970828.26,30,2.3,31.0
1728970828.46,30,2.3,31.0
1728970828.66,31,2.3,38.0
1728970828.87,31,2.3,38.0
1728970829.07,31,2.3,38.0
1728970829.27,31,2.3,38.0
1728970829.53,31,2.3,38.0
1728970829.73,32,2.0,41.0
1728970829.93,32,2.0,41.0
1728970830.13,32,2.0,41.0
1728970830.33,32,2.0,41.0
1728970830.53,32,2.0,41.0
1728970830.73,33,1.8,40.0
1728970830.94,33,1.8,40.0
1728970831.14,33,1.8,40.0
1728970831.34,33,1.8,40.0
1728970831.54,33,1.8,40.0
1728970831.75,34,1.6,41.0
1728970831.95,34,1.6,41.0
1728970832.15,34,1.6,41.0
1728970832.35,34,1.6,41.0
1728970832.55,34,1.6,41.0
1728970832.75,35,1.7,38.0
1728970832.95,35,1.7,38.0
1728970833.15,35,1.7,38.0
1728970833.35,35,1.7,38.0
1728970833.55,35,1.7,38.0
1728970833.75,36,1.6,49.0
1728970833.96,36,1.6,49.0
1728970834.16,36,1.6,49.0
1728970834.36,36,1.6,49.0
1728970834.56,36,1.6,49.0
1728970834.76,37,1.8,44.0
1728970834.96,37,1.8,44.0
1728970835.16,37,1.8,44.0
1728970835.36,37,1.8,44.0
1728970835.56,37,1.8,44.0
1728970835.76,38,1.8,38.0
1728970835.96,38,1.8,38.0
1728970836.16,38,1.8,38.0
1728970836.36,38,1.8,38.0
1728970836.56,38,1.8,38.0
1728970836.77,39,1.8,37.0
1728970836.97,39,1.8,37.0
1728970837.17,39,1.8,37.0
1728970837.37,39,1.8,37.0
1728970837.57,39,1.8,37.0
1728970837.77,40,1.6,39.0
1728970837.97,40,1.6,39.0
1728970838.17,40,1.6,39.0
1728970838.38,40,1.6,39.0
1728970838.58,40,1.6,39.0
1728970838.78,41,1.7,34.0
1728970838.98,41,1.7,34.0
1728970839.18,41,1.7,34.0
1728970839.38,41,1.7,34.0
1728970839.58,41,1.7,34.0
1728970839.78,42,1.9,31.0
1728970839.98,42,1.9,31.0
1728970840.18,42,1.9,31.0
1728970840.38,42,1.9,31.0
1728970840.58,42,1.9,31.0
1728970840.78,43,1.8,27.0
1728970840.99,43,1.8,27.0
1728970841.19,43,1.8,27.0
1728970841.39,43,1.8,27.0
1728970841.59,43,1.8,27.0
1728970841.79,44,0.9,26.0
1728970841.99,44,0.9,26.0
1728970842.19,44,0.9,26.0
1728970842.39,44,0.9,26.0
1728970842.59,44,0.9,26.0
1728970842.79,45,0.9,31.0
1728970842.99,45,0.9,31.0
1728970843.19,45,0.9,31.0
1728970843.39,45,0.9,31.0
1728970843.59,45,0.9,31.0
1728970843.79,46,1.6,42.0
1728970843.99,46,1.6,42.0
1728970844.19,46,1.6,42.0
1728970844.39,46,1.6,42.0
1728970844.59,46,1.6,42.0
1728970844.8,47,1.6,37.0
1728970845.0,47,1.6,37.0
1728970845.2,47,1.6,37.0
1728970845.4,47,1.6,37.0
1728970845.6,47,1.6,37.0
1728970845.8,48,1.5,31.0
1728970846.0,48,1.5,31.0
1728970846.2,48,1.5,31.0
1728970846.4,48,1.5,31.0
1728970846.6,48,1.5,31.0
1728970846.8,49,1.9,35.0
1728970847.0,49,1.9,35.0
1728970847.2,49,1.9,35.0
1728970847.4,49,1.9,35.0
1728970847.6,49,1.9,35.0
1728970847.8,50,1.6,27.0
1728970848.0,50,1.6,27.0
1728970848.2,50,1.6,27.0
1728970848.4,50,1.6,27.0
1728970848.6,50,1.6,27.0
1728970848.81,51,0.9,30.0
1728970849.01,51,0.9,30.0
1728970849.21,51,0.9,30.0
1728970849.41,51,0.9,30.0
1728970849.61,51,0.9,30.0
1728970849.81,52,1.6,28.0
1728970850.01,52,1.6,28.0
1728970850.21,52,1.6,28.0
1728970850.41,52,1.6,28.0
