time,num,w_s,w_a
1728970829.34,0,1.8,93.0
1728970829.54,0,1.8,93.0
1728970829.74,0,1.8,93.0
1728970829.94,0,1.8,93.0
1728970830.15,1,1.9,95.0
1728970830.35,1,1.9,95.0
1728970830.55,1,1.9,95.0
1728970830.75,1,1.9,95.0
1728970830.95,1,1.9,95.0
1728970831.15,2,1.8,89.0
1728970831.35,2,1.8,89.0
1728970831.55,2,1.8,89.0
1728970831.75,2,1.8,89.0
1728970831.95,2,1.8,89.0
1728970832.15,3,1.8,86.0
1728970832.35,3,1.8,86.0
1728970832.55,3,1.8,86.0
1728970832.75,3,1.8,86.0
1728970832.95,3,1.8,86.0
1728970833.15,4,2.6,99.0
1728970833.35,4,2.6,99.0
1728970833.55,4,2.6,99.0
1728970833.76,4,2.6,99.0
1728970833.96,4,2.6,99.0
1728970834.16,5,2.8,98.0
1728970834.36,5,2.8,98.0
1728970834.56,5,2.8,98.0
1728970834.76,5,2.8,98.0
1728970834.96,5,2.8,98.0
1728970835.16,6,3.0,99.0
1728970835.36,6,3.0,99.0
1728970835.56,6,3.0,99.0
1728970835.76,6,3.0,99.0
1728970835.96,6,3.0,99.0
1728970836.16,7,3.1,102.0
1728970836.37,7,3.1,102.0
1728970836.57,7,3.1,102.0
1728970836.77,7,3.1,102.0
1728970836.97,7,3.1,102.0
1728970837.17,8,3.1,96.0
1728970837.37,8,3.1,96.0
1728970837.57,8,3.1,96.0
1728970837.77,8,3.1,96.0
1728970837.97,8,3.1,96.0
1728970838.17,9,3.0,95.0
1728970838.37,9,3.0,95.0
1728970838.57,9,3.0,95.0
1728970838.77,9,3.0,95.0
1728970838.97,9,3.0,95.0
1728970839.17,10,3.2,93.0
1728970839.37,10,3.2,93.0
1728970839.57,10,3.2,93.0
1728970839.77,10,3.2,93.0
1728970839.97,10,3.2,93.0
1728970840.18,11,2.7,100.0
1728970840.38,11,2.7,100.0
1728970840.58,11,2.7,100.0
1728970840.78,11,2.7,100.0
1728970840.98,11,2.7,100.0
1728970841.18,12,2.9,98.0
1728970841.38,12,2.9,98.0
1728970841.58,12,2.9,98.0
1728970841.78,12,2.9,98.0
1728970841.98,12,2.9,98.0
1728970842.18,13,2.6,97.0
1728970842.38,13,2.6,97.0
1728970842.58,13,2.6,97.0
1728970842.78,13,2.6,97.0
1728970842.98,13,2.6,97.0
1728970843.18,14,2.7,98.0
1728970843.38,14,2.7,98.0
1728970843.58,14,2.7,98.0
1728970843.78,14,2.7,98.0
1728970843.98,14,2.7,98.0
1728970844.18,15,2.8,101.0
1728970844.39,15,2.8,101.0
1728970844.59,15,2.8,101.0
1728970844.79,15,2.8,101.0
1728970844.99,15,2.8,101.0
1728970845.19,16,2.7,103.0
1728970845.39,16,2.7,103.0
1728970845.59,16,2.7,103.0
1728970845.79,16,2.7,103.0
1728970845.99,16,2.7,103.0
1728970846.19,17,2.4,103.0
1728970846.39,17,2.4,103.0
1728970846.59,17,2.4,103.0
1728970846.79,17,2.4,103.0
1728970846.99,17,2.4,103.0
1728970847.19,18,2.1,96.0
1728970847.39,18,2.1,96.0
1728970847.59,18,2.1,96.0
1728970847.79,18,2.1,96.0
1728970847.99,18,2.1,96.0
1728970848.2,19,2.4,93.0
1728970848.4,19,2.4,93.0
1728970848.6,19,2.4,93.0
1728970848.8,19,2.4,93.0
1728970849.0,19,2.4,93.0
1728970849.2,20,2.6,93.0
1728970849.4,20,2.6,93.0
1728970849.6,20,2.6,93.0
1728970849.8,20,2.6,93.0
1728970850.0,20,2.6,93.0
1728970850.2,21,2.7,96.0
1728970850.4,21,2.7,96.0
1728970850.6,21,2.7,96.0
1728970850.8,21,2.7,96.0
1728970851.0,21,2.7,96.0
1728970851.2,22,2.8,99.0
1728970851.4,22,2.8,99.0
1728970851.6,22,2.8,99.0
1728970851.8,22,2.8,99.0
1728970852.0,22,2.8,99.0
1728970852.2,23,2.2,100.0
1728970852.41,23,2.2,100.0
1728970852.61,23,2.2,100.0
1728970852.81,23,2.2,100.0
1728970853.01,23,2.2,100.0
1728970853.21,24,2.3,99.0
1728970853.41,24,2.3,99.0
1728970853.61,24,2.3,99.0
1728970853.81,24,2.3,99.0
1728970854.01,24,2.3,99.0
1728970854.21,25,2.2,100.0
1728970854.41,25,2.2,100.0
1728970854.61,25,2.2,100.0
1728970854.81,25,2.2,100.0
1728970855.01,25,2.2,100.0
1728970855.21,26,2.4,100.0
1728970855.41,26,2.4,100.0
1728970855.61,26,2.4,100.0
1728970855.81,26,2.4,100.0
1728970856.01,26,2.4,100.0
1728970856.21,27,2.8,102.0
1728970856.41,27,2.8,102.0
1728970856.61,27,2.8,102.0
1728970856.82,27,2.8,102.0
1728970857.02,27,2.8,102.0
1728970857.22,28,2.9,102.0
1728970857.42,28,2.9,102.0
1728970857.62,28,2.9,102.0
1728970857.82,28,2.9,102.0
1728970858.02,28,2.9,102.0
1728970858.22,29,2.6,98.0
1728970858.42,29,2.6,98.0
1728970858.62,29,2.6,98.0
1728970858.82,29,2.6,98.0
1728970859.02,29,2.6,98.0
1728970859.22,30,2.5,101.0
1728970859.42,30,2.5,101.0
1728970859.62,30,2.5,101.0
1728970859.82,30,2.5,101.0
1728970860.02,30,2.5,101.0
1728970860.22,31,2.1,118.0
1728970860.42,31,2.1,118.0
1728970860.62,31,2.1,118.0
1728970860.82,31,2.1,118.0
1728970861.03,31,2.1,118.0
1728970861.23,32,2.0,119.0
1728970861.43,32,2.0,119.0
1728970861.63,32,2.0,119.0
1728970861.83,32,2.0,119.0
1728970862.03,32,2.0,119.0
1728970862.23,33,2.1,95.0
1728970862.43,33,2.1,95.0
1728970862.63,33,2.1,95.0
1728970862.83,33,2.1,95.0
1728970863.03,33,2.1,95.0
1728970863.23,34,2.4,101.0
1728970863.44,34,2.4,101.0
1728970863.64,34,2.4,101.0
1728970863.84,34,2.4,101.0
1728970864.04,34,2.4,101.0
1728970864.24,35,2.8,99.0
1728970864.44,35,2.8,99.0
1728970864.64,35,2.8,99.0
1728970864.84,35,2.8,99.0
1728970865.04,35,2.8,99.0
1728970865.24,36,3.5,94.0
1728970865.44,36,3.5,94.0
1728970865.64,36,3.5,94.0
1728970865.84,36,3.5,94.0
1728970866.04,36,3.5,94.0
1728970866.24,37,4.2,84.0
1728970866.44,37,4.2,84.0
1728970866.64,37,4.2,84.0
1728970866.84,37,4.2,84.0
1728970867.05,37,4.2,84.0
1728970867.25,38,4.1,84.0
1728970867.45,38,4.1,84.0
1728970867.65,38,4.1,84.0
1728970867.85,38,4.1,84.0
1728970868.05,38,4.1,84.0
1728970868.25,39,4.2,81.0
1728970868.45,39,4.2,81.0
1728970868.65,39,4.2,81.0
1728970868.85,39,4.2,81.0
1728970869.05,39,4.2,81.0
1728970869.25,40,4.0,83.0
1728970869.45,40,4.0,83.0
1728970869.65,40,4.0,83.0
1728970869.85,40,4.0,83.0
1728970870.05,40,4.0,83.0
1728970870.25,41,3.8,92.0
1728970870.46,41,3.8,92.0
1728970870.66,41,3.8,92.0
1728970870.86,41,3.8,92.0
1728970871.06,41,3.8,92.0
1728970871.26,42,3.5,103.0
1728970871.46,42,3.5,103.0
1728970871.66,42,3.5,103.0
1728970871.86,42,3.5,103.0
1728970872.06,42,3.5,103.0
1728970872.26,43,2.8,98.0
1728970872.46,43,2.8,98.0
1728970872.66,43,2.8,98.0
1728970872.86,43,2.8,98.0
1728970873.06,43,2.8,98.0
1728970873.26,44,2.7,64.0
1728970873.47,44,2.7,64.0
1728970873.67,44,2.7,64.0
1728970873.87,44,2.7,64.0
1728970874.07,44,2.7,64.0
1728970874.27,45,2.5,51.0
1728970874.47,45,2.5,51.0
1728970874.67,45,2.5,51.0
1728970874.87,45,2.5,51.0
1728970875.07,45,2.5,51.0
1728970875.27,46,2.8,52.0
1728970875.47,46,2.8,52.0
1728970875.67,46,2.8,52.0
1728970875.87,46,2.8,52.0
1728970876.07,46,2.8,52.0
1728970876.27,47,4.8,41.0
1728970876.47,47,4.8,41.0
1728970876.67,47,4.8,41.0
1728970876.87,47,4.8,41.0
1728970877.07,47,4.8,41.0
1728970877.28,48,5.8,39.0
1728970877.48,48,5.8,39.0
1728970877.68,48,5.8,39.0
1728970877.88,48,5.8,39.0
1728970878.08,48,5.8,39.0
1728970878.28,49,5.1,46.0
1728970878.48,49,5.1,46.0
1728970878.68,49,5.1,46.0
1728970878.88,49,5.1,46.0
1728970879.08,49,5.1,46.0
1728970879.28,50,6.1,46.0
1728970879.48,50,6.1,46.0
1728970879.68,50,6.1,46.0
1728970879.88,50,6.1,46.0
1728970880.08,50,6.1,46.0
1728970880.28,51,7.8,34.0
1728970880.48,51,7.8,34.0
1728970880.68,51,7.8,34.0
1728970880.89,51,7.8,34.0
1728970881.09,51,7.8,34.0
1728970881.29,52,9.4,24.0
1728970881.49,52,9.4,24.0
1728970881.69,52,9.4,24.0
1728970881.89,52,9.4,24.0
1728970882.09,52,9.4,24.0
1728970882.29,53,9.4,22.0
1728970882.49,53,9.4,22.0
1728970882.69,53,9.4,22.0
1728970882.89,53,9.4,22.0
1728970883.09,53,9.4,22.0
1728970883.29,54,8.9,19.0
1728970883.49,54,8.9,19.0
1728970883.69,54,8.9,19.0
1728970883.89,54,8.9,19.0
1728970884.1,54,8.9,19.0
1728970884.3,55,7.4,18.0
1728970884.5,55,7.4,18.0
1728970884.7,55,7.4,18.0
1728970884.9,55,7.4,18.0
1728970885.1,55,7.4,18.0
1728970885.3,56,5.8,19.0
1728970885.5,56,5.8,19.0
1728970885.7,56,5.8,19.0
1728970885.9,56,5.8,19.0
1728970886.1,56,5.8,19.0
1728970886.3,57,3.9,12.0
