time,num,w_s,w_a
1728970834.9,0,1.6,166.0
1728970835.1,0,1.6,166.0
1728970835.31,0,1.6,166.0
1728970835.51,0,1.6,166.0
1728970835.71,1,1.7,167.0
1728970835.91,1,1.7,167.0
1728970836.11,1,1.7,167.0
1728970836.31,1,1.7,167.0
1728970836.51,1,1.7,167.0
1728970836.71,2,1.7,167.0
1728970836.91,2,1.7,167.0
1728970837.11,2,1.7,167.0
1728970837.31,2,1.7,167.0
1728970837.51,2,1.7,167.0
1728970837.71,3,1.7,163.0
1728970837.91,3,1.7,163.0
1728970838.11,3,1.7,163.0
1728970838.31,3,1.7,163.0
1728970838.51,3,1.7,163.0
1728970838.71,4,1.7,163.0
1728970838.92,4,1.7,163.0
1728970839.12,4,1.7,163.0
1728970839.32,4,1.7,163.0
1728970839.52,4,1.7,163.0
1728970839.72,5,1.8,169.0
1728970839.92,5,1.8,169.0
1728970840.12,5,1.8,169.0
1728970840.32,5,1.8,169.0
1728970840.52,5,1.8,169.0
1728970840.72,6,1.8,169.0
1728970840.92,6,1.8,169.0
1728970841.12,6,1.8,169.0
1728970841.32,6,1.8,169.0
1728970841.52,6,1.8,169.0
1728970841.72,7,1.4,162.0
1728970841.92,7,1.4,162.0
1728970842.12,7,1.4,162.0
1728970842.32,7,1.4,162.0
1728970842.52,7,1.4,162.0
1728970842.73,8,1.5,159.0
1728970842.93,8,1.5,159.0
1728970843.13,8,1.5,159.0
1728970843.33,8,1.5,159.0
1728970843.53,8,1.5,159.0
1728970843.73,9,0.9,155.0
1728970843.93,9,0.9,155.0
1728970844.13,9,0.9,155.0
1728970844.33,9,0.9,155.0
1728970844.53,9,0.9,155.0
1728970844.73,10,0.9,150.0
1728970844.93,10,0.9,150.0
1728970845.13,10,0.9,150.0
1728970845.33,10,0.9,150.0
1728970845.53,10,0.9,150.0
1728970845.73,11,0.8,153.0
1728970845.93,11,0.8,153.0
1728970846.13,11,0.8,153.0
1728970846.33,11,0.8,153.0
1728970846.53,11,0.8,153.0
1728970846.73,12,0.8,152.0
1728970846.94,12,0.8,152.0
1728970847.14,12,0.8,152.0
1728970847.34,12,0.8,152.0
1728970847.54,12,0.8,152.0
1728970847.74,13,0.8,151.0
1728970847.94,13,0.8,151.0
1728970848.14,13,0.8,151.0
1728970848.34,13,0.8,151.0
1728970848.54,13,0.8,151.0
1728970848.74,14,0.9,159.0
1728970848.94,14,0.9,159.0
1728970849.14,14,0.9,159.0
1728970849.34,14,0.9,159.0
1728970849.54,14,0.9,159.0
1728970849.74,15,1.5,160.0
1728970849.94,15,1.5,160.0
1728970850.14,15,1.5,160.0
1728970850.34,15,1.5,160.0
1728970850.54,15,1.5,160.0
