time,num,w_s,w_a
0.504280090332,0,0.0,0.0
0.704765081406,0,0.0,0.0
0.905297040939,0,0.0,0.0
1.1057741642,0,0.0,0.0
1.40668201447,1,0.0,0.0
1.60750508308,1,0.0,0.0
1.80802416801,1,0.0,0.0
2.00852203369,1,0.0,0.0
2.209015131,1,0.0,0.0
2.50996398926,2,0.0,0.0
2.7104511261,2,0.0,0.0
2.91096901894,2,0.0,0.0
3.11149501801,2,0.0,0.0
3.31202197075,2,0.0,0.0
3.61296010017,3,0.0,0.0
3.81336307526,3,0.0,0.0
4.01385498047,3,0.0,0.0
4.21439003944,3,0.0,0.0
4.41492319107,3,0.0,0.0
4.71585512161,4,0.0,0.0
4.91624498367,4,0.0,0.0
5.11673903465,4,0.0,0.0
5.31718611717,4,0.0,0.0
5.51766014099,4,0.0,0.0
5.81852698326,5,0.0,0.0
6.0189909935,5,0.0,0.0
6.2194890976,5,0.0,0.0
6.42000818253,5,0.0,0.0
6.6204431057,5,0.0,0.0
6.92475199699,6,0.0,0.0
7.12518000603,6,0.0,0.0
7.32560801506,6,0.0,0.0
7.52603602409,6,0.0,0.0
7.72646617889,6,0.0,0.0
8.02736711502,7,0.0,0.0
8.22784900665,7,0.0,0.0
8.42837405205,7,0.0,0.0
8.6288831234,7,0.0,0.0
8.82948517799,7,0.0,0.0
9.13036298752,8,0.0,0.0
9.33074998856,8,0.0,0.0
9.53118801117,8,0.0,0.0
9.73160815239,8,0.0,0.0
9.93209695816,8,0.0,0.0
10.2331931591,9,0.0,0.0
10.4342560768,9,0.0,0.0
10.6366791725,9,0.0,0.0
10.8394160271,9,0.0,0.0
11.041052103,9,0.0,0.0
11.3420319557,10,0.0,0.0
11.5424151421,10,0.0,0.0
11.742882967,10,0.0,0.0
11.9433121681,10,0.0,0.0
12.1438000202,10,0.0,0.0
12.4451739788,11,0.0,0.0
12.6456151009,11,0.0,0.0
12.8460161686,11,0.0,0.0
13.0468020439,11,0.0,0.0
13.2487399578,11,0.0,0.0
13.5536711216,12,0.0,0.0
13.7559840679,12,0.0,0.0
13.9586670399,12,0.0,0.0
14.1613991261,12,0.0,0.0
14.3637311459,12,0.0,0.0
14.6670780182,13,0.0,0.0
14.8688390255,13,0.0,0.0
15.0712780952,13,0.0,0.0
15.2734761238,13,0.0,0.0
15.4758410454,13,0.0,0.0
15.7816469669,14,0.0,0.0
15.9837880135,14,0.0,0.0
16.1864759922,14,0.0,0.0
16.3885819912,14,0.0,0.0
16.5913441181,14,0.0,0.0
16.8960430622,15,0.0,0.0
17.0981550217,15,0.0,0.0
17.2986521721,15,0.0,0.0
17.4991149902,15,0.0,0.0
17.6995360851,15,0.0,0.0
18.0027890205,16,0.0,0.0
18.2045459747,16,0.0,0.0
18.4072241783,16,0.0,0.0
18.6093530655,16,0.0,0.0
18.8114130497,16,0.0,0.0
19.1165959835,17,0.0,0.0
19.3191330433,17,0.0,0.0
19.5216159821,17,0.0,0.0
19.7234270573,17,0.0,0.0
19.9243371487,17,0.0,0.0
20.2287650108,18,0.0,0.0
20.4310040474,18,0.0,0.0
20.6326601505,18,0.0,0.0
20.8354980946,18,0.0,0.0
21.0376250744,18,0.0,0.0
21.3428590298,19,0.0,0.0
21.5453491211,19,0.0,0.0
21.7472569942,19,0.0,0.0
21.9492959976,19,0.0,0.0
22.1517159939,19,0.0,0.0
22.4565579891,20,0.0,0.0
22.6592521667,20,0.0,0.0
22.8614690304,20,0.0,0.0
23.0637080669,20,0.0,0.0
23.2664120197,20,0.0,0.0
23.5715761185,21,0.0,0.0
23.7741031647,21,0.0,0.0
23.976279974,21,0.0,0.0
24.1785190105,21,0.0,0.0
24.3804020882,21,0.0,0.0
24.6853141785,22,0.0,0.0
24.8874850273,22,0.0,0.0
25.0900800228,22,0.0,0.0
25.2920901775,22,0.0,0.0
25.4943370819,22,0.0,0.0
25.7984530926,23,0.0,0.0
26.0006029606,23,0.0,0.0
26.2031011581,23,0.0,0.0
26.4046621323,23,0.0,0.0
26.6051080227,23,0.0,0.0
26.9087541103,24,0.0,0.0
27.1106641293,24,0.0,0.0
27.3111050129,24,0.0,0.0
27.5116159916,24,0.0,0.0
27.7121021748,24,0.0,0.0
28.0130341053,25,0.0,0.0
28.2134280205,25,0.0,0.0
28.4138441086,25,0.0,0.0
28.6142771244,25,0.0,0.0
28.8147320747,25,0.0,0.0
29.1155891418,26,0.0,0.0
29.3160099983,26,0.0,0.0
29.5164680481,26,0.0,0.0
29.7168600559,26,0.0,0.0
29.91735816,26,0.0,0.0
30.2185771465,27,0.0,0.0
30.419080019,27,0.0,0.0
30.6195070744,27,0.0,0.0
30.819945097,27,0.0,0.0
31.0203950405,27,0.0,0.0
31.3214390278,28,0.0,0.0
31.5218989849,28,0.0,0.0
31.7223870754,28,0.0,0.0
31.9228150845,28,0.0,0.0
32.1232841015,28,0.0,0.0
32.4241700172,29,0.0,0.0
32.6246380806,29,0.0,0.0
32.8251361847,29,0.0,0.0
33.025591135,29,0.0,0.0
33.2260570526,29,0.0,0.0
33.5269870758,30,0.0,0.0
33.727460146,30,0.0,0.0
33.927888155,30,0.0,0.0
34.1283640862,30,0.0,0.0
34.3288080692,30,0.0,0.0
34.629691124,31,0.0,0.0
34.8301870823,31,0.0,0.0
35.0305931568,31,0.0,0.0
35.2310869694,31,0.0,0.0
35.431702137,31,0.0,0.0
35.7331881523,32,0.0,0.0
35.9336919785,32,0.0,0.0
36.1341731548,32,0.0,0.0
36.3345971107,32,0.0,0.0
36.5350720882,32,0.0,0.0
36.8359260559,33,0.0,0.0
37.036383152,33,0.0,0.0
37.2368710041,33,0.0,0.0
37.4373471737,33,0.0,0.0
37.637789011,33,0.0,0.0
37.9386320114,34,0.0,0.0
38.1390800476,34,0.0,0.0
38.3395740986,34,0.0,0.0
38.5400090218,34,0.0,0.0
38.7404870987,34,0.0,0.0
39.0413069725,35,0.0,0.0
39.241767168,35,0.0,0.0
39.4422030449,35,0.0,0.0
39.6426441669,35,0.0,0.0
39.8431379795,35,0.0,0.0
40.1439340115,36,0.0,0.0
40.3447451591,36,0.0,0.0
40.5452620983,36,0.0,0.0
40.7457711697,36,0.0,0.0
40.9462690353,36,0.0,0.0
41.2471320629,37,0.0,0.0
41.4475290775,37,0.0,0.0
41.6479961872,37,0.0,0.0
41.8484621048,37,0.0,0.0
42.0489161015,37,0.0,0.0
42.3498270512,38,0.0,0.0
42.5502290726,38,0.0,0.0
42.7506570816,38,0.0,0.0
42.9511401653,38,0.0,0.0
43.1515541077,38,0.0,0.0
43.4524350166,39,0.0,0.0
43.6528441906,39,0.0,0.0
43.8533060551,39,0.0,0.0
44.0537381172,39,0.0,0.0
44.2541670799,39,0.0,0.0
44.5550429821,40,0.0,0.0
44.7555291653,40,0.0,0.0
44.9560379982,40,0.0,0.0
45.1565439701,40,0.0,0.0
45.3570301533,40,0.0,0.0
45.6579520702,41,0.0,0.0
45.8583929539,41,0.0,0.0
46.0588870049,41,0.0,0.0
46.259925127,41,0.0,0.0
46.4603440762,41,0.0,0.0
46.7613379955,42,0.0,0.0
46.9617991447,42,0.0,0.0
47.1622281075,42,0.0,0.0
47.3626890182,42,0.0,0.0
47.5631010532,42,0.0,0.0
47.8639581203,43,0.0,0.0
48.0644230843,43,0.0,0.0
48.2650060654,43,0.0,0.0
48.4655001163,43,0.0,0.0
48.6659350395,43,0.0,0.0
48.9675700665,44,0.0,0.0
49.1680471897,44,0.0,0.0
49.3684911728,44,0.0,0.0
49.568983078,44,0.0,0.0
49.7694661617,44,0.0,0.0
50.0703780651,45,0.0,0.0
50.2708191872,45,0.0,0.0
50.4712841511,45,0.0,0.0
50.6717779636,45,0.0,0.0
50.8722150326,45,0.0,0.0
51.1731300354,46,0.0,0.0
51.3736040592,46,0.0,0.0
51.5740890503,46,0.0,0.0
51.7746150494,46,0.0,0.0
51.9752230644,46,0.0,0.0
52.276143074,47,0.0,0.0
52.4765450954,47,0.0,0.0
52.6770300865,47,0.0,0.0
52.877464056,47,0.0,0.0
53.0779261589,47,0.0,0.0
53.3787519932,48,0.0,0.0
53.5792331696,48,0.0,0.0
53.7797231674,48,0.0,0.0
53.9802119732,48,0.0,0.0
54.1807019711,48,0.0,0.0
54.4816551208,49,0.0,0.0
54.6820380688,49,0.0,0.0
54.8825101852,49,0.0,0.0
55.0829930305,49,0.0,0.0
55.2834861279,49,0.0,0.0
55.5844621658,50,0.0,0.0
55.7849199772,50,0.0,0.0
55.9853219986,50,0.0,0.0
56.1857440472,50,0.0,0.0
56.3861811161,50,0.0,0.0
56.6869599819,51,0.0,0.0
56.8873569965,51,0.0,0.0
57.0878560543,51,0.0,0.0
57.2882781029,51,0.0,0.0
57.4886879921,51,0.0,0.0
57.7894601822,52,0.0,0.0
57.98985219,52,0.0,0.0
58.1902899742,52,0.0,0.0
58.3907799721,52,0.0,0.0
58.591201067,52,0.0,0.0
58.8920230865,53,0.0,0.0
59.0924611092,53,0.0,0.0
59.2929451466,53,0.0,0.0
59.4933931828,53,0.0,0.0
59.69384408,53,0.0,0.0
59.9947359562,54,0.0,0.0
60.1951930523,54,0.0,0.0
60.3955931664,54,0.0,0.0
60.5960030556,54,0.0,0.0
60.7964391708,54,0.0,0.0
61.0973870754,55,0.0,0.0
61.2977900505,55,0.0,0.0
61.4982101917,55,0.0,0.0
61.6986169815,55,0.0,0.0
