time,num,w_s,w_a
1728999374.09,2,0.0,258.0
1728999374.29,2,0.0,258.0
1728999374.49,2,0.0,258.0
1728999374.69,2,0.0,258.0
1728999374.89,3,0.0,258.0
1728999375.09,3,0.0,258.0
1728999375.3,3,0.0,258.0
1728999375.5,3,0.0,258.0
1728999375.7,3,0.0,258.0
1728999375.9,4,0.0,258.0
1728999376.1,4,0.0,258.0
1728999376.3,4,0.0,258.0
1728999376.5,4,0.0,258.0
1728999376.7,4,0.0,258.0
1728999376.9,5,0.0,258.0
1728999377.1,5,0.0,258.0
1728999377.3,5,0.0,258.0
1728999377.5,5,0.0,258.0
1728999377.7,5,0.0,258.0
1728999377.91,6,0.0,258.0
1728999378.11,6,0.0,258.0
1728999378.31,6,0.0,258.0
1728999378.51,6,0.0,258.0
1728999378.71,6,0.0,258.0
1728999378.91,7,0.0,258.0
1728999379.11,7,0.0,258.0
1728999379.31,7,0.0,258.0
1728999379.51,7,0.0,258.0
1728999379.71,7,0.0,258.0
1728999379.91,8,0.0,258.0
1728999380.11,8,0.0,258.0
1728999380.31,8,0.0,258.0
1728999380.52,8,0.0,258.0
1728999380.72,8,0.0,258.0
1728999380.92,9,0.0,258.0
1728999381.12,9,0.0,258.0
1728999381.32,9,0.0,258.0
1728999381.52,9,0.0,258.0
1728999381.72,9,0.0,258.0
1728999381.92,10,0.0,258.0
1728999382.12,10,0.0,258.0
1728999382.32,10,0.0,258.0
1728999382.52,10,0.0,258.0
1728999382.72,10,0.0,258.0
1728999382.92,11,0.0,258.0
1728999383.12,11,0.0,258.0
1728999383.33,11,0.0,258.0
1728999383.53,11,0.0,258.0
1728999383.73,11,0.0,258.0
1728999383.93,12,0.0,258.0
1728999384.13,12,0.0,258.0
1728999384.33,12,0.0,258.0
1728999384.53,12,0.0,258.0
1728999384.73,12,0.0,258.0
1728999384.93,13,0.0,258.0
1728999385.13,13,0.0,258.0
1728999385.33,13,0.0,258.0
1728999385.53,13,0.0,258.0
1728999385.73,13,0.0,258.0
1728999385.94,14,0.0,258.0
1728999386.14,14,0.0,258.0
1728999386.34,14,0.0,258.0
1728999386.54,14,0.0,258.0
1728999386.74,14,0.0,258.0
1728999386.94,15,1.01,316.0
1728999387.14,15,1.01,316.0
1728999387.34,15,1.01,316.0
1728999387.54,15,1.01,316.0
1728999387.74,15,1.01,316.0
1728999387.94,16,0.8,315.0
1728999388.14,16,0.8,315.0
1728999388.34,16,0.8,315.0
