time,w_s,w_a,air_prs,b_voltage,b_current,b_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
1728453495.06,0.0,264.0,97609.5,16.563999176,0.0,1.0,1.12661159039,-0.197201818228,0.369937568903,34.0299977,108.7566297,0.0,0.0,0.0,-0.0126063367458,0.00254294360507,-0.792760283055,-0.609397931945,0.00392628693953,-0.00671329395846,-0.00428744778037,0.211641356349,0.100984066725,9.83133125305,0.0
1728453495.26,0.0,264.0,97605.75,16.5529994965,0.0,1.0,1.13574004173,-0.199603155255,0.372255891562,34.0299977,108.7566298,0.0,0.0,0.0,-0.0126124289411,0.00255872825838,-0.792766784207,-0.609389154863,0.00359241431579,-0.00553958630189,-0.00329138571396,0.240620523691,0.115776598454,9.78556537628,0.0
1728453495.46,0.0,264.0,97607.9921875,16.5520000458,0.0,1.0,1.14435744286,-0.199524313211,0.373173773289,34.0299977,108.7566299,0.0,0.0,0.0,-0.0125965339816,0.00254001406982,-0.792780049927,-0.609372517395,0.00375649146736,-0.00417233258486,-0.00238665798679,0.220900729299,0.100780658424,9.81420612335,0.0
1728453495.66,0.0,264.0,97607.25,16.5510005951,0.0,1.0,1.15275800228,-0.197555154562,0.375331252813,34.0299976,108.75663,0.0,0.0,0.0,-0.0125554796584,0.0025176479227,-0.792765256383,-0.609392537148,0.00332311424427,-0.00141949020326,-0.00180420395918,0.2418384552,0.131187587976,9.82206630707,0.0
1728453495.87,0.0,264.0,97609.0,16.547000885,0.0,1.0,1.1608825922,-0.198690056801,0.376865714788,34.0299976,108.7566301,0.0,0.0,0.0,-0.0125263561861,0.00250917245488,-0.792742317961,-0.609422977709,0.00298482831568,-0.00045741602662,-0.000727253674995,0.221486836672,0.129351526499,9.8074760437,0.0
1728453496.07,0.0,264.0,97607.9921875,16.5489997864,0.0,1.0,1.16954553127,-0.201877817512,0.377693086863,34.0299976,108.7566302,0.0,0.0,0.0,-0.0125413130489,0.00250995875702,-0.792734057179,-0.609433598715,0.00263220747001,-0.000789011945017,-0.000218446468352,0.210226267576,0.109398797154,9.81870937347,0.0
1728453496.26,0.0,264.0,97609.0,16.5499992371,0.0,1.0,1.17943525314,-0.205596700311,0.376253753901,34.0299976,108.7566303,0.0,0.0,0.0,-0.0125434012936,0.00249834532463,-0.792768290956,-0.609388996813,0.00348777230829,-0.000948997796513,-0.00101096672006,0.22928032279,0.104036681354,9.78431510925,0.0
1728453496.46,0.0,264.0,97606.9921875,16.5550003052,0.0,1.0,1.18884170055,-0.208751410246,0.37237367034,34.0299975,108.7566304,0.0,0.0,0.0,-0.0125410117648,0.00249989718476,-0.792785212916,-0.609367101525,0.00290899211541,-0.00134949292988,-0.00198310473934,0.210607424378,0.108810149133,9.79892635345,0.0
1728453496.66,0.0,264.0,97606.7421875,16.5510005951,0.0,1.0,1.19968628883,-0.212740793824,0.368769079447,34.0299976,108.7566305,0.0,0.0,0.0,-0.0125768734646,0.00250625213926,-0.792797899118,-0.609349694876,0.00328304618597,-0.00162350467872,-0.00362773053348,0.250015258789,0.124639160931,9.80874633789,0.0
1728453496.86,0.0,264.0,97610.0,16.547000885,0.0,1.0,1.20721948147,-0.213932752609,0.368646025658,34.0299975,108.7566306,0.0,0.0,0.0,-0.0125776726083,0.00248996139449,-0.7928061599,-0.609339073871,0.00338561064564,-9.61903569987e-05,-0.00225923513062,0.228872552514,0.0983056128025,9.81574440002,0.0
1728453497.06,0.0,264.0,97606.9921875,16.5410003662,0.0,1.0,1.216802001,-0.21516777575,0.369456261396,34.0299975,108.7566308,0.0,0.0,0.0,-0.0125650147243,0.00246247572236,-0.792810016337,-0.609334458791,0.0022261319682,0.00141048326623,-0.00178936810698,0.231935530901,0.125628367066,9.79866123199,0.0
1728453497.26,0.0,264.0,97604.0,16.5429992676,0.0,1.0,1.2271232605,-0.218006461859,0.372474133968,34.0299974,108.7566308,0.0,0.0,0.0,-0.012569115481,0.00244901441408,-0.792814757857,-0.609328199984,0.00226058508269,0.00176562438719,-8.74147226568e-05,0.234872668982,0.105508506298,9.79774284363,0.0
1728453497.46,0.0,264.0,97607.9921875,16.547000885,0.0,1.0,1.23603689671,-0.221855312586,0.376299709082,34.0299974,108.7566309,0.0,0.0,0.0,-0.0125977384595,0.00244754322565,-0.792811354499,-0.609332109104,0.00163065677043,0.00168844079599,0.000961957091931,0.240931883454,0.114641860127,9.80531215668,0.0
1728453497.66,0.0,264.0,97607.75,16.5520000458,0.0,1.0,1.24302244186,-0.221754431725,0.381348133087,34.0299974,108.756631,0.0,0.0,0.0,-0.0125804645078,0.0024535415783,-0.792813556672,-0.609329485463,9.37048607739e-05,0.00372620555572,0.00211734115146,0.233217328787,0.123485356569,9.81780147552,0.0
1728453497.87,0.0,264.0,97608.5,16.5480003357,0.0,1.0,1.25118052959,-0.221254080534,0.38508823514,34.0299973,108.7566311,0.0,0.0,0.0,-0.0125656782079,0.0024548422037,-0.792832575437,-0.609304987607,-0.000214582367335,0.00542291812599,0.00276997941546,0.239223793149,0.118342295289,9.79894924164,0.0
1728453498.06,0.0,264.0,97607.7421875,16.5480003357,0.0,1.0,1.2602186203,-0.22439776361,0.389293074608,34.0299973,108.7566313,0.0,0.0,0.0,-0.0125925287139,0.00245414645143,-0.792838317945,-0.609297137756,0.000213541119592,0.00405428977683,0.00377433141693,0.244126245379,0.116545341909,9.80296039581,0.0
1728453498.26,0.0,264.0,97609.25,16.5429992676,0.0,1.0,1.27056241035,-0.22601544857,0.39675489068,34.0299973,108.7566314,0.0,0.0,0.0,-0.0125996870927,0.00245834928248,-0.792849202369,-0.609282628704,0.00134825299028,0.00407418143004,0.00591974332929,0.206219524145,0.12398738414,9.79703712463,0.0
1728453498.46,0.0,264.0,97605.75,16.5450000763,0.0,1.0,1.27987480164,-0.22587621212,0.402486741543,34.0299973,108.7566315,0.0,0.0,0.0,-0.0125568013572,0.00243068646188,-0.792862710434,-0.609266086066,0.00167610426433,0.00580663327128,0.00755377253518,0.241471007466,0.112928897142,9.81575870514,0.0
1728453498.66,0.0,264.0,97606.0,16.545999527,0.0,1.0,1.28818035126,-0.22713637352,0.407099366188,34.0299972,108.7566316,0.0,0.0,0.0,-0.0125342037317,0.00243413493019,-0.792869770031,-0.609257340595,0.000681974110194,0.0067861280404,0.0100360568613,0.212611436844,0.120992474258,9.80998420715,0.0
1728453498.86,0.0,264.0,97607.5,16.5429992676,0.0,1.0,1.29495573044,-0.228149071336,0.413743644953,34.0299972,108.7566317,0.0,0.0,0.0,-0.01252112405,0.00243566637544,-0.792853575104,-0.609278846024,-0.00185376685113,0.00758482515812,0.0125833926722,0.238302648067,0.119064748287,9.79554462433,0.0
1728453499.06,0.0,264.0,97605.9921875,16.5370006561,0.0,1.0,1.30321824551,-0.231821060181,0.419405072927,34.0299972,108.7566318,0.0,0.0,0.0,-0.0125239126567,0.00243001968556,-0.792815137179,-0.609328663599,-0.00271476921625,0.0065262708813,0.0137882065028,0.212259098887,0.113051831722,9.80408859253,0.0
1728453499.26,0.0,264.0,97608.25,16.5380001068,0.0,1.0,1.31251573563,-0.234282568097,0.423070073128,34.0299971,108.7566319,0.0,0.0,0.0,-0.0125537931259,0.00240971050221,-0.792816622855,-0.609326250692,-0.00235933111981,0.00583697808906,0.0144961616024,0.204380229115,0.131617203355,9.80613040924,0.0
1728453499.46,0.0,264.0,97607.5,16.5419998169,0.0,1.0,1.32121682167,-0.239902839065,0.423803240061,34.0299971,108.7566321,0.0,0.0,0.0,-0.0125981023053,0.00242603614983,-0.79283016253,-0.609307737689,-0.00307808979414,0.00341931311414,0.0138740818948,0.230746164918,0.138959914446,9.79847049713,0.0
1728453499.66,0.0,264.0,97605.0,16.5499992371,0.0,1.0,1.33221614361,-0.245064541698,0.422719925642,34.0299971,108.7566322,0.0,0.0,0.0,-0.0126196344058,0.00242855409476,-0.792859054195,-0.609269573717,-0.00197765976191,0.00185901054647,0.0124749308452,0.218627378345,0.125113591552,9.80692005157,0.0
1728453499.86,0.0,264.0,97608.5,16.5540008545,0.0,1.0,1.34423649311,-0.251478791237,0.42284321785,34.0299971,108.7566323,0.0,0.0,0.0,-0.0126593439811,0.00241932986184,-0.792869759494,-0.60925482232,-0.000949524226598,-0.000405491649872,0.0108226137236,0.21957667172,0.130886659026,9.79463863373,0.0
1728453500.06,0.0,264.0,97605.25,16.5540008545,0.0,1.0,1.35494303703,-0.257995039225,0.421922624111,34.0299971,108.7566323,0.0,0.0,0.0,-0.0126952721938,0.00243510002717,-0.792889526366,-0.60922848054,-0.00114012008999,-0.00198977696709,0.00933282356709,0.208933517337,0.120067216456,9.7899389267,0.0
1728453500.26,0.0,264.0,97606.75,16.5529994965,0.0,1.0,1.36456596851,-0.261229097843,0.422722101212,34.0299971,108.7566325,0.0,0.0,0.0,-0.0126966334053,0.00243179874355,-0.792889968908,-0.609227785117,-0.000266169314273,-0.00261942204088,0.00867286976427,0.243424370885,0.124114714563,9.81099319458,0.0
1728453500.46,0.0,264.0,97605.0,16.5480003357,0.0,1.0,1.37541496754,-0.265565156937,0.420707285404,34.029997,108.7566326,0.0,0.0,0.0,-0.0127011378498,0.00244662389751,-0.792878262621,-0.609242778858,0.000816467974801,-0.00346769089811,0.0060164523311,0.222988381982,0.116797976196,9.81886291504,0.0
1728453500.67,0.0,264.0,97608.75,16.5510005951,0.0,1.0,1.38729810715,-0.271393090487,0.42360919714,34.0299971,108.7566327,0.0,0.0,0.0,-0.0127136946472,0.00243827124825,-0.792867188537,-0.609257056103,0.00227079843171,-0.0046804160811,0.00583099713549,0.2288287431,0.10955272615,9.78109741211,0.0
1728453500.84,0.0,264.0,97606.25,16.5550003052,0.0,1.0,1.39819395542,-0.274784862995,0.422979980707,34.0299971,108.7566327,0.0,0.0,0.0,-0.0127307749868,0.00242241316722,-0.792860834899,-0.609265011321,0.00324568874203,-0.00437951600179,0.00482156220824,0.222632840276,0.125887960196,9.80919075012,0.0
1728453501.07,0.0,264.0,97607.25,16.5550003052,0.0,1.0,1.40823936462,-0.278167724609,0.417430639267,34.029997,108.7566329,0.0,0.0,0.0,-0.0127375444951,0.00239776022429,-0.792879400586,-0.609240797957,0.00466593168676,-0.00478401128203,0.00260342611,0.237362354994,0.126110270619,9.81240558624,0.0
1728453501.27,0.0,264.0,97608.25,16.5529994965,0.0,1.0,1.42104041576,-0.284338623285,0.411801040173,34.029997,108.756633,0.0,0.0,0.0,-0.0127676202228,0.002406056568,-0.792910483887,-0.609199768,0.00650424743071,-0.00551878055558,0.000343186489772,0.229890331626,0.115324638784,9.7788143158,0.0
1728453501.46,0.0,264.0,97605.5,16.5499992371,0.0,1.0,1.43274497986,-0.290334761143,0.406936645508,34.029997,108.756633,0.0,0.0,0.0,-0.012804810536,0.00241437826568,-0.792916036734,-0.609191602048,0.00727520743385,-0.00792529340833,-0.00281040370464,0.227112531662,0.12689486146,9.80810451508,0.0
1728453501.66,0.0,264.0,97606.75,16.5520000458,0.0,1.0,1.4440202713,-0.295713543892,0.398819684982,34.029997,108.7566331,0.0,0.0,0.0,-0.0128232257454,0.00244561862932,-0.792922558959,-0.609182635306,0.00870286859572,-0.00880962610245,-0.00567549420521,0.224254712462,0.135730743408,9.81162452698,0.0
1728453501.86,0.0,264.0,97605.25,16.545999527,0.0,1.0,1.45558202267,-0.300031721592,0.391483724117,34.029997,108.7566332,0.0,0.0,0.0,-0.0128336824443,0.00243165847357,-0.792922000513,-0.609183109458,0.009511067532,-0.00901175756007,-0.00834252685308,0.239171475172,0.118433445692,9.80706310272,0.0
1728453502.06,0.0,264.0,97608.75,16.5489997864,0.0,1.0,1.46558260918,-0.303892701864,0.38618144393,34.029997,108.7566333,0.0,0.0,0.0,-0.0128336366755,0.00243934862706,-0.792902865844,-0.609208144686,0.00963631737977,-0.00888394284993,-0.0104687772691,0.226505205035,0.122502058744,9.80243778229,0.0
1728453502.26,0.0,264.0,97607.75,16.5480003357,0.0,1.0,1.47664034367,-0.307388216257,0.382833659649,34.029997,108.7566334,0.0,0.0,0.0,-0.0128230881096,0.00245072564198,-0.792895426925,-0.609218028122,0.0105604482815,-0.00948968622833,-0.0113594587892,0.246042922139,0.114745892584,9.81579589844,0.0
1728453502.46,0.0,264.0,97607.75,16.5480003357,0.0,1.0,1.48595523834,-0.311045914888,0.37856349349,34.029997,108.7566335,0.0,0.0,0.0,-0.0128227180076,0.00245968711565,-0.792892919188,-0.609221210209,0.0102626727894,-0.0101132765412,-0.0128100533038,0.215432092547,0.108826257288,9.79294013977,0.0
1728453502.66,0.0,264.0,97607.75,16.5550003052,0.0,1.0,1.49425947666,-0.316274940968,0.374087721109,34.0299969,108.7566336,0.0,0.0,0.0,-0.0128224631508,0.00246248131999,-0.792893825345,-0.609219882583,0.00904288701713,-0.01110206265,-0.0138781256974,0.248555734754,0.119190685451,9.802485466,0.0
