time,num,w_s,w_a
1728453298.03,0,0.9,106.0
1728453298.24,0,0.9,106.0
1728453298.44,0,0.9,106.0
1728453298.64,0,0.9,106.0
1728453298.85,1,1.09,104.0
1728453299.05,1,1.09,104.0
1728453299.25,1,1.09,104.0
1728453299.45,1,1.09,104.0
1728453299.65,1,1.09,104.0
1728453299.86,2,0.69,97.0
1728453300.06,2,0.69,97.0
1728453300.27,2,0.69,97.0
1728453300.47,2,0.69,97.0
1728453300.67,2,0.69,97.0
1728453300.88,3,0.0,102.0
1728453301.08,3,0.0,102.0
1728453301.28,3,0.0,102.0
1728453301.48,3,0.0,102.0
1728453301.68,3,0.0,102.0
1728453301.89,4,0.0,102.0
1728453302.09,4,0.0,102.0
1728453302.29,4,0.0,102.0
1728453302.5,4,0.0,102.0
1728453302.7,4,0.0,102.0
1728453302.9,5,0.78,114.0
1728453303.1,5,0.78,114.0
1728453303.3,5,0.78,114.0
1728453303.5,5,0.78,114.0
1728453303.7,5,0.78,114.0
1728453303.91,6,0.59,112.0
1728453304.11,6,0.59,112.0
1728453304.31,6,0.59,112.0
1728453304.51,6,0.59,112.0
1728453304.71,6,0.59,112.0
1728453304.92,7,1.24,108.0
1728453305.12,7,1.24,108.0
1728453305.32,7,1.24,108.0
1728453305.52,7,1.24,108.0
1728453305.72,7,1.24,108.0
1728453305.92,8,1.13,114.0
1728453306.12,8,1.13,114.0
1728453306.32,8,1.13,114.0
1728453306.52,8,1.13,114.0
1728453306.72,8,1.13,114.0
1728453306.92,9,0.0,107.0
1728453307.12,9,0.0,107.0
1728453307.32,9,0.0,107.0
1728453307.52,9,0.0,107.0
1728453307.72,9,0.0,107.0
1728453307.92,10,0.0,107.0
1728453308.12,10,0.0,107.0
1728453308.32,10,0.0,107.0
1728453308.52,10,0.0,107.0
1728453308.72,10,0.0,107.0
1728453308.93,11,0.87,87.0
1728453309.13,11,0.87,87.0
1728453309.33,11,0.87,87.0
1728453309.53,11,0.87,87.0
1728453309.73,11,0.87,87.0
1728453309.93,12,0.0,96.0
1728453310.13,12,0.0,96.0
1728453310.33,12,0.0,96.0
1728453310.53,12,0.0,96.0
1728453310.74,12,0.0,96.0
1728453310.94,13,0.0,96.0
1728453311.14,13,0.0,96.0
1728453311.34,13,0.0,96.0
1728453311.54,13,0.0,96.0
1728453311.74,13,0.0,96.0
1728453311.94,14,0.0,96.0
1728453312.14,14,0.0,96.0
1728453312.34,14,0.0,96.0
1728453312.54,14,0.0,96.0
1728453312.74,14,0.0,96.0
1728453312.94,15,0.0,96.0
1728453313.14,15,0.0,96.0
1728453313.34,15,0.0,96.0
1728453313.54,15,0.0,96.0
1728453313.74,15,0.0,96.0
1728453313.94,16,0.0,96.0
1728453314.15,16,0.0,96.0
1728453314.35,16,0.0,96.0
1728453314.55,16,0.0,96.0
1728453314.75,16,0.0,96.0
1728453314.95,17,0.0,86.0
1728453315.15,17,0.0,86.0
1728453315.35,17,0.0,86.0
1728453315.55,17,0.0,86.0
1728453315.75,17,0.0,86.0
1728453315.95,18,0.91,104.0
1728453316.15,18,0.91,104.0
1728453316.35,18,0.91,104.0
1728453316.55,18,0.91,104.0
1728453316.75,18,0.91,104.0
1728453316.95,19,0.0,95.0
1728453317.15,19,0.0,95.0
1728453317.35,19,0.0,95.0
1728453317.56,19,0.0,95.0
1728453317.76,19,0.0,95.0
1728453317.96,20,0.0,95.0
1728453318.16,20,0.0,95.0
1728453318.36,20,0.0,95.0
1728453318.56,20,0.0,95.0
1728453318.76,20,0.0,95.0
1728453318.96,21,0.0,95.0
1728453319.16,21,0.0,95.0
1728453319.36,21,0.0,95.0
1728453319.56,21,0.0,95.0
1728453319.76,21,0.0,95.0
1728453319.96,22,0.0,95.0
1728453320.16,22,0.0,95.0
1728453320.37,22,0.0,95.0
1728453320.57,22,0.0,95.0
1728453320.77,22,0.0,95.0
1728453320.97,23,0.0,95.0
1728453321.17,23,0.0,95.0
1728453321.37,23,0.0,95.0
1728453321.57,23,0.0,95.0
1728453321.77,23,0.0,95.0
1728453321.97,24,1.21,79.0
1728453322.17,24,1.21,79.0
1728453322.37,24,1.21,79.0
1728453322.57,24,1.21,79.0
1728453322.77,24,1.21,79.0
1728453322.97,25,0.68,74.0
1728453323.17,25,0.68,74.0
1728453323.37,25,0.68,74.0
1728453323.57,25,0.68,74.0
1728453323.77,25,0.68,74.0
1728453323.97,26,0.8,85.0
