time,num,w_s,w_a
0.610579013824,0,0.0,11.0
0.811877965927,0,0.0,11.0
1.01339101791,0,0.0,11.0
1.21459293365,0,0.0,11.0
1.51731705666,1,0.0,11.0
1.71855401993,1,0.0,11.0
1.91973495483,1,0.0,11.0
2.1216750145,1,0.0,11.0
2.32388901711,1,0.0,11.0
2.62736392021,2,0.0,11.0
2.82961511612,2,0.0,11.0
3.0313501358,2,0.0,11.0
3.23317193985,2,0.0,11.0
3.43512296677,2,0.0,11.0
3.73976898193,3,0.0,11.0
3.94221806526,3,0.0,11.0
4.14460802078,3,0.0,11.0
4.3468670845,3,0.0,11.0
4.54988312721,3,0.0,11.0
4.85547709465,4,0.0,11.0
5.05692791939,4,0.0,11.0
5.25734400749,4,0.0,11.0
5.4579410553,4,0.0,11.0
5.65974593163,4,0.0,11.0
5.96165013313,5,0.0,11.0
6.16208910942,5,0.0,11.0
6.36255693436,5,0.0,11.0
6.56300711632,5,0.0,11.0
6.76346302032,5,0.0,11.0
7.06728410721,6,0.5,31.0
7.2697930336,6,0.5,31.0
7.47182607651,6,0.5,31.0
7.67335104942,6,0.5,31.0
7.87472009659,6,0.5,31.0
8.17881202698,7,0.0,33.0
8.38008999825,7,0.0,33.0
8.58175492287,7,0.0,33.0
8.78312397003,7,0.0,33.0
8.98352313042,7,0.0,33.0
9.28461194038,8,0.0,33.0
9.48506808281,8,0.0,33.0
9.68547701836,8,0.0,33.0
9.88588500023,8,0.0,33.0
10.0864419937,8,0.0,33.0
10.3877899647,9,0.0,33.0
10.5884840488,9,0.0,33.0
10.7900979519,9,0.0,33.0
10.9918069839,9,0.0,33.0
11.1933751106,9,0.0,33.0
11.4959769249,10,0.0,33.0
11.6976060867,10,0.0,33.0
11.8989160061,10,0.0,33.0
12.1000890732,10,0.0,33.0
12.3004329205,10,0.0,33.0
12.6013040543,11,0.0,33.0
12.8017160892,11,0.0,33.0
13.0027010441,11,0.0,33.0
13.2039449215,11,0.0,33.0
13.4047529697,11,0.0,33.0
13.7066421509,12,0.0,33.0
13.9081370831,12,0.0,33.0
14.1101219654,12,0.0,33.0
14.3114891052,12,0.0,33.0
14.5134141445,12,0.0,33.0
14.8162300587,13,0.0,33.0
15.0175480843,13,0.0,33.0
15.2189810276,13,0.0,33.0
15.4202871323,13,0.0,33.0
15.6208119392,13,0.0,33.0
15.9215841293,14,0.0,33.0
16.1219761372,14,0.0,33.0
16.3227889538,14,0.0,33.0
16.5237650871,14,0.0,33.0
16.7242691517,14,0.0,33.0
17.0265800953,15,0.0,33.0
17.2281291485,15,0.0,33.0
17.4300129414,15,0.0,33.0
17.6314170361,15,0.0,33.0
17.8330271244,15,0.0,33.0
18.1368169785,16,0.0,33.0
18.338367939,16,0.0,33.0
18.5393650532,16,0.0,33.0
18.7402191162,16,0.0,33.0
18.9415860176,16,0.0,33.0
19.2445380688,17,0.0,33.0
19.4459860325,17,0.0,33.0
19.6472439766,17,0.0,33.0
19.8482861519,17,0.0,33.0
20.0499429703,17,0.0,33.0
20.353069067,18,0.0,33.0
20.5540571213,18,0.0,33.0
20.7548019886,18,0.0,33.0
20.9569721222,18,0.0,33.0
21.1577370167,18,0.0,33.0
21.4626021385,19,0.0,28.0
21.6772649288,19,0.0,28.0
21.8793151379,19,0.0,28.0
22.0811269283,19,0.0,28.0
22.2823910713,19,0.0,28.0
22.5845720768,20,0.0,28.0
22.7854220867,20,0.0,28.0
22.9869990349,20,0.0,28.0
23.1885409355,20,0.0,28.0
23.3907499313,20,0.0,28.0
23.6960060596,21,0.0,28.0
23.8974671364,21,0.0,28.0
24.0987870693,21,0.0,28.0
24.3001289368,21,0.0,28.0
24.5016191006,21,0.0,28.0
24.8037950993,22,0.0,28.0
25.0053870678,22,0.0,28.0
25.2060639858,22,0.0,28.0
25.4072010517,22,0.0,28.0
25.6084909439,22,0.0,28.0
25.9110219479,23,0.0,28.0
26.1128549576,23,0.0,28.0
26.3150539398,23,0.0,28.0
26.5168550014,23,0.0,28.0
26.7182700634,23,0.0,28.0
27.0219769478,24,0.0,28.0
27.2250931263,24,0.0,28.0
27.4266309738,24,0.0,28.0
27.6279881001,24,0.0,28.0
27.8285980225,24,0.0,28.0
28.1316809654,25,0.0,28.0
28.33335495,25,0.0,28.0
28.5346450806,25,0.0,28.0
28.7357480526,25,0.0,28.0
28.9367661476,25,0.0,28.0
29.2396450043,26,0.0,28.0
29.441368103,26,0.0,28.0
29.6427519321,26,0.0,28.0
29.8444831371,26,0.0,28.0
30.0461909771,26,0.0,28.0
30.3495380878,27,0.0,28.0
30.5509490967,27,0.0,28.0
30.7520999908,27,0.0,28.0
30.9533929825,27,0.0,28.0
31.1546189785,27,0.0,28.0
31.4576539993,28,0.0,28.0
31.6592080593,28,0.0,28.0
31.8609130383,28,0.0,28.0
32.062335968,28,0.0,28.0
32.2636611462,28,0.0,28.0
32.5666520596,29,0.0,28.0
32.7674970627,29,0.0,28.0
32.9689221382,29,0.0,28.0
33.170083046,29,0.0,28.0
33.370773077,29,0.0,28.0
33.6728229523,30,0.0,28.0
33.8742759228,30,0.0,28.0
34.0756480694,30,0.0,28.0
34.2778201103,30,0.0,28.0
34.4791409969,30,0.0,28.0
34.7826509476,31,0.0,28.0
34.9853451252,31,0.0,28.0
35.187308073,31,0.0,28.0
35.3887629509,31,0.0,28.0
35.5900390148,31,0.0,28.0
35.8931910992,32,0.0,28.0
36.0946500301,32,0.0,28.0
36.2960190773,32,0.0,28.0
36.4979979992,32,0.0,28.0
36.6993639469,32,0.0,28.0
37.0012800694,33,0.0,28.0
37.201967001,33,0.0,28.0
37.4024291039,33,0.0,28.0
37.602959156,33,0.0,28.0
37.8035750389,33,0.0,28.0
38.105848074,34,0.0,28.0
38.3072860241,34,0.0,28.0
38.5086159706,34,0.0,28.0
38.709872961,34,0.0,28.0
38.9112689495,34,0.0,28.0
39.2153151035,35,0.0,28.0
39.4166009426,35,0.0,28.0
39.6178529263,35,0.0,28.0
39.8194890022,35,0.0,28.0
40.021499157,35,0.0,28.0
40.325813055,36,0.0,28.0
40.5281281471,36,0.0,28.0
40.730864048,36,0.0,28.0
40.9334540367,36,0.0,28.0
41.1351201534,36,0.0,28.0
41.4379179478,37,0.0,28.0
41.6392679214,37,0.0,28.0
41.840585947,37,0.0,28.0
42.0421280861,37,0.0,28.0
42.2436130047,37,0.0,28.0
42.5471191406,38,0.0,28.0
42.7487621307,38,0.0,28.0
42.9502439499,38,0.0,28.0
43.1519479752,38,0.0,28.0
43.3536250591,38,0.0,28.0
43.6565711498,39,0.0,28.0
43.8580460548,39,0.0,28.0
44.0596950054,39,0.0,28.0
44.261537075,39,0.0,28.0
44.4631371498,39,0.0,28.0
44.7650990486,40,0.0,28.0
44.9657239914,40,0.0,28.0
45.1662390232,40,0.0,28.0
45.3667719364,40,0.0,28.0
45.5673539639,40,0.0,28.0
45.8686540127,41,0.0,28.0
46.069437027,41,0.0,28.0
46.270457983,41,0.0,28.0
46.4712510109,41,0.0,28.0
46.6739151478,41,0.0,28.0
46.9749441147,42,0.0,28.0
47.1754059792,42,0.0,28.0
47.3761150837,42,0.0,28.0
47.5766940117,42,0.0,28.0
47.7772140503,42,0.0,28.0
48.0781509876,43,0.0,28.0
48.2786660194,43,0.0,28.0
48.4792599678,43,0.0,28.0
48.680421114,43,0.0,28.0
48.8819611073,43,0.0,28.0
49.184677124,44,0.0,28.0
49.385185957,44,0.0,28.0
49.5856919289,44,0.0,28.0
49.7862501144,44,0.0,28.0
49.9867670536,44,0.0,28.0
50.2877321243,45,0.0,28.0
50.4885239601,45,0.0,28.0
50.6897001266,45,0.0,28.0
50.8903059959,45,0.0,28.0
51.0908999443,45,0.0,28.0
51.392868042,46,0.0,28.0
51.5933480263,46,0.0,28.0
51.7941670418,46,0.0,28.0
51.9946911335,46,0.0,28.0
52.1952419281,46,0.0,28.0
52.4985301495,47,0.0,28.0
52.700150013,47,0.0,28.0
52.9009070396,47,0.0,28.0
53.1016030312,47,0.0,28.0
53.3022100925,47,0.0,28.0
53.603290081,48,0.0,28.0
53.8037991524,48,0.0,28.0
54.0043749809,48,0.0,28.0
54.2050271034,48,0.0,28.0
54.4055900574,48,0.0,28.0
54.7067060471,49,1.3,43.0
54.9073250294,49,1.3,43.0
55.1078360081,49,1.3,43.0
55.3083541393,49,1.3,43.0
55.5089120865,49,1.3,43.0
55.8105580807,50,1.3,64.0
56.0112099648,50,1.3,64.0
56.2118730545,50,1.3,64.0
56.4125230312,50,1.3,64.0
56.6132061481,50,1.3,64.0
56.9168269634,51,1.7,64.0
57.1178741455,51,1.7,64.0
57.3195199966,51,1.7,64.0
57.5233290195,51,1.7,64.0
57.7242920399,51,1.7,64.0
58.0259771347,52,1.8,37.0
58.2269630432,52,1.8,37.0
58.4275801182,52,1.8,37.0
58.6281340122,52,1.8,37.0
58.8289530277,52,1.8,37.0
59.1299209595,53,1.8,13.0
59.3305151463,53,1.8,13.0
59.5311830044,53,1.8,13.0
59.7318150997,53,1.8,13.0
59.9331929684,53,1.8,13.0
60.2351081371,54,1.4,354.0
60.4357941151,54,1.4,354.0
60.6364591122,54,1.4,354.0
60.8375101089,54,1.4,354.0
61.038064003,54,1.4,354.0
61.3392000198,55,1.0,13.0
61.5397100449,55,1.0,13.0
61.7402789593,55,1.0,13.0
61.940721035,55,1.0,13.0
62.1411299706,55,1.0,13.0
62.4423370361,56,0.5,30.0
62.6428079605,56,0.5,30.0
62.8433849812,56,0.5,30.0
63.0444459915,56,0.5,30.0
63.2450120449,56,0.5,30.0
63.5459549427,57,0.0,32.0
63.7465510368,57,0.0,32.0
63.9474720955,57,0.0,32.0
64.1479790211,57,0.0,32.0
64.3484489918,57,0.0,32.0
64.6503551006,58,0.0,32.0
64.8524560928,58,0.0,32.0
65.0535991192,58,0.0,32.0
65.2547609806,58,0.0,32.0
65.4559249878,58,0.0,32.0
