time,num,w_s,w_a
1728453814.08,43,0.0,288.0
1728453814.28,43,0.0,288.0
1728453814.48,44,0.0,288.0
1728453814.68,44,0.0,288.0
1728453814.88,44,0.0,288.0
1728453815.08,44,0.0,288.0
1728453815.29,44,0.0,288.0
1728453815.49,45,0.0,288.0
1728453815.69,45,0.0,288.0
1728453815.89,45,0.0,288.0
1728453816.09,45,0.0,288.0
1728453816.29,45,0.0,288.0
1728453816.49,46,0.0,288.0
1728453816.69,46,0.0,288.0
1728453816.89,46,0.0,288.0
1728453817.09,46,0.0,288.0
1728453817.29,46,0.0,288.0
1728453817.49,47,0.0,288.0
1728453817.69,47,0.0,288.0
1728453817.9,47,0.0,288.0
1728453818.1,47,0.0,288.0
1728453818.3,47,0.0,288.0
1728453818.5,48,0.0,288.0
1728453818.7,48,0.0,288.0
1728453818.9,48,0.0,288.0
1728453819.1,48,0.0,288.0
1728453819.3,48,0.0,288.0
1728453819.5,49,0.0,288.0
1728453819.7,49,0.0,288.0
1728453819.9,49,0.0,288.0
1728453820.1,49,0.0,288.0
1728453820.3,49,0.0,288.0
1728453820.5,50,0.0,288.0
1728453820.7,50,0.0,288.0
1728453820.9,50,0.0,288.0
1728453821.1,50,0.0,288.0
1728453821.3,50,0.0,288.0
1728453821.51,51,0.0,288.0
1728453821.71,51,0.0,288.0
1728453821.91,51,0.0,288.0
1728453822.11,51,0.0,288.0
1728453822.31,51,0.0,288.0
1728453822.51,52,0.0,288.0
1728453822.71,52,0.0,288.0
1728453822.91,52,0.0,288.0
1728453823.11,52,0.0,288.0
1728453823.31,52,0.0,288.0
1728453823.51,53,0.0,288.0
1728453823.71,53,0.0,288.0
1728453823.91,53,0.0,288.0
1728453824.11,53,0.0,288.0
1728453824.31,53,0.0,288.0
1728453824.51,54,0.0,288.0
1728453824.71,54,0.0,288.0
1728453824.91,54,0.0,288.0
1728453825.12,54,0.0,288.0
1728453825.32,54,0.0,288.0
1728453825.52,55,0.0,288.0
1728453825.72,55,0.0,288.0
1728453825.92,55,0.0,288.0
1728453826.12,55,0.0,288.0
1728453826.32,55,0.0,288.0
1728453826.52,56,0.0,288.0
1728453826.72,56,0.0,288.0
1728453826.92,56,0.0,288.0
1728453827.12,56,0.0,288.0
1728453827.32,56,0.0,288.0
1728453827.52,57,0.0,288.0
1728453827.72,57,0.0,288.0
1728453827.92,57,0.0,288.0
1728453828.13,57,0.0,288.0
1728453828.33,57,0.0,288.0
1728453828.53,58,0.0,288.0
1728453828.73,58,0.0,288.0
1728453828.93,58,0.0,288.0
1728453829.13,58,0.0,288.0
1728453829.33,58,0.0,288.0
1728453829.53,59,0.0,288.0
1728453829.73,59,0.0,288.0
1728453829.93,59,0.0,288.0
1728453830.13,59,0.0,288.0
1728453830.33,59,0.0,288.0
1728453830.53,60,0.0,288.0
