time,num,w_s,w_a
1728453727.91,0,0.0,117.0
1728453728.11,0,0.0,117.0
1728453728.31,0,0.0,117.0
1728453728.51,0,0.0,117.0
1728453728.71,1,0.0,117.0
1728453728.92,1,0.0,117.0
1728453729.12,1,0.0,117.0
1728453729.32,1,0.0,117.0
1728453729.52,1,0.0,117.0
1728453729.72,2,0.0,117.0
1728453729.92,2,0.0,117.0
1728453730.12,2,0.0,117.0
1728453730.32,2,0.0,117.0
1728453730.52,2,0.0,117.0
1728453730.73,3,0.0,117.0
1728453730.93,3,0.0,117.0
1728453731.13,3,0.0,117.0
1728453731.33,3,0.0,117.0
1728453731.53,3,0.0,117.0
1728453731.73,4,0.0,117.0
1728453731.93,4,0.0,117.0
1728453732.13,4,0.0,117.0
1728453732.33,4,0.0,117.0
1728453732.53,4,0.0,117.0
1728453732.74,5,0.0,117.0
1728453732.94,5,0.0,117.0
1728453733.14,5,0.0,117.0
1728453733.34,5,0.0,117.0
1728453733.54,5,0.0,117.0
1728453733.74,6,0.0,117.0
1728453733.94,6,0.0,117.0
1728453734.14,6,0.0,117.0
1728453734.35,6,0.0,117.0
1728453734.55,6,0.0,117.0
1728453734.75,7,0.0,117.0
1728453734.95,7,0.0,117.0
1728453735.15,7,0.0,117.0
1728453735.35,7,0.0,117.0
1728453735.55,7,0.0,117.0
1728453735.75,8,0.0,117.0
1728453735.95,8,0.0,117.0
1728453736.16,8,0.0,117.0
1728453736.36,8,0.0,117.0
1728453736.56,8,0.0,117.0
1728453736.77,9,0.0,117.0
1728453736.97,9,0.0,117.0
1728453737.17,9,0.0,117.0
1728453737.37,9,0.0,117.0
1728453737.57,9,0.0,117.0
1728453737.78,10,0.0,117.0
1728453737.98,10,0.0,117.0
1728453738.18,10,0.0,117.0
1728453738.38,10,0.0,117.0
1728453738.59,10,0.0,117.0
1728453738.79,11,0.0,117.0
1728453738.99,11,0.0,117.0
1728453739.19,11,0.0,117.0
1728453739.39,11,0.0,117.0
1728453739.59,11,0.0,117.0
1728453739.8,12,0.0,117.0
1728453740.0,12,0.0,117.0
1728453740.2,12,0.0,117.0
1728453740.4,12,0.0,117.0
1728453740.6,12,0.0,117.0
1728453740.81,13,0.0,117.0
1728453741.01,13,0.0,117.0
1728453741.21,13,0.0,117.0
1728453741.41,13,0.0,117.0
1728453741.61,13,0.0,117.0
1728453741.81,14,0.0,117.0
1728453742.02,14,0.0,117.0
1728453742.22,14,0.0,117.0
1728453742.42,14,0.0,117.0
1728453742.62,14,0.0,117.0
1728453742.82,15,0.0,117.0
1728453743.02,15,0.0,117.0
1728453743.22,15,0.0,117.0
1728453743.42,15,0.0,117.0
1728453743.62,15,0.0,117.0
1728453743.82,16,0.0,117.0
1728453744.03,16,0.0,117.0
1728453744.23,16,0.0,117.0
1728453744.43,16,0.0,117.0
1728453744.63,16,0.0,117.0
1728453744.83,17,0.0,117.0
1728453745.03,17,0.0,117.0
1728453745.23,17,0.0,117.0
1728453745.43,17,0.0,117.0
1728453745.63,17,0.0,117.0
1728453745.83,18,0.0,117.0
1728453746.03,18,0.0,117.0
1728453746.23,18,0.0,117.0
1728453746.43,18,0.0,117.0
1728453746.63,18,0.0,117.0
1728453746.83,19,0.0,117.0
1728453747.03,19,0.0,117.0
1728453747.24,19,0.0,117.0
1728453747.44,19,0.0,117.0
1728453747.64,19,0.0,117.0
1728453747.84,20,0.0,117.0
1728453748.04,20,0.0,117.0
1728453748.24,20,0.0,117.0
1728453748.44,20,0.0,117.0
1728453748.64,20,0.0,117.0
1728453748.84,21,0.0,117.0
1728453749.04,21,0.0,117.0
1728453749.24,21,0.0,117.0
1728453749.44,21,0.0,117.0
1728453749.65,21,0.0,117.0
1728453749.85,22,0.0,117.0
1728453750.05,22,0.0,117.0
1728453750.25,22,0.0,117.0
1728453750.45,22,0.0,117.0
1728453750.65,22,0.0,117.0
1728453750.85,23,0.0,117.0
1728453751.05,23,0.0,117.0
