time,num,w_s,w_a
0.706393957138,0,2.1,31.0
0.907733917236,0,2.1,31.0
1.10903787613,0,2.1,31.0
1.31021690369,0,2.1,31.0
1.61325502396,1,1.9,30.0
1.81465792656,1,1.9,30.0
2.01731300354,1,1.9,30.0
2.21900606155,1,1.9,30.0
2.42171406746,1,1.9,30.0
2.72558689117,2,1.3,33.0
2.92727804184,2,1.3,33.0
3.12909698486,2,1.3,33.0
3.33043885231,2,1.3,33.0
3.53276705742,2,1.3,33.0
3.83684396744,3,1.2,38.0
4.03939795494,3,1.2,38.0
4.241989851,3,1.2,38.0
4.44319987297,3,1.2,38.0
4.64487600327,3,1.2,38.0
4.94804596901,4,1.1,38.0
5.1495308876,4,1.1,38.0
5.35021591187,4,1.1,38.0
5.55172491074,4,1.1,38.0
5.75347399712,4,1.1,38.0
6.05664086342,5,0.8,42.0
6.25832605362,5,0.8,42.0
6.45995402336,5,0.8,42.0
6.66218805313,5,0.8,42.0
6.86377096176,5,0.8,42.0
7.16858196259,6,0.8,36.0
7.36995506287,6,0.8,36.0
7.57160997391,6,0.8,36.0
7.77336907387,6,0.8,36.0
7.9745619297,6,0.8,36.0
8.27745604515,7,0.7,21.0
8.47872185707,7,0.7,21.0
8.67946696281,7,0.7,21.0
8.8806579113,7,0.7,21.0
9.08129501343,7,0.7,21.0
9.38376498222,8,0.6,14.0
9.58551692963,8,0.6,14.0
9.78704690933,8,0.6,14.0
9.98857593536,8,0.6,14.0
10.190144062,8,0.6,14.0
10.4948248863,9,0.9,25.0
10.6974928379,9,0.9,25.0
10.8986229897,9,0.9,25.0
11.0993468761,9,0.9,25.0
11.3009970188,9,0.9,25.0
11.6039249897,10,1.0,30.0
11.8063099384,10,1.0,30.0
12.0078308582,10,1.0,30.0
12.2097699642,10,1.0,30.0
12.4110870361,10,1.0,30.0
12.7152938843,11,0.5,34.0
12.916839838,11,0.5,34.0
13.118252039,11,0.5,34.0
13.3193888664,11,0.5,34.0
13.5208668709,11,0.5,34.0
13.8243999481,12,0.0,51.0
14.0261559486,12,0.0,51.0
14.2276308537,12,0.0,51.0
14.4303519726,12,0.0,51.0
14.6307718754,12,0.0,51.0
14.9316999912,13,0.0,51.0
