time,num,w_s,w_a
1728999323.0,0,1.18,12.0
1728999323.2,0,1.18,12.0
1728999323.4,0,1.18,12.0
1728999323.6,0,1.18,12.0
1728999323.8,1,1.52,329.0
1728999324.0,1,1.52,329.0
1728999324.2,1,1.52,329.0
1728999324.4,1,1.52,329.0
1728999324.6,1,1.52,329.0
1728999324.8,2,0.75,315.0
1728999325.01,2,0.75,315.0
1728999325.21,2,0.75,315.0
1728999325.41,2,0.75,315.0
1728999325.61,2,0.75,315.0
1728999325.81,3,1.57,338.0
1728999326.01,3,1.57,338.0
1728999326.21,3,1.57,338.0
1728999326.41,3,1.57,338.0
1728999326.61,3,1.57,338.0
1728999326.81,4,1.62,347.0
1728999327.01,4,1.62,347.0
1728999327.21,4,1.62,347.0
1728999327.41,4,1.62,347.0
1728999327.61,4,1.62,347.0
1728999327.82,5,1.62,337.0
1728999328.02,5,1.62,337.0
1728999328.22,5,1.62,337.0
1728999328.42,5,1.62,337.0
1728999328.62,5,1.62,337.0
1728999328.82,6,1.48,350.0
1728999329.02,6,1.48,350.0
1728999329.22,6,1.48,350.0
1728999329.42,6,1.48,350.0
1728999329.62,6,1.48,350.0
1728999329.82,7,1.49,340.0
1728999330.02,7,1.49,340.0
1728999330.22,7,1.49,340.0
1728999330.42,7,1.49,340.0
1728999330.63,7,1.49,340.0
1728999330.83,8,1.87,345.0
1728999331.03,8,1.87,345.0
1728999331.23,8,1.87,345.0
1728999331.43,8,1.87,345.0
1728999331.63,8,1.87,345.0
1728999331.83,9,1.98,343.0
1728999332.03,9,1.98,343.0
1728999332.23,9,1.98,343.0
1728999332.43,9,1.98,343.0
1728999332.63,9,1.98,343.0
1728999332.83,10,2.72,351.0
1728999333.03,10,2.72,351.0
1728999333.23,10,2.72,351.0
1728999333.44,10,2.72,351.0
1728999333.64,10,2.72,351.0
1728999333.84,11,2.6,352.0
1728999334.04,11,2.6,352.0
1728999334.24,11,2.6,352.0
1728999334.44,11,2.6,352.0
1728999334.64,11,2.6,352.0
1728999334.84,12,2.85,3.0
1728999335.04,12,2.85,3.0
1728999335.24,12,2.85,3.0
1728999335.44,12,2.85,3.0
1728999335.64,12,2.85,3.0
1728999335.84,13,2.13,18.0
1728999336.04,13,2.13,18.0
1728999336.24,13,2.13,18.0
1728999336.45,13,2.13,18.0
1728999336.65,13,2.13,18.0
1728999336.85,14,1.74,15.0
1728999337.05,14,1.74,15.0
1728999337.25,14,1.74,15.0
1728999337.45,14,1.74,15.0
1728999337.65,14,1.74,15.0
1728999337.85,15,1.88,7.0
1728999338.05,15,1.88,7.0
1728999338.25,15,1.88,7.0
1728999338.45,15,1.88,7.0
1728999338.65,15,1.88,7.0
1728999338.85,16,1.38,348.0
1728999339.05,16,1.38,348.0
1728999339.26,16,1.38,348.0
1728999339.46,16,1.38,348.0
1728999339.66,16,1.38,348.0
1728999339.86,17,1.5,356.0
1728999340.06,17,1.5,356.0
1728999340.26,17,1.5,356.0
1728999340.46,17,1.5,356.0
1728999340.66,17,1.5,356.0
1728999340.86,18,2.16,8.0
1728999341.06,18,2.16,8.0
1728999341.26,18,2.16,8.0
1728999341.46,18,2.16,8.0
1728999341.66,18,2.16,8.0
