time,num,w_s,w_a
1728999042.42,0,0.0,323.0
1728999042.62,0,0.0,323.0
1728999042.82,0,0.0,323.0
1728999043.02,0,0.0,323.0
1728999043.23,1,0.0,323.0
1728999043.43,1,0.0,323.0
1728999043.63,1,0.0,323.0
1728999043.83,1,0.0,323.0
1728999044.03,1,0.0,323.0
1728999044.23,2,0.0,323.0
1728999044.43,2,0.0,323.0
1728999044.63,2,0.0,323.0
1728999044.83,2,0.0,323.0
1728999045.03,2,0.0,323.0
1728999045.23,3,0.0,323.0
1728999045.43,3,0.0,323.0
1728999045.64,3,0.0,323.0
1728999045.84,3,0.0,323.0
1728999046.04,3,0.0,323.0
1728999046.24,4,0.0,323.0
1728999046.44,4,0.0,323.0
1728999046.64,4,0.0,323.0
1728999046.84,4,0.0,323.0
1728999047.04,4,0.0,323.0
1728999047.24,5,0.0,323.0
1728999047.44,5,0.0,323.0
1728999047.64,5,0.0,323.0
1728999047.84,5,0.0,323.0
1728999048.04,5,0.0,323.0
1728999048.25,6,0.0,323.0
1728999048.45,6,0.0,323.0
1728999048.65,6,0.0,323.0
1728999048.85,6,0.0,323.0
1728999049.05,6,0.0,323.0
1728999049.25,7,0.0,323.0
1728999049.45,7,0.0,323.0
1728999049.65,7,0.0,323.0
1728999049.85,7,0.0,323.0
1728999050.05,7,0.0,323.0
1728999050.25,8,0.0,323.0
1728999050.45,8,0.0,323.0
1728999050.65,8,0.0,323.0
1728999050.86,8,0.0,323.0
1728999051.06,8,0.0,323.0
1728999051.26,9,0.0,323.0
1728999051.46,9,0.0,323.0
1728999051.66,9,0.0,323.0
1728999051.86,9,0.0,323.0
1728999052.06,9,0.0,323.0
1728999052.26,10,0.0,323.0
1728999052.46,10,0.0,323.0
1728999052.66,10,0.0,323.0
1728999052.86,10,0.0,323.0
1728999053.06,10,0.0,323.0
1728999053.27,11,0.0,323.0
1728999053.47,11,0.0,323.0
1728999053.67,11,0.0,323.0
1728999053.87,11,0.0,323.0
1728999054.07,11,0.0,323.0
1728999054.27,12,0.0,323.0
1728999054.47,12,0.0,323.0
1728999054.67,12,0.0,323.0
1728999054.87,12,0.0,323.0
1728999055.07,12,0.0,323.0
1728999055.27,13,0.0,323.0
1728999055.47,13,0.0,323.0
1728999055.67,13,0.0,323.0
1728999055.88,13,0.0,323.0
1728999056.08,13,0.0,323.0
1728999056.28,14,0.0,323.0
1728999056.48,14,0.0,323.0
1728999056.68,14,0.0,323.0
1728999056.88,14,0.0,323.0
1728999057.08,14,0.0,323.0
1728999057.28,15,0.0,323.0
1728999057.48,15,0.0,323.0
1728999057.68,15,0.0,323.0
1728999057.88,15,0.0,323.0
1728999058.08,15,0.0,323.0
1728999058.28,16,0.0,323.0
1728999058.48,16,0.0,323.0
1728999058.69,16,0.0,323.0
1728999058.89,16,0.0,323.0
1728999059.09,16,0.0,323.0
1728999059.29,17,0.0,323.0
1728999059.49,17,0.0,323.0
1728999059.69,17,0.0,323.0
1728999059.89,17,0.0,323.0
1728999060.09,17,0.0,323.0
1728999060.3,18,0.0,323.0
1728999060.5,18,0.0,323.0
1728999060.7,18,0.0,323.0
1728999060.9,18,0.0,323.0
1728999061.1,18,0.0,323.0
1728999061.3,19,0.0,323.0
1728999061.5,19,0.0,323.0
1728999061.7,19,0.0,323.0
1728999061.9,19,0.0,323.0
1728999062.1,19,0.0,323.0
1728999062.3,20,0.0,323.0
1728999062.5,20,0.0,323.0
1728999062.7,20,0.0,323.0
1728999062.9,20,0.0,323.0
1728999063.11,20,0.0,323.0
1728999063.31,21,0.0,323.0
1728999063.51,21,0.0,323.0
1728999063.71,21,0.0,323.0
1728999063.91,21,0.0,323.0
1728999064.11,21,0.0,323.0
1728999064.31,22,0.0,323.0
1728999064.51,22,0.0,323.0
1728999064.71,22,0.0,323.0
1728999064.91,22,0.0,323.0
1728999065.11,22,0.0,323.0
1728999065.31,23,0.0,323.0
1728999065.51,23,0.0,323.0
1728999065.71,23,0.0,323.0
1728999065.91,23,0.0,323.0
1728999066.12,23,0.0,323.0
1728999066.32,24,0.0,323.0
1728999066.52,24,0.0,323.0
1728999066.72,24,0.0,323.0
1728999066.92,24,0.0,323.0
1728999067.12,24,0.0,323.0
1728999067.32,25,0.0,323.0
1728999067.52,25,0.0,323.0
1728999067.72,25,0.0,323.0
1728999067.92,25,0.0,323.0
1728999068.13,25,0.0,323.0
1728999068.33,26,0.0,323.0
1728999068.53,26,0.0,323.0
1728999068.73,26,0.0,323.0
1728999068.93,26,0.0,323.0
1728999069.13,26,0.0,323.0
1728999069.33,27,0.0,323.0
1728999069.53,27,0.0,323.0
1728999069.73,27,0.0,323.0
1728999069.93,27,0.0,323.0
1728999070.14,27,0.0,323.0
1728999070.34,28,0.0,323.0
1728999070.54,28,0.0,323.0
1728999070.74,28,0.0,323.0
1728999070.94,28,0.0,323.0
1728999071.14,28,0.0,323.0
1728999071.34,29,0.0,323.0
1728999071.54,29,0.0,323.0
1728999071.74,29,0.0,323.0
1728999071.94,29,0.0,323.0
1728999072.14,29,0.0,323.0
1728999072.34,30,0.0,323.0
1728999072.55,30,0.0,323.0
1728999072.75,30,0.0,323.0
1728999072.95,30,0.0,323.0
1728999073.15,30,0.0,323.0
1728999073.35,31,0.0,323.0
1728999073.55,31,0.0,323.0
1728999073.75,31,0.0,323.0
1728999073.95,31,0.0,323.0
1728999074.15,31,0.0,323.0
1728999074.35,32,0.0,323.0
1728999074.55,32,0.0,323.0
1728999074.75,32,0.0,323.0
1728999074.95,32,0.0,323.0
1728999075.16,32,0.0,323.0
1728999075.36,33,0.0,323.0
1728999075.56,33,0.0,323.0
1728999075.76,33,0.0,323.0
1728999075.96,33,0.0,323.0
1728999076.16,33,0.0,323.0
1728999076.36,34,0.0,323.0
1728999076.56,34,0.0,323.0
1728999076.76,34,0.0,323.0
1728999076.96,34,0.0,323.0
1728999077.16,34,0.0,323.0
1728999077.37,35,0.0,323.0
1728999077.57,35,0.0,323.0
1728999077.77,35,0.0,323.0
1728999077.97,35,0.0,323.0
1728999078.17,35,0.0,323.0
1728999078.37,36,0.49,337.0
1728999078.57,36,0.49,337.0
1728999078.78,36,0.49,337.0
1728999078.98,36,0.49,337.0
1728999079.18,36,0.49,337.0
1728999079.38,37,0.0,343.0
1728999079.58,37,0.0,343.0
1728999079.78,37,0.0,343.0
1728999079.98,37,0.0,343.0
1728999080.18,37,0.0,343.0
1728999080.38,38,0.0,343.0
1728999080.58,38,0.0,343.0
1728999080.78,38,0.0,343.0
1728999080.98,38,0.0,343.0
1728999081.18,38,0.0,343.0
1728999081.38,39,0.0,338.0
1728999081.59,39,0.0,338.0
