time,w_s,w_a,air_prs,b_voltage,b_current,b_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
1728453311.72,0.0,0.0,97069.4921875,16.5580005646,0.0,1.0,-0.0978293567896,-0.588980257511,-0.141804546118,34.0300153,108.7564725,0.0,0.0,0.0,0.00547001325819,-0.0105282771604,-0.742211676296,-0.670060517941,-0.0136888902634,0.0280888080597,0.00538565032184,-0.221547663212,0.0886265411973,9.81696033478,0.0
1728453311.92,0.0,0.0,97069.2421875,16.5559997559,0.0,1.0,-0.110201723874,-0.583910405636,-0.145701363683,34.0300154,108.7564724,0.0,0.0,0.0,0.00537690379048,-0.0104174011497,-0.742203420782,-0.670072060909,-0.012892912142,0.0193437095731,0.00325208296999,-0.218708723783,0.0971310734749,9.80393505096,0.0
1728453312.32,0.0,0.0,97067.0,16.561000824,0.0,1.0,-0.133206173778,-0.570008158684,-0.162195816636,34.0300157,108.7564722,0.0,0.0,0.0,0.00526829202041,-0.0103041901048,-0.742241442508,-0.670032690484,-0.0106212263927,0.00736503908411,-0.00227682781406,-0.222613364458,0.0787794440985,9.80812072754,0.0
1728453312.52,0.0,0.0,97069.2421875,16.5669994354,0.0,1.0,-0.146797522902,-0.559406995773,-0.170423105359,34.0300158,108.7564721,0.0,0.0,0.0,0.00525030387717,-0.0102864100616,-0.742263738191,-0.670008371752,-0.0109357349575,0.00357950665057,-0.00516457948834,-0.212674260139,0.0656331032515,9.79004001617,0.0
1728453312.72,0.0,0.0,97069.9921875,16.5669994354,0.0,1.0,-0.158431261778,-0.549049913883,-0.176929578185,34.0300158,108.756472,0.0,0.0,0.0,0.0052139739523,-0.0102827136513,-0.742266851789,-0.670005258154,-0.0106647554785,0.000565897207707,-0.00812155287713,-0.192783474922,0.0832019597292,9.79387760162,0.0
1728453312.92,0.0,0.0,97069.2421875,16.5769996643,0.0,1.0,-0.168000563979,-0.54257017374,-0.185032427311,34.030016,108.7564719,0.0,0.0,0.0,0.00516605512581,-0.0102420398022,-0.742255050672,-0.670019250908,-0.00808239076287,-0.00471305567771,-0.0103845149279,-0.233839511871,0.0708743706346,9.80747318268,0.0
1728453313.32,0.0,0.0,97066.75,16.5709991455,0.0,1.0,-0.19339312613,-0.514336645603,-0.195865854621,34.0300164,108.7564716,0.0,0.0,0.0,0.00516676536607,-0.0102221711851,-0.742227275899,-0.670050481722,-0.00893270689994,-0.00668358430266,-0.0136455520988,-0.220394268632,0.0715851709247,9.79578971863,0.0
1728453313.52,0.0,0.0,97067.25,16.5750007629,0.0,1.0,-0.2059071064,-0.495462596416,-0.200629010797,34.0300166,108.7564715,0.0,0.0,0.0,0.00521365143013,-0.010237413527,-0.74220850738,-0.67007059894,-0.00950527656823,-0.00431037833914,-0.0144902467728,-0.206800997257,0.0716638863087,9.81338691711,0.0
1728453313.72,0.0,0.0,97068.2421875,16.577999115,0.0,1.0,-0.216715469956,-0.476349323988,-0.202145934105,34.0300169,108.7564713,0.0,0.0,0.0,0.00522981853316,-0.0102759872777,-0.742223440535,-0.670053305561,-0.00950333289802,-0.00299601024017,-0.0138435661793,-0.241447225213,0.0712608620524,9.80479335785,0.0
1728453313.92,0.0,0.0,97068.4921875,16.5760002136,0.0,1.0,-0.228218838573,-0.454797238111,-0.200518906116,34.0300172,108.7564711,0.0,0.0,0.0,0.00525201938562,-0.0103075328767,-0.742243125748,-0.67003092295,-0.0099582169205,-0.000892024254426,-0.0123720914125,-0.219964981079,0.0868964493275,9.80351448059,0.0
1728453314.12,0.0,0.0,97067.75,16.5760002136,0.0,1.0,-0.242530196905,-0.43052777648,-0.198807895184,34.0300173,108.756471,0.0,0.0,0.0,0.00527926534754,-0.0103178516106,-0.742271498479,-0.669999009884,-0.0100329481065,0.00264128297567,-0.0116866501048,-0.224990993738,0.0569578111172,9.8044128418,0.0
1728453314.32,0.0,0.0,97072.25,16.5739994049,0.0,1.0,-0.255912870169,-0.407936424017,-0.192838251591,34.0300174,108.756471,0.0,0.0,0.0,0.00530417627528,-0.0102847655113,-0.742278199828,-0.66999197136,-0.0109586054459,0.00552959227934,-0.00963139813393,-0.221538901329,0.0864526927471,9.80688285828,0.0
