time,num,w_s,w_a
1728453347.94,0,0.0,251.0
1728453348.15,0,0.0,251.0
1728453348.35,0,0.0,251.0
1728453348.55,0,0.0,251.0
1728453349.76,3,0.0,251.0
1728453349.96,3,0.0,251.0
1728453350.17,3,0.0,251.0
1728453350.37,3,0.0,251.0
1728453350.57,3,0.0,251.0
1728453351.78,5,0.0,251.0
1728453351.99,5,0.0,251.0
1728453352.19,5,0.0,251.0
1728453352.39,5,0.0,251.0
1728453352.59,5,0.0,251.0
1728453352.8,6,0.0,251.0
1728453353.0,6,0.0,251.0
1728453353.2,6,0.0,251.0
1728453353.4,6,0.0,251.0
1728453353.61,6,0.0,251.0
1728453353.81,7,0.0,251.0
1728453354.01,7,0.0,251.0
1728453354.21,7,0.0,251.0
1728453354.42,7,0.0,251.0
1728453354.62,7,0.0,251.0
1728453354.82,8,0.0,251.0
1728453360.8,1,0.0,251.0
1728453361.01,1,0.0,251.0
1728453361.21,1,0.0,251.0
1728453361.41,1,0.0,251.0
1728453361.61,1,0.0,251.0
1728453361.82,2,0.0,251.0
1728453362.02,2,0.0,251.0
1728453362.22,2,0.0,251.0
1728453362.42,2,0.0,251.0
1728453362.62,2,0.0,251.0
1728453362.83,3,0.0,251.0
1728453363.03,3,0.0,251.0
1728453363.23,3,0.0,251.0
1728453363.43,3,0.0,251.0
1728453363.64,3,0.0,251.0
1728453363.84,4,0.0,251.0
1728453364.04,4,0.0,251.0
1728453364.24,4,0.0,251.0
1728453364.45,4,0.0,251.0
1728453364.65,4,0.0,251.0
1728453364.85,5,0.0,251.0
1728453365.06,5,0.0,251.0
1728453365.26,5,0.0,251.0
1728453365.46,5,0.0,251.0
1728453365.66,5,0.0,251.0
1728453365.87,6,0.0,251.0
1728453366.07,6,0.0,251.0
1728453366.27,6,0.0,251.0
1728453366.47,6,0.0,251.0
1728453366.68,6,0.0,251.0
1728453366.88,7,0.0,251.0
1728453367.08,7,0.0,251.0
1728453367.29,7,0.0,251.0
1728453367.49,7,0.0,251.0
1728453367.69,7,0.0,251.0
1728453367.9,8,0.0,251.0
1728453368.1,8,0.0,251.0
1728453368.3,8,0.0,251.0
1728453368.5,8,0.0,251.0
1728453368.7,8,0.0,251.0
1728453368.91,9,0.0,251.0
1728453369.11,9,0.0,251.0
1728453369.31,9,0.0,251.0
1728453369.52,9,0.0,251.0
1728453369.72,9,0.0,251.0
1728453369.92,10,0.0,251.0
1728453370.12,10,0.0,251.0
1728453370.33,10,0.0,251.0
1728453370.53,10,0.0,251.0
1728453370.73,10,0.0,251.0
1728453370.94,11,0.0,251.0
1728453371.14,11,0.0,251.0
1728453371.34,11,0.0,251.0
1728453371.54,11,0.0,251.0
1728453371.74,11,0.0,251.0
1728453371.95,12,0.0,251.0
1728453372.15,12,0.0,251.0
1728453372.35,12,0.0,251.0
1728453372.56,12,0.0,251.0
1728453372.76,12,0.0,251.0
1728453372.96,13,0.0,251.0
1728453373.17,13,0.0,251.0
1728453373.37,13,0.0,251.0
1728453373.57,13,0.0,251.0
1728453373.77,13,0.0,251.0
1728453373.98,14,0.0,251.0
1728453374.18,14,0.0,251.0
1728453374.38,14,0.0,251.0
1728453374.58,14,0.0,251.0
1728453374.78,14,0.0,251.0
1728453374.99,15,0.0,251.0
1728453375.19,15,0.0,251.0
1728453375.39,15,0.0,251.0
1728453375.6,15,0.0,251.0
1728453375.8,15,0.0,251.0
1728453376.0,16,0.0,251.0
1728453376.2,16,0.0,251.0
1728453376.41,16,0.0,251.0
1728453376.61,16,0.0,251.0
1728453376.81,16,0.0,251.0
1728453377.02,17,0.0,251.0
1728453377.22,17,0.0,251.0
1728453377.42,17,0.0,251.0
1728453377.62,17,0.0,251.0
1728453377.83,17,0.0,251.0
1728453378.03,18,0.0,251.0
1728453378.23,18,0.0,251.0
1728453378.44,18,0.0,251.0
1728453378.64,18,0.0,251.0
1728453378.84,18,0.0,251.0
1728453379.04,19,0.0,251.0
1728453379.25,19,0.0,251.0
1728453379.45,19,0.0,251.0
1728453379.65,19,0.0,251.0
1728453379.85,19,0.0,251.0
1728453380.06,20,0.0,254.0
1728453380.26,20,0.0,254.0
1728453380.46,20,0.0,254.0
1728453380.66,20,0.0,254.0
1728453380.87,20,0.0,254.0
1728453381.07,21,0.0,254.0
1728453381.27,21,0.0,254.0
1728453381.48,21,0.0,254.0
1728453381.68,21,0.0,254.0
1728453381.88,21,0.0,254.0
1728453382.09,22,0.68,262.0
1728453382.29,22,0.68,262.0
1728453382.49,22,0.68,262.0
1728453382.69,22,0.68,262.0
1728453382.9,22,0.68,262.0
1728453383.1,23,0.7,278.0
1728453383.3,23,0.7,278.0
1728453383.51,23,0.7,278.0
1728453383.71,23,0.7,278.0
1728453383.91,23,0.7,278.0
1728453384.12,24,0.0,284.0
1728453384.32,24,0.0,284.0
1728453384.52,24,0.0,284.0
1728453384.72,24,0.0,284.0
1728453384.93,24,0.0,284.0
1728453385.13,25,0.0,284.0
1728453385.33,25,0.0,284.0
1728453385.53,25,0.0,284.0
1728453385.73,25,0.0,284.0
1728453385.94,25,0.0,284.0
