time,num,w_s,w_a
1.212985039,0,0,251
1.415096045,0,0,251
1.618149996,0,0,251
1.820687056,0,0,251
2.123929977,1,0,251
2.325777054,1,0,251
2.527343035,1,0,251
2.729308128,1,0,251
2.93175602,1,0,251
3.235625982,2,0,251
3.437686205,2,0,251
3.640089035,2,0,251
3.842960119,2,0,251
4.045565128,2,0,251
4.349271059,3,0,251
4.550812006,3,0,251
4.752915144,3,0,251
4.954441071,3,0,251
5.156037092,3,0,251
5.459429979,4,0,251
5.66122818,4,0,251
5.863216162,4,0,251
6.065935135,4,0,251
6.267512083,4,0,251
6.573023081,5,0,251
6.774492025,5,0,251
6.975818157,5,0,251
7.178107023,5,0,251
7.380275011,5,0,251
7.682062149,6,0,251
7.882884979,6,0,251
8.084737062,6,0,251
8.286504984,6,0,251
8.487933159,6,0,251
8.791363001,7,0,251
8.99288106,7,0,251
9.194053173,7,0,251
9.395313978,7,0,251
9.596865177,7,0,251
9.899308205,8,0,251
10.10124016,8,0,251
10.30337405,8,0,251
10.50532818,8,0,251
10.70679808,8,0,251
11.00837517,9,0,251
11.2087791,9,0,251
11.40933204,9,0,251
11.61066008,9,0,251
11.81196618,9,0,251
12.1158092,10,0,251
12.31616807,10,0,251
12.51656699,10,0,251
12.71697402,10,0,251
12.91743207,10,0,251
13.21823907,11,0,251
13.41867805,11,0,251
13.6193161,11,0,251
13.82113409,11,0,251
14.02251601,11,0,251
14.32549,12,0,251
14.52658606,12,0,251
14.72827816,12,0,251
14.92984509,12,0,251
15.13123107,12,0,251
15.43360806,13,0,251
15.6347971,13,0,251
15.83545113,13,0,251
16.03689718,13,0,251
16.238415,13,0,251
16.54123998,14,0,251
16.74288797,14,0,251
16.94548702,14,0,251
17.14677215,14,0,251
17.34857607,14,0,251
17.65110898,15,0,251
17.85234618,15,0,251
18.05370903,15,0,251
18.255162,15,0,251
18.45686603,15,0,251
18.75949907,16,0,251
18.96101618,16,0,251
19.16227913,16,0,251
19.36343598,16,0,251
19.56427813,16,0,251
19.86602712,17,0,251
20.06679606,17,0,251
20.26824498,17,0,251
20.46983409,17,0,251
20.67115617,17,0,251
20.97463918,18,0,251
21.17530203,18,0,251
21.37615705,18,0,251
21.57673502,18,0,251
21.77713609,18,0,251
22.07796907,19,0,251
22.27845311,19,0,251
22.47905517,19,0,251
22.68029118,19,0,251
22.8816011,19,0,251
25.29584002,20,0,251
25.49750304,20,0,251
25.69862819,20,0,251
25.89980221,20,0,251
26.10023499,20,0,251
27.20317006,21,0,251
27.40420318,21,0,251
27.60468817,21,0,251
27.80586314,21,0,251
28.00736618,21,0,251
29.01425815,22,0,251
29.21568513,22,0,251
29.41740298,22,0,251
29.61903405,22,0,251
29.82067108,22,0,251
30.12378216,23,0,251
30.32541704,23,0,251
30.52706313,23,0,251
30.72874498,23,0,251
30.93015599,23,0,251
31.23376703,24,0,251
31.435004,24,0,251
31.63627315,24,0,251
31.83786321,24,0,251
32.0393002,24,0,251
32.74297214,25,0,251
32.94343114,25,0,251
33.14403105,25,0,251
33.34476399,25,0,251
33.54522705,25,0,251
33.84618902,26,0,251
34.04662704,26,0,251
34.24708509,26,0,251
34.44752502,26,0,251
34.6479702,26,0,251
34.94921708,27,0,251
35.14970708,27,0,251
35.35023212,27,0,251
35.55082703,27,0,251
35.75134707,27,0,251
36.05240512,28,0,251
36.25298405,28,0,251
36.45356607,28,0,251
36.65401912,28,0,251
36.85452318,28,0,251
37.15582609,29,0,251
37.35646415,29,0,251
37.55698514,29,0,251
37.7574501,29,0,251
37.95786405,29,0,251
38.25880718,30,0,251
38.45930099,30,0,251
38.65971518,30,0,251
38.86017203,30,0,251
39.06069517,30,0,251
40.26385498,31,0,251
40.46448708,31,0,251
40.66502118,31,0,251
40.86554313,31,0,251
41.06614208,31,0,251
42.16896105,32,0,251
42.369519,32,0,251
42.57013607,32,0,251
42.77058005,32,0,251
42.97102714,32,0,251
43.27207303,33,0,251
43.472785,33,0,251
43.67331314,33,0,251
43.87386513,33,0,251
44.0745542,33,0,251
44.97756505,34,0,251
45.17796612,34,0,251
45.37849116,34,0,251
45.57895112,34,0,251
45.77936411,34,0,251
46.08057618,35,0,251
46.28118801,35,0,251
46.48173904,35,0,251
46.68233418,35,0,251
46.88351512,35,0,251
47.185359,36,0,251
47.38581514,36,0,251
47.58642316,36,0,251
47.78689408,36,0,251
47.98733115,36,0,251
48.28857303,37,0,251
48.48920298,37,0,251
48.68967104,37,0,251
48.89055514,37,0,251
49.09182906,37,0,251
49.59337997,38,0,251
49.7938962,38,0,251
49.994344,38,0,251
50.19481111,38,0,251
50.39525104,38,0,251
50.69625306,39,0,251
50.89681911,39,0,251
51.09787202,39,0,251
51.29844904,39,0,251
51.49939609,39,0,251
51.80034208,40,0,251
52.00082803,40,0,251
52.20136404,40,0,251
52.40183997,40,0,251
52.60227013,40,0,251
52.90311003,41,0,251
53.10353899,41,0,251
53.30412006,41,0,251
53.5045681,41,0,251
53.70504808,41,0,251
56.21182513,42,0,251
56.41230607,42,0,251
56.61277318,42,0,251
56.8133142,42,0,251
57.01388311,42,0,251
58.11768413,43,0,251
58.31834602,43,0,251
58.51891708,43,0,251
58.71942306,43,0,251
