time,num,w_s,w_a
1728999017.55,0,0.99,23.0
1728999017.76,0,0.99,23.0
1728999017.96,0,0.99,23.0
1728999018.16,0,0.99,23.0
1728999019.36,3,1.19,34.0
1728999019.56,3,1.19,34.0
1728999019.76,3,1.19,34.0
1728999019.96,3,1.19,34.0
1728999020.16,3,1.19,34.0
1728999021.37,6,1.21,33.0
1728999021.57,6,1.21,33.0
1728999021.77,6,1.21,33.0
1728999021.97,6,1.21,33.0
1728999022.17,6,1.21,33.0
1728999022.37,7,0.76,33.0
1728999022.57,7,0.76,33.0
1728999022.77,7,0.76,33.0
1728999022.97,7,0.76,33.0
1728999023.17,7,0.76,33.0
1728999023.38,8,0.8,30.0
1728999023.58,8,0.8,30.0
1728999023.78,8,0.8,30.0
1728999023.98,8,0.8,30.0
1728999024.18,8,0.8,30.0
1728999024.38,9,0.68,25.0
1728999024.58,9,0.68,25.0
1728999024.78,9,0.68,25.0
1728999024.98,9,0.68,25.0
1728999025.18,9,0.68,25.0
1728999025.38,10,0.54,42.0
1728999025.58,10,0.54,42.0
1728999025.78,10,0.54,42.0
1728999025.98,10,0.54,42.0
1728999026.19,10,0.54,42.0
1728999026.39,11,1.09,35.0
1728999026.59,11,1.09,35.0
1728999026.79,11,1.09,35.0
1728999026.99,11,1.09,35.0
1728999027.19,11,1.09,35.0
1728999027.39,12,0.59,47.0
1728999027.59,12,0.59,47.0
1728999027.79,12,0.59,47.0
1728999027.99,12,0.59,47.0
1728999028.19,12,0.59,47.0
1728999028.39,13,0.66,27.0
1728999028.59,13,0.66,27.0
1728999028.8,13,0.66,27.0
1728999029.0,13,0.66,27.0
1728999029.2,13,0.66,27.0
1728999029.4,14,0.89,37.0
1728999029.6,14,0.89,37.0
1728999029.8,14,0.89,37.0
1728999030.0,14,0.89,37.0
1728999030.2,14,0.89,37.0
1728999030.4,15,0.0,48.0
1728999030.6,15,0.0,48.0
1728999030.8,15,0.0,48.0
1728999031.0,15,0.0,48.0
1728999031.2,15,0.0,48.0
1728999031.41,16,0.0,48.0
1728999031.61,16,0.0,48.0
1728999031.81,16,0.0,48.0
1728999032.01,16,0.0,48.0
1728999032.21,16,0.0,48.0
1728999032.41,17,0.0,48.0
1728999032.61,17,0.0,48.0
1728999032.81,17,0.0,48.0
1728999033.01,17,0.0,48.0
1728999033.21,17,0.0,48.0
1728999033.41,18,0.0,48.0
1728999033.61,18,0.0,48.0
1728999033.81,18,0.0,48.0
1728999034.02,18,0.0,48.0
1728999034.22,18,0.0,48.0
1728999034.42,19,0.0,48.0
1728999034.62,19,0.0,48.0
1728999034.82,19,0.0,48.0
1728999035.02,19,0.0,48.0
1728999035.22,19,0.0,48.0
1728999035.42,20,0.0,48.0
1728999035.62,20,0.0,48.0
1728999035.82,20,0.0,48.0
1728999036.02,20,0.0,48.0
1728999036.22,20,0.0,48.0
1728999036.42,21,0.0,48.0
1728999036.62,21,0.0,48.0
1728999036.83,21,0.0,48.0
1728999037.03,21,0.0,48.0
1728999037.23,21,0.0,48.0
1728999037.43,22,0.0,48.0
1728999037.63,22,0.0,48.0
1728999037.83,22,0.0,48.0
1728999038.03,22,0.0,48.0
1728999038.23,22,0.0,48.0
1728999038.43,23,0.0,48.0
1728999038.63,23,0.0,48.0
1728999038.83,23,0.0,48.0
1728999039.03,23,0.0,48.0
1728999039.23,23,0.0,48.0
1728999039.44,24,0.0,48.0
1728999039.64,24,0.0,48.0
1728999039.84,24,0.0,48.0
1728999040.04,24,0.0,48.0
1728999040.24,24,0.0,48.0
1728999040.44,25,0.0,48.0
1728999040.64,25,0.0,48.0
1728999040.84,25,0.0,48.0
1728999041.04,25,0.0,48.0
1728999041.24,25,0.0,48.0
1728999041.44,26,0.0,48.0
1728999041.64,26,0.0,48.0
1728999041.84,26,0.0,48.0
1728999042.05,26,0.0,48.0
1728999042.25,26,0.0,48.0
1728999042.45,27,0.0,48.0
1728999042.65,27,0.0,48.0
1728999042.85,27,0.0,48.0
1728999043.05,27,0.0,48.0
1728999043.25,27,0.0,48.0
1728999043.45,28,0.0,48.0
1728999043.65,28,0.0,48.0
1728999043.85,28,0.0,48.0
1728999044.05,28,0.0,48.0
1728999044.25,28,0.0,48.0
1728999044.45,29,0.0,48.0
1728999044.65,29,0.0,48.0
1728999044.85,29,0.0,48.0
1728999045.06,29,0.0,48.0
1728999045.26,29,0.0,48.0
1728999045.46,30,0.0,48.0
1728999045.66,30,0.0,48.0
1728999045.86,30,0.0,48.0
1728999046.06,30,0.0,48.0
1728999046.26,30,0.0,48.0
1728999046.46,31,0.0,48.0
1728999046.66,31,0.0,48.0
1728999046.86,31,0.0,48.0
1728999047.06,31,0.0,48.0
1728999047.26,31,0.0,48.0
1728999047.46,32,1.32,121.0
1728999047.66,32,1.32,121.0
1728999047.86,32,1.32,121.0
1728999048.07,32,1.32,121.0
1728999048.27,32,1.32,121.0
1728999048.47,33,1.12,119.0
1728999048.67,33,1.12,119.0
1728999048.87,33,1.12,119.0
1728999049.07,33,1.12,119.0
1728999049.27,33,1.12,119.0
1728999049.47,34,1.08,119.0
1728999049.67,34,1.08,119.0
1728999049.87,34,1.08,119.0
1728999050.07,34,1.08,119.0
1728999050.27,34,1.08,119.0
1728999050.47,35,1.29,116.0
1728999050.68,35,1.29,116.0
1728999050.88,35,1.29,116.0
1728999051.08,35,1.29,116.0
1728999051.28,35,1.29,116.0
1728999051.48,36,0.0,105.0
1728999051.68,36,0.0,105.0
1728999051.88,36,0.0,105.0
1728999052.08,36,0.0,105.0
1728999052.28,36,0.0,105.0
1728999052.48,37,1.63,105.0
1728999052.68,37,1.63,105.0
1728999052.88,37,1.63,105.0
1728999053.08,37,1.63,105.0
1728999053.28,37,1.63,105.0
1728999053.48,38,0.73,119.0
1728999053.69,38,0.73,119.0
1728999053.89,38,0.73,119.0
1728999054.09,38,0.73,119.0
1728999054.29,38,0.73,119.0
1728999054.49,39,1.11,135.0
1728999054.69,39,1.11,135.0
1728999054.89,39,1.11,135.0
1728999055.09,39,1.11,135.0
1728999055.29,39,1.11,135.0
1728999055.49,40,0.86,128.0
1728999055.69,40,0.86,128.0
1728999055.9,40,0.86,128.0
1728999056.1,40,0.86,128.0
1728999056.3,40,0.86,128.0
1728999056.5,41,1.3,123.0
1728999056.7,41,1.3,123.0
1728999056.9,41,1.3,123.0
1728999057.11,41,1.3,123.0
1728999057.31,41,1.3,123.0
1728999057.51,42,1.05,116.0
1728999057.71,42,1.05,116.0
1728999057.91,42,1.05,116.0
1728999058.11,42,1.05,116.0
1728999058.31,42,1.05,116.0
1728999058.51,43,1.44,117.0
1728999058.71,43,1.44,117.0
1728999058.91,43,1.44,117.0
1728999059.12,43,1.44,117.0
1728999059.32,43,1.44,117.0
1728999059.52,44,1.42,130.0
1728999059.72,44,1.42,130.0
1728999059.92,44,1.42,130.0
1728999060.12,44,1.42,130.0
1728999060.32,44,1.42,130.0
1728999060.52,45,1.04,124.0
1728999060.72,45,1.04,124.0
1728999060.92,45,1.04,124.0
1728999061.12,45,1.04,124.0
1728999061.32,45,1.04,124.0
1728999061.52,46,0.77,129.0
1728999061.73,46,0.77,129.0
1728999061.93,46,0.77,129.0
1728999062.13,46,0.77,129.0
1728999062.33,46,0.77,129.0
1728999062.53,47,0.54,111.0
1728999062.73,47,0.54,111.0
1728999062.93,47,0.54,111.0
1728999063.13,47,0.54,111.0
1728999063.33,47,0.54,111.0
