time,num,w_s,w_a
1728998925.29,0,0.99,19.0
1728998925.49,0,0.99,19.0
1728998925.69,0,0.99,19.0
1728998925.89,0,0.99,19.0
1728998926.09,1,0.71,0.0
1728998926.3,1,0.71,0.0
1728998926.5,1,0.71,0.0
1728998926.7,1,0.71,0.0
1728998926.9,1,0.71,0.0
1728998927.1,2,0.81,5.0
1728998927.3,2,0.81,5.0
1728998927.5,2,0.81,5.0
1728998927.7,2,0.81,5.0
1728998927.9,2,0.81,5.0
1728998928.11,3,0.75,14.0
1728998928.31,3,0.75,14.0
1728998928.51,3,0.75,14.0
1728998928.71,3,0.75,14.0
1728998928.91,3,0.75,14.0
1728998929.12,4,0.95,357.0
1728998929.32,4,0.95,357.0
1728998929.52,4,0.95,357.0
1728998929.72,4,0.95,357.0
1728998929.92,4,0.95,357.0
1728998930.12,5,1.01,350.0
1728998930.32,5,1.01,350.0
1728998930.52,5,1.01,350.0
1728998930.72,5,1.01,350.0
1728998930.92,5,1.01,350.0
1728998931.12,6,0.78,1.0
1728998931.32,6,0.78,1.0
1728998931.52,6,0.78,1.0
1728998931.72,6,0.78,1.0
1728998931.93,6,0.78,1.0
1728998932.13,7,0.52,4.0
1728998932.33,7,0.52,4.0
1728998932.53,7,0.52,4.0
1728998932.73,7,0.52,4.0
1728998932.93,7,0.52,4.0
1728998933.13,8,0.52,354.0
1728998933.33,8,0.52,354.0
1728998933.53,8,0.52,354.0
1728998933.73,8,0.52,354.0
1728998933.93,8,0.52,354.0
1728998934.13,9,0.0,354.0
1728998934.33,9,0.0,354.0
1728998934.53,9,0.0,354.0
1728998934.73,9,0.0,354.0
1728998934.94,9,0.0,354.0
1728998935.14,10,0.8,353.0
1728998935.34,10,0.8,353.0
1728998935.54,10,0.8,353.0
1728998935.74,10,0.8,353.0
1728998935.94,10,0.8,353.0
1728998936.14,11,0.84,341.0
1728998936.34,11,0.84,341.0
1728998936.54,11,0.84,341.0
1728998936.74,11,0.84,341.0
1728998936.94,11,0.84,341.0
1728998937.14,12,1.01,340.0
1728998937.34,12,1.01,340.0
1728998937.54,12,1.01,340.0
1728998937.74,12,1.01,340.0
1728998937.94,12,1.01,340.0
1728998938.15,13,0.72,356.0
1728998938.35,13,0.72,356.0
1728998938.55,13,0.72,356.0
1728998938.75,13,0.72,356.0
1728998938.95,13,0.72,356.0
1728998939.15,14,0.0,348.0
1728998939.35,14,0.0,348.0
1728998939.55,14,0.0,348.0
1728998939.75,14,0.0,348.0
1728998939.95,14,0.0,348.0
1728998940.15,15,0.0,348.0
1728998940.36,15,0.0,348.0
1728998940.56,15,0.0,348.0
1728998940.76,15,0.0,348.0
1728998940.96,15,0.0,348.0
1728998941.16,16,0.92,346.0
1728998941.36,16,0.92,346.0
1728998941.56,16,0.92,346.0
1728998941.76,16,0.92,346.0
1728998941.96,16,0.92,346.0
1728998942.16,17,0.75,357.0
1728998942.36,17,0.75,357.0
1728998942.56,17,0.75,357.0
1728998942.76,17,0.75,357.0
1728998942.96,17,0.75,357.0
1728998943.16,18,0.96,5.0
1728998943.36,18,0.96,5.0
1728998943.57,18,0.96,5.0
1728998943.77,18,0.96,5.0
1728998943.97,18,0.96,5.0
1728998944.17,19,0.98,0.0
1728998944.37,19,0.98,0.0
1728998944.57,19,0.98,0.0
1728998944.77,19,0.98,0.0
1728998944.97,19,0.98,0.0
1728998945.17,20,0.83,359.0
1728998945.37,20,0.83,359.0
1728998945.57,20,0.83,359.0
1728998945.77,20,0.83,359.0
1728998945.97,20,0.83,359.0
1728998946.17,21,1.01,4.0
1728998946.37,21,1.01,4.0
1728998946.58,21,1.01,4.0
1728998946.78,21,1.01,4.0
1728998946.98,21,1.01,4.0
1728998947.18,22,1.28,359.0
1728998947.38,22,1.28,359.0
1728998947.58,22,1.28,359.0
1728998947.78,22,1.28,359.0
1728998947.98,22,1.28,359.0
1728998948.18,23,1.04,358.0
1728998948.39,23,1.04,358.0
1728998948.59,23,1.04,358.0
1728998948.79,23,1.04,358.0
