time,w_s,w_a,air_prs,b_voltage,b_current,b_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
1728453803.17,,,97251.75,16.1959991455,0.0,1.0,-1.05026257038,-8.37847328186,2.66915845871,34.0299573,108.75655,34.0300598145,108.756416321,10.0,-0.00523886253069,0.00572666282904,-0.963886287152,-0.266200843894,0.00974613707513,-0.000320823281072,-0.0150810480118,0.12524177134,-0.055500946939,9.77240943909,0.0
1728453803.39,,,97252.25,16.1949996948,0.0,1.0,-1.042288661,-8.36346626282,2.66728806496,34.0299575,108.7565501,34.0300598145,108.756416321,10.0,-0.0053048838402,0.00581397636422,-0.963875033943,-0.266239071086,0.0102253593504,-0.000117534640594,-0.0157636553049,0.140182375908,-0.0621959976852,9.79926013947,0.0
1728453803.57,,,97253.0,16.2010002136,0.0,1.0,-1.03436470032,-8.34711647034,2.6680970192,34.0299577,108.7565503,34.0300598145,108.756416321,10.0,-0.00536727603441,0.00588488806641,-0.963860577574,-0.266288172164,0.00999105162919,-0.00059893616708,-0.0154653573409,0.144858330488,-0.0671898722649,9.79116821289,0.0
1728453803.77,,,97252.5,16.2059993744,0.0,1.0,-1.02393841743,-8.32885837555,2.66826057434,34.0299578,108.7565502,34.0300598145,108.756416321,10.0,-0.00536837991964,0.00587244536184,-0.963870292423,-0.2662532535,0.0122429812327,3.12802367262e-05,-0.0156213929877,0.134293466806,-0.0537571646273,9.79047012329,0.0
1728453803.97,,,97251.9921875,16.202999115,0.0,1.0,-1.0166913271,-8.31243419647,2.66414737701,34.0299581,108.7565504,34.0300598145,108.756416321,10.0,-0.00533614249903,0.00582028898666,-0.963883231505,-0.266208282813,0.0120442574844,-0.0013652757043,-0.0175081025809,0.125582873821,-0.0521954745054,9.80476570129,0.0
1728453804.17,,,97251.7421875,16.202999115,0.0,1.0,-1.00909924507,-8.29359054565,2.66027474403,34.0299582,108.7565505,34.0300598145,108.756416321,10.0,-0.0052871950466,0.00579140964914,-0.963893051721,-0.266174101719,0.0122272707522,-0.000682560377754,-0.0179232098162,0.0979068353772,-0.0694974586368,9.8042049408,0.0
1728453804.37,,,97253.0,16.1949996948,0.0,1.0,-1.00279259682,-8.27275276184,2.65882015228,34.0299584,108.7565506,34.0300598145,108.756416321,10.0,-0.00528961367478,0.00574233775238,-0.963903925608,-0.266135579499,0.0111551079899,0.000691559747793,-0.0170915834606,0.135748937726,-0.0512408651412,9.82231426239,0.0
1728453804.57,,,97251.25,16.1940002441,0.0,1.0,-0.995896816254,-8.25238704681,2.65842413902,34.0299584,108.7565507,34.0300598145,108.756416321,10.0,-0.00528691039074,0.0057374710673,-0.963900848888,-0.26614733847,0.0113673126325,0.00210830452852,-0.0167378000915,0.145991832018,-0.0583677180111,9.80027198792,0.0
1728453804.77,,,97256.25,16.1909999847,0.0,1.0,-0.98975610733,-8.23614501953,2.65541100502,34.0299587,108.7565508,34.0300598145,108.756416321,10.0,-0.00530247171514,0.00576105494554,-0.963896212735,-0.266163101391,0.0114466426894,0.00180016434751,-0.0169683340937,0.0866166949272,-0.0868612155318,9.79735946655,0.0
1728453804.99,,,97254.0,16.1909999847,0.0,1.0,-0.981722593307,-8.21650314331,2.65356183052,34.0299587,108.7565508,34.0300598145,108.756416321,10.0,-0.0052719472717,0.00571429853243,-0.963918719152,-0.266083190966,0.0117604108527,0.0032432039734,-0.0168322268873,0.129762560129,-0.0628692060709,9.7853307724,0.0
