time,num,w_s,w_a
1728998918.96,0,1.14,284.0
1728998919.16,0,1.14,284.0
1728998919.36,0,1.14,284.0
1728998919.56,0,1.14,284.0
1728998920.77,3,0.0,306.0
1728998920.98,3,0.0,306.0
1728998921.18,3,0.0,306.0
1728998921.38,3,0.0,306.0
1728998921.58,3,0.0,306.0
1728998921.78,4,0.0,306.0
1728998921.98,4,0.0,306.0
1728998922.18,4,0.0,306.0
1728998922.38,4,0.0,306.0
1728998922.58,4,0.0,306.0
1728998922.78,5,0.0,306.0
1728998922.98,5,0.0,306.0
1728998923.18,5,0.0,306.0
1728998923.38,5,0.0,306.0
1728998923.58,5,0.0,306.0
1728998923.78,6,0.0,306.0
1728998923.99,6,0.0,306.0
1728998924.19,6,0.0,306.0
1728998924.39,6,0.0,306.0
1728998924.59,6,0.0,306.0
1728998924.79,7,0.53,304.0
1728998924.99,7,0.53,304.0
1728998925.19,7,0.53,304.0
1728998925.39,7,0.53,304.0
1728998925.59,7,0.53,304.0
1728998925.79,8,0.0,304.0
1728998925.99,8,0.0,304.0
1728998926.19,8,0.0,304.0
1728998926.39,8,0.0,304.0
1728998926.6,8,0.0,304.0
1728998926.8,9,0.0,304.0
1728998927.0,9,0.0,304.0
1728998927.2,9,0.0,304.0
1728998927.4,9,0.0,304.0
1728998927.6,9,0.0,304.0
1728998927.81,10,0.53,278.0
1728998928.01,10,0.53,278.0
1728998928.21,10,0.53,278.0
1728998928.41,10,0.53,278.0
1728998928.61,10,0.53,278.0
1728998928.81,11,1.01,295.0
1728998929.01,11,1.01,295.0
1728998929.21,11,1.01,295.0
1728998929.41,11,1.01,295.0
1728998929.61,11,1.01,295.0
1728998929.81,12,0.0,281.0
1728998930.01,12,0.0,281.0
1728998930.21,12,0.0,281.0
1728998930.42,12,0.0,281.0
1728998930.62,12,0.0,281.0
1728998930.82,13,0.0,281.0
1728998931.02,13,0.0,281.0
1728998931.22,13,0.0,281.0
1728998931.42,13,0.0,281.0
1728998931.62,13,0.0,281.0
1728998931.82,14,0.0,281.0
1728998932.02,14,0.0,281.0
1728998932.22,14,0.0,281.0
1728998932.42,14,0.0,281.0
1728998932.62,14,0.0,281.0
1728998932.82,15,0.0,281.0
1728998933.02,15,0.0,281.0
1728998933.22,15,0.0,281.0
1728998933.42,15,0.0,281.0
1728998933.62,15,0.0,281.0
1728998933.83,16,0.0,281.0
1728998934.03,16,0.0,281.0
1728998934.23,16,0.0,281.0
1728998934.43,16,0.0,281.0
