time,num,w_s,w_a
1728453431.61,0,0.0,136.0
1728453431.81,0,0.0,136.0
1728453432.01,0,0.0,136.0
1728453432.21,0,0.0,136.0
1728453432.42,1,0.0,136.0
1728453432.62,1,0.0,136.0
1728453432.82,1,0.0,136.0
1728453433.02,1,0.0,136.0
1728453433.22,1,0.0,136.0
1728453433.42,2,0.0,136.0
1728453433.63,2,0.0,136.0
1728453433.83,2,0.0,136.0
1728453434.03,2,0.0,136.0
1728453434.23,2,0.0,136.0
1728453434.43,3,0.0,136.0
1728453434.63,3,0.0,136.0
1728453434.83,3,0.0,136.0
1728453435.03,3,0.0,136.0
1728453435.23,3,0.0,136.0
1728453435.44,4,0.0,136.0
1728453435.64,4,0.0,136.0
1728453435.84,4,0.0,136.0
1728453436.04,4,0.0,136.0
1728453436.24,4,0.0,136.0
1728453436.45,5,0.0,136.0
1728453436.65,5,0.0,136.0
1728453436.85,5,0.0,136.0
1728453437.05,5,0.0,136.0
1728453437.26,5,0.0,136.0
1728453437.46,6,0.0,136.0
1728453437.66,6,0.0,136.0
1728453437.87,6,0.0,136.0
1728453438.07,6,0.0,136.0
1728453438.27,6,0.0,136.0
1728453438.48,7,0.0,136.0
1728453438.68,7,0.0,136.0
1728453438.88,7,0.0,136.0
1728453439.08,7,0.0,136.0
1728453439.28,7,0.0,136.0
1728453439.49,8,0.0,136.0
1728453439.69,8,0.0,136.0
1728453439.89,8,0.0,136.0
1728453440.09,8,0.0,136.0
1728453440.29,8,0.0,136.0
1728453440.49,9,0.0,136.0
1728453440.69,9,0.0,136.0
1728453440.89,9,0.0,136.0
1728453441.09,9,0.0,136.0
1728453441.3,9,0.0,136.0
1728453441.5,10,0.0,136.0
1728453441.7,10,0.0,136.0
1728453441.9,10,0.0,136.0
1728453442.1,10,0.0,136.0
1728453442.3,10,0.0,136.0
1728453442.51,11,0.0,136.0
1728453442.71,11,0.0,136.0
1728453442.91,11,0.0,136.0
1728453443.11,11,0.0,136.0
1728453443.31,11,0.0,136.0
1728453443.51,12,0.0,136.0
1728453443.72,12,0.0,136.0
1728453443.92,12,0.0,136.0
1728453444.12,12,0.0,136.0
1728453444.32,12,0.0,136.0
1728453444.52,13,0.68,123.0
1728453444.72,13,0.68,123.0
1728453444.93,13,0.68,123.0
1728453445.13,13,0.68,123.0
1728453445.33,13,0.68,123.0
1728453445.54,14,0.0,124.0
1728453445.74,14,0.0,124.0
1728453445.94,14,0.0,124.0
1728453446.14,14,0.0,124.0
1728453446.34,14,0.0,124.0
1728453446.54,15,0.0,124.0
1728453446.75,15,0.0,124.0
1728453446.95,15,0.0,124.0
1728453447.15,15,0.0,124.0
1728453447.35,15,0.0,124.0
1728453447.55,16,0.0,124.0
1728453447.75,16,0.0,124.0
1728453447.95,16,0.0,124.0
1728453448.15,16,0.0,124.0
1728453448.35,16,0.0,124.0
1728453448.55,17,0.0,124.0
1728453448.75,17,0.0,124.0
1728453448.95,17,0.0,124.0
1728453449.15,17,0.0,124.0
1728453449.35,17,0.0,124.0
1728453449.56,18,0.0,124.0
1728453449.76,18,0.0,124.0
1728453449.96,18,0.0,124.0
1728453450.16,18,0.0,124.0
1728453450.36,18,0.0,124.0
1728453450.56,19,0.0,124.0
1728453450.76,19,0.0,124.0
1728453450.96,19,0.0,124.0
1728453451.16,19,0.0,124.0
1728453451.36,19,0.0,124.0
1728453451.56,20,0.0,124.0
1728453451.76,20,0.0,124.0
1728453451.96,20,0.0,124.0
1728453452.16,20,0.0,124.0
1728453452.36,20,0.0,124.0
1728453452.56,21,0.0,124.0
1728453452.76,21,0.0,124.0
1728453452.96,21,0.0,124.0
1728453453.17,21,0.0,124.0
1728453453.37,21,0.0,124.0
1728453453.57,22,0.0,124.0
1728453453.77,22,0.0,124.0
1728453453.97,22,0.0,124.0
1728453454.17,22,0.0,124.0
1728453454.37,22,0.0,124.0
1728453454.57,23,0.0,124.0
1728453454.77,23,0.0,124.0
1728453454.97,23,0.0,124.0
1728453455.17,23,0.0,124.0
1728453455.37,23,0.0,124.0
1728453455.57,24,0.0,124.0
1728453455.77,24,0.0,124.0
1728453455.97,24,0.0,124.0
1728453456.17,24,0.0,124.0
1728453456.37,24,0.0,124.0
1728453456.58,25,0.0,124.0
1728453456.78,25,0.0,124.0
1728453456.98,25,0.0,124.0
1728453457.18,25,0.0,124.0
1728453457.38,25,0.0,124.0
1728453457.58,26,0.0,124.0
1728453457.78,26,0.0,124.0
1728453457.98,26,0.0,124.0
1728453458.18,26,0.0,124.0
1728453458.38,26,0.0,124.0
1728453458.58,27,0.0,124.0
1728453458.78,27,0.0,124.0
1728453458.98,27,0.0,124.0
1728453459.18,27,0.0,124.0
1728453459.38,27,0.0,124.0
1728453459.59,28,0.0,124.0
1728453459.79,28,0.0,124.0
1728453459.99,28,0.0,124.0
1728453460.19,28,0.0,124.0
1728453460.39,28,0.0,124.0
1728453460.59,29,0.0,124.0
1728453460.79,29,0.0,124.0
1728453460.99,29,0.0,124.0
1728453461.19,29,0.0,124.0
1728453461.39,29,0.0,124.0
1728453461.59,30,0.0,124.0
1728453461.79,30,0.0,124.0
1728453461.99,30,0.0,124.0
1728453462.19,30,0.0,124.0
1728453462.39,30,0.0,124.0
1728453462.59,31,0.0,124.0
1728453462.79,31,0.0,124.0
1728453463.0,31,0.0,124.0
1728453463.2,31,0.0,124.0
1728453463.4,31,0.0,124.0
1728453463.6,32,0.0,124.0
1728453463.8,32,0.0,124.0
1728453464.0,32,0.0,124.0
1728453464.2,32,0.0,124.0
1728453464.4,32,0.0,124.0
1728453464.6,33,0.0,124.0
1728453464.8,33,0.0,124.0
1728453465.0,33,0.0,124.0
1728453465.2,33,0.0,124.0
1728453465.4,33,0.0,124.0
1728453465.61,34,0.0,124.0
1728453465.81,34,0.0,124.0
1728453466.01,34,0.0,124.0
1728453466.21,34,0.0,124.0
1728453466.41,34,0.0,124.0
1728453466.61,35,0.0,124.0
1728453466.81,35,0.0,124.0
1728453467.01,35,0.0,124.0
1728453467.21,35,0.0,124.0
1728453467.41,35,0.0,124.0
1728453467.61,36,0.0,124.0
1728453467.82,36,0.0,124.0
1728453468.02,36,0.0,124.0
1728453468.22,36,0.0,124.0
1728453468.42,36,0.0,124.0
1728453468.62,37,0.0,124.0
1728453468.82,37,0.0,124.0
1728453469.02,37,0.0,124.0
