time,num,w_s,w_a
1728998927.02,0,0.0,326.0
1728998927.22,0,0.0,326.0
1728998927.42,0,0.0,326.0
1728998927.62,0,0.0,326.0
1728998928.82,3,0.0,326.0
1728998929.02,3,0.0,326.0
1728998929.22,3,0.0,326.0
1728998929.42,3,0.0,326.0
1728998929.63,3,0.0,326.0
1728998930.83,6,0.0,326.0
1728998931.03,6,0.0,326.0
1728998931.23,6,0.0,326.0
1728998931.43,6,0.0,326.0
1728998931.63,6,0.0,326.0
1728998932.84,9,0.0,326.0
1728998933.04,9,0.0,326.0
1728998933.24,9,0.0,326.0
1728998933.44,9,0.0,326.0
1728998933.64,9,0.0,326.0
1728998934.84,12,0.0,326.0
1728998935.04,12,0.0,326.0
1728998935.24,12,0.0,326.0
1728998935.44,12,0.0,326.0
1728998935.65,12,0.0,326.0
1728998936.85,15,0.0,326.0
1728998937.05,15,0.0,326.0
1728998937.25,15,0.0,326.0
1728998937.45,15,0.0,326.0
1728998937.65,15,0.0,326.0
1728998938.85,18,0.0,326.0
1728998939.05,18,0.0,326.0
1728998939.26,18,0.0,326.0
1728998939.46,18,0.0,326.0
1728998939.66,18,0.0,326.0
1728998940.86,21,0.0,326.0
1728998941.06,21,0.0,326.0
1728998941.26,21,0.0,326.0
1728998941.46,21,0.0,326.0
1728998941.66,21,0.0,326.0
1728998942.87,23,0.0,326.0
1728998943.07,23,0.0,326.0
1728998943.27,23,0.0,326.0
1728998943.47,23,0.0,326.0
1728998943.67,23,0.0,326.0
1728998943.87,24,0.0,326.0
1728998944.07,24,0.0,326.0
1728998944.27,24,0.0,326.0
1728998944.47,24,0.0,326.0
1728998944.67,24,0.0,326.0
1728998944.88,25,0.52,15.0
1728998945.08,25,0.52,15.0
1728998945.28,25,0.52,15.0
1728998945.48,25,0.52,15.0
1728998945.68,25,0.52,15.0
1728998945.88,26,0.65,16.0
1728998946.08,26,0.65,16.0
1728998946.28,26,0.65,16.0
1728998946.48,26,0.65,16.0
1728998946.68,26,0.65,16.0
1728998946.88,27,0.51,20.0
1728998947.08,27,0.51,20.0
1728998947.28,27,0.51,20.0
1728998947.48,27,0.51,20.0
1728998947.68,27,0.51,20.0
1728998947.89,28,0.0,20.0
1728998948.09,28,0.0,20.0
1728998948.29,28,0.0,20.0
1728998948.49,28,0.0,20.0
