time,num,w_s,w_a
1728998998.95,0,1.03,319.0
1728998999.15,0,1.03,319.0
1728998999.36,0,1.03,319.0
1728998999.56,0,1.03,319.0
1728999000.76,3,0.91,319.0
1728999000.96,3,0.91,319.0
1728999001.16,3,0.91,319.0
1728999001.36,3,0.91,319.0
1728999001.56,3,0.91,319.0
1728999002.77,6,0.83,312.0
1728999002.97,6,0.83,312.0
1728999003.17,6,0.83,312.0
1728999003.37,6,0.83,312.0
1728999003.57,6,0.83,312.0
1728999004.77,9,1.21,323.0
1728999004.97,9,1.21,323.0
1728999005.18,9,1.21,323.0
1728999005.38,9,1.21,323.0
1728999005.58,9,1.21,323.0
1728999006.78,12,0.97,308.0
1728999006.98,12,0.97,308.0
1728999007.18,12,0.97,308.0
1728999007.38,12,0.97,308.0
1728999007.58,12,0.97,308.0
1728999008.79,15,1.39,310.0
1728999008.99,15,1.39,310.0
1728999009.19,15,1.39,310.0
1728999009.39,15,1.39,310.0
1728999009.59,15,1.39,310.0
1728999009.79,16,1.56,306.0
1728999009.99,16,1.56,306.0
1728999010.19,16,1.56,306.0
1728999010.39,16,1.56,306.0
1728999010.59,16,1.56,306.0
1728999010.79,17,1.39,309.0
1728999010.99,17,1.39,309.0
1728999011.2,17,1.39,309.0
1728999011.4,17,1.39,309.0
1728999011.6,17,1.39,309.0
1728999011.8,18,1.08,323.0
1728999012.0,18,1.08,323.0
1728999012.2,18,1.08,323.0
1728999012.4,18,1.08,323.0
1728999012.6,18,1.08,323.0
1728999012.8,19,1.2,316.0
1728999013.0,19,1.2,316.0
1728999013.2,19,1.2,316.0
1728999013.4,19,1.2,316.0
1728999013.6,19,1.2,316.0
1728999013.81,20,1.31,311.0
1728999014.01,20,1.31,311.0
1728999014.21,20,1.31,311.0
1728999014.41,20,1.31,311.0
1728999014.61,20,1.31,311.0
1728999014.81,21,1.38,310.0
1728999015.01,21,1.38,310.0
1728999015.21,21,1.38,310.0
1728999015.41,21,1.38,310.0
1728999015.61,21,1.38,310.0
1728999015.81,22,1.25,321.0
1728999016.01,22,1.25,321.0
1728999016.22,22,1.25,321.0
1728999016.42,22,1.25,321.0
1728999016.62,22,1.25,321.0
1728999016.82,23,1.13,329.0
1728999017.02,23,1.13,329.0
1728999017.22,23,1.13,329.0
1728999017.42,23,1.13,329.0
1728999017.62,23,1.13,329.0
1728999017.82,24,0.8,315.0
1728999018.02,24,0.8,315.0
1728999018.22,24,0.8,315.0
1728999018.42,24,0.8,315.0
1728999018.63,24,0.8,315.0
1728999018.83,25,1.34,306.0
1728999019.03,25,1.34,306.0
1728999019.23,25,1.34,306.0
1728999019.43,25,1.34,306.0
1728999019.63,25,1.34,306.0
1728999019.83,26,1.24,314.0
1728999020.03,26,1.24,314.0
1728999020.23,26,1.24,314.0
1728999020.43,26,1.24,314.0
1728999020.64,26,1.24,314.0
1728999020.84,27,1.1,325.0
1728999021.04,27,1.1,325.0
1728999021.24,27,1.1,325.0
1728999021.44,27,1.1,325.0
1728999021.64,27,1.1,325.0
1728999021.84,28,1.03,329.0
1728999022.04,28,1.03,329.0
1728999022.24,28,1.03,329.0
1728999022.44,28,1.03,329.0
1728999022.64,28,1.03,329.0
1728999022.84,29,1.06,345.0
1728999023.04,29,1.06,345.0
1728999023.24,29,1.06,345.0
1728999023.45,29,1.06,345.0
1728999023.65,29,1.06,345.0
1728999023.85,30,0.77,338.0
1728999024.05,30,0.77,338.0
1728999024.25,30,0.77,338.0
1728999024.45,30,0.77,338.0
1728999024.65,30,0.77,338.0
1728999024.85,31,1.04,324.0
1728999025.05,31,1.04,324.0
1728999025.25,31,1.04,324.0
1728999025.45,31,1.04,324.0
1728999025.65,31,1.04,324.0
1728999025.85,32,0.95,331.0
1728999026.05,32,0.95,331.0
1728999026.26,32,0.95,331.0
1728999026.46,32,0.95,331.0
1728999026.66,32,0.95,331.0
1728999026.86,33,0.97,311.0
1728999027.06,33,0.97,311.0
1728999027.26,33,0.97,311.0
1728999027.46,33,0.97,311.0
1728999027.66,33,0.97,311.0
1728999027.86,34,0.58,319.0
1728999028.06,34,0.58,319.0
1728999028.26,34,0.58,319.0
1728999028.46,34,0.58,319.0
1728999028.66,34,0.58,319.0
1728999028.86,35,0.96,308.0
1728999029.07,35,0.96,308.0
1728999029.27,35,0.96,308.0
1728999029.47,35,0.96,308.0
1728999029.67,35,0.96,308.0
1728999029.87,36,1.2,311.0
1728999030.07,36,1.2,311.0
1728999030.27,36,1.2,311.0
1728999030.47,36,1.2,311.0
1728999030.67,36,1.2,311.0
1728999030.87,37,1.54,305.0
1728999031.07,37,1.54,305.0
1728999031.27,37,1.54,305.0
1728999031.48,37,1.54,305.0
1728999031.68,37,1.54,305.0
1728999031.88,38,1.04,315.0
1728999032.08,38,1.04,315.0
1728999032.28,38,1.04,315.0
1728999032.48,38,1.04,315.0
1728999032.68,38,1.04,315.0
1728999032.88,39,1.37,312.0
1728999033.08,39,1.37,312.0
1728999033.28,39,1.37,312.0
1728999033.48,39,1.37,312.0
1728999033.68,39,1.37,312.0
1728999033.88,40,1.32,313.0
1728999034.08,40,1.32,313.0
1728999034.28,40,1.32,313.0
1728999034.49,40,1.32,313.0
1728999034.69,40,1.32,313.0
1728999034.89,41,1.07,316.0
1728999035.09,41,1.07,316.0
1728999035.29,41,1.07,316.0
1728999035.49,41,1.07,316.0
1728999035.69,41,1.07,316.0
1728999035.89,42,1.26,311.0
1728999036.09,42,1.26,311.0
1728999036.29,42,1.26,311.0
1728999036.49,42,1.26,311.0
1728999036.7,42,1.26,311.0
1728999036.9,43,1.23,317.0
1728999037.1,43,1.23,317.0
1728999037.3,43,1.23,317.0
1728999037.5,43,1.23,317.0
1728999037.7,43,1.23,317.0
1728999037.9,44,1.39,301.0
1728999038.1,44,1.39,301.0
1728999038.3,44,1.39,301.0
1728999038.5,44,1.39,301.0
1728999038.7,44,1.39,301.0
1728999038.9,45,1.45,287.0
1728999039.1,45,1.45,287.0
1728999039.31,45,1.45,287.0
1728999039.51,45,1.45,287.0
1728999039.71,45,1.45,287.0
1728999039.91,46,1.54,284.0
1728999040.11,46,1.54,284.0
1728999040.31,46,1.54,284.0
1728999040.51,46,1.54,284.0
1728999040.71,46,1.54,284.0
1728999040.91,47,1.42,302.0
1728999041.11,47,1.42,302.0
1728999041.31,47,1.42,302.0
1728999041.51,47,1.42,302.0
1728999041.72,47,1.42,302.0
1728999041.92,48,1.67,288.0
1728999042.12,48,1.67,288.0
1728999042.32,48,1.67,288.0
1728999042.52,48,1.67,288.0
1728999042.72,48,1.67,288.0
1728999042.92,49,1.38,303.0
1728999043.12,49,1.38,303.0
1728999043.32,49,1.38,303.0
1728999043.52,49,1.38,303.0
1728999043.72,49,1.38,303.0
1728999043.92,50,1.35,289.0
1728999044.12,50,1.35,289.0
1728999044.33,50,1.35,289.0
1728999044.53,50,1.35,289.0
1728999044.73,50,1.35,289.0
1728999044.93,51,1.35,291.0
1728999045.13,51,1.35,291.0
1728999045.33,51,1.35,291.0
1728999045.53,51,1.35,291.0
1728999045.73,51,1.35,291.0
1728999045.93,52,1.02,310.0
1728999046.14,52,1.02,310.0
1728999046.34,52,1.02,310.0
1728999046.54,52,1.02,310.0
1728999046.74,52,1.02,310.0
1728999046.94,53,1.07,318.0
1728999047.14,53,1.07,318.0
1728999047.34,53,1.07,318.0
1728999047.54,53,1.07,318.0
1728999047.74,53,1.07,318.0
1728999047.95,54,0.89,322.0
1728999048.15,54,0.89,322.0
1728999048.35,54,0.89,322.0
1728999048.55,54,0.89,322.0
1728999048.75,54,0.89,322.0
1728999048.95,55,0.75,315.0
1728999049.16,55,0.75,315.0
1728999049.36,55,0.75,315.0
1728999049.56,55,0.75,315.0
1728999049.76,55,0.75,315.0
1728999049.96,56,0.8,312.0
