time,num,w_s,w_a
1728999064.4,0,0.0,335.0
1728999064.6,0,0.0,335.0
1728999064.8,0,0.0,335.0
1728999065.0,0,0.0,335.0
1728999066.21,3,0.0,335.0
1728999066.41,3,0.0,335.0
1728999066.61,3,0.0,335.0
1728999066.81,3,0.0,335.0
1728999067.01,3,0.0,335.0
1728999068.22,6,0.0,335.0
1728999068.42,6,0.0,335.0
1728999068.62,6,0.0,335.0
1728999068.82,6,0.0,335.0
1728999069.02,6,0.0,335.0
1728999070.23,8,0.0,335.0
1728999070.43,8,0.0,335.0
1728999070.63,8,0.0,335.0
1728999070.83,8,0.0,335.0
1728999071.03,8,0.0,335.0
1728999071.23,9,0.0,335.0
1728999071.43,9,0.0,335.0
1728999071.63,9,0.0,335.0
1728999071.83,9,0.0,335.0
1728999072.03,9,0.0,335.0
1728999072.23,10,0.0,335.0
1728999072.43,10,0.0,335.0
1728999072.63,10,0.0,335.0
1728999072.83,10,0.0,335.0
1728999073.03,10,0.0,335.0
1728999073.24,11,0.0,335.0
1728999073.44,11,0.0,335.0
1728999073.64,11,0.0,335.0
1728999073.84,11,0.0,335.0
1728999074.04,11,0.0,335.0
1728999074.24,12,0.0,335.0
1728999074.44,12,0.0,335.0
1728999074.64,12,0.0,335.0
1728999074.84,12,0.0,335.0
1728999075.04,12,0.0,335.0
1728999075.24,13,0.0,335.0
1728999075.44,13,0.0,335.0
1728999075.64,13,0.0,335.0
1728999075.85,13,0.0,335.0
1728999076.05,13,0.0,335.0
1728999076.25,14,0.0,335.0
1728999076.45,14,0.0,335.0
1728999076.65,14,0.0,335.0
1728999076.85,14,0.0,335.0
1728999077.05,14,0.0,335.0
1728999077.25,15,0.0,335.0
1728999077.45,15,0.0,335.0
1728999077.65,15,0.0,335.0
1728999077.85,15,0.0,335.0
1728999078.05,15,0.0,335.0
1728999078.25,16,0.0,335.0
1728999078.46,16,0.0,335.0
1728999078.66,16,0.0,335.0
1728999078.86,16,0.0,335.0
1728999079.06,16,0.0,335.0
1728999079.26,17,0.0,335.0
1728999079.46,17,0.0,335.0
1728999079.66,17,0.0,335.0
1728999079.86,17,0.0,335.0
1728999080.06,17,0.0,335.0
1728999080.26,18,0.0,335.0
1728999080.46,18,0.0,335.0
1728999080.66,18,0.0,335.0
1728999080.86,18,0.0,335.0
1728999081.06,18,0.0,335.0
1728999081.26,19,0.0,335.0
1728999081.47,19,0.0,335.0
1728999081.67,19,0.0,335.0
1728999081.87,19,0.0,335.0
1728999082.07,19,0.0,335.0
1728999082.27,20,0.0,335.0
1728999082.47,20,0.0,335.0
1728999082.67,20,0.0,335.0
1728999082.87,20,0.0,335.0
1728999083.07,20,0.0,335.0
1728999083.28,21,0.0,335.0
1728999083.48,21,0.0,335.0
1728999083.68,21,0.0,335.0
1728999083.88,21,0.0,335.0
1728999084.08,21,0.0,335.0
1728999084.28,22,0.0,335.0
1728999084.48,22,0.0,335.0
1728999084.68,22,0.0,335.0
1728999084.88,22,0.0,335.0
1728999085.09,22,0.0,335.0
1728999085.29,23,0.0,335.0
1728999085.49,23,0.0,335.0
1728999085.69,23,0.0,335.0
1728999085.89,23,0.0,335.0
1728999086.09,23,0.0,335.0
1728999086.29,24,0.0,335.0
1728999086.49,24,0.0,335.0
1728999086.69,24,0.0,335.0
1728999086.89,24,0.0,335.0
1728999087.09,24,0.0,335.0
1728999087.29,25,0.0,335.0
1728999087.49,25,0.0,335.0
1728999087.69,25,0.0,335.0
1728999087.9,25,0.0,335.0
1728999088.1,25,0.0,335.0
1728999088.3,26,0.0,335.0
1728999088.5,26,0.0,335.0
1728999088.7,26,0.0,335.0
1728999088.9,26,0.0,335.0
1728999089.1,26,0.0,335.0
1728999089.3,27,0.0,335.0
1728999089.5,27,0.0,335.0
1728999089.7,27,0.0,335.0
1728999089.9,27,0.0,335.0
1728999090.1,27,0.0,335.0
1728999090.31,28,0.0,335.0
1728999090.51,28,0.0,335.0
1728999090.71,28,0.0,335.0
1728999090.91,28,0.0,335.0
1728999091.11,28,0.0,335.0
1728999091.31,29,0.0,335.0
1728999091.51,29,0.0,335.0
1728999091.71,29,0.0,335.0
1728999091.91,29,0.0,335.0
1728999092.11,29,0.0,335.0
1728999092.31,30,0.0,335.0
1728999092.51,30,0.0,335.0
1728999092.71,30,0.0,335.0
1728999092.91,30,0.0,335.0
1728999093.11,30,0.0,335.0
1728999093.32,31,0.0,335.0
1728999093.52,31,0.0,335.0
1728999093.72,31,0.0,335.0
1728999093.92,31,0.0,335.0
1728999094.12,31,0.0,335.0
1728999094.32,32,0.0,335.0
1728999094.52,32,0.0,335.0
1728999094.72,32,0.0,335.0
1728999094.92,32,0.0,335.0
1728999095.12,32,0.0,335.0
1728999095.32,33,0.0,335.0
1728999095.52,33,0.0,335.0
1728999095.72,33,0.0,335.0
1728999095.92,33,0.0,335.0
1728999096.12,33,0.0,335.0
1728999096.33,34,0.0,335.0
1728999096.53,34,0.0,335.0
1728999096.73,34,0.0,335.0
1728999096.93,34,0.0,335.0
1728999097.13,34,0.0,335.0
1728999097.33,35,0.0,335.0
1728999097.53,35,0.0,335.0
1728999097.73,35,0.0,335.0
1728999097.93,35,0.0,335.0
1728999098.13,35,0.0,335.0
1728999098.33,36,0.0,335.0
1728999098.53,36,0.0,335.0
1728999098.73,36,0.0,335.0
1728999098.93,36,0.0,335.0
1728999099.14,36,0.0,335.0
1728999099.34,37,0.0,335.0
1728999099.54,37,0.0,335.0
1728999099.74,37,0.0,335.0
1728999099.94,37,0.0,335.0
1728999100.14,37,0.0,335.0
1728999100.34,38,0.0,217.0
1728999100.54,38,0.0,217.0
1728999100.74,38,0.0,217.0
1728999100.94,38,0.0,217.0
1728999101.14,38,0.0,217.0
1728999101.34,39,0.0,217.0
1728999101.54,39,0.0,217.0
1728999101.74,39,0.0,217.0
1728999101.94,39,0.0,217.0
1728999102.15,39,0.0,217.0
1728999102.35,40,0.0,222.0
1728999102.55,40,0.0,222.0
1728999102.75,40,0.0,222.0
1728999102.95,40,0.0,222.0
1728999103.15,40,0.0,222.0
1728999103.35,41,0.0,222.0
1728999103.55,41,0.0,222.0
1728999103.75,41,0.0,222.0
1728999103.95,41,0.0,222.0
1728999104.15,41,0.0,222.0
1728999104.35,42,0.0,222.0
1728999104.55,42,0.0,222.0
1728999104.75,42,0.0,222.0
1728999104.95,42,0.0,222.0
1728999105.16,42,0.0,222.0
1728999105.36,43,0.0,222.0
1728999105.56,43,0.0,222.0
1728999105.76,43,0.0,222.0
1728999105.96,43,0.0,222.0
1728999106.16,43,0.0,222.0
1728999106.36,44,0.0,222.0
1728999106.56,44,0.0,222.0
1728999106.76,44,0.0,222.0
1728999106.96,44,0.0,222.0
1728999107.16,44,0.0,222.0
1728999107.37,45,0.0,222.0
1728999107.57,45,0.0,222.0
1728999107.77,45,0.0,222.0
1728999107.97,45,0.0,222.0
1728999108.17,45,0.0,222.0
1728999108.37,46,0.0,222.0
1728999108.57,46,0.0,222.0
1728999108.77,46,0.0,222.0
1728999108.97,46,0.0,222.0
1728999109.17,46,0.0,222.0
1728999109.37,47,0.0,222.0
1728999109.58,47,0.0,222.0
1728999109.78,47,0.0,222.0
1728999109.98,47,0.0,222.0
1728999110.18,47,0.0,222.0
1728999110.38,48,0.0,222.0
1728999110.58,48,0.0,222.0
1728999110.78,48,0.0,222.0
1728999110.98,48,0.0,222.0
1728999111.18,48,0.0,222.0
1728999111.38,49,0.0,222.0
1728999111.59,49,0.0,222.0
1728999111.79,49,0.0,222.0
1728999111.99,49,0.0,222.0
1728999112.19,49,0.0,222.0
1728999112.39,50,0.0,222.0
1728999112.59,50,0.0,222.0
1728999112.79,50,0.0,222.0
1728999112.99,50,0.0,222.0
1728999113.19,50,0.0,222.0
1728999113.39,51,0.0,222.0
1728999113.59,51,0.0,222.0
1728999113.79,51,0.0,222.0
1728999114.0,51,0.0,222.0
1728999114.2,51,0.0,222.0
1728999114.4,52,0.0,222.0
1728999114.6,52,0.0,222.0
1728999114.8,52,0.0,222.0
1728999115.0,52,0.0,222.0
1728999115.2,52,0.0,222.0
1728999115.4,53,0.0,23.0
1728999115.6,53,0.0,23.0
1728999115.8,53,0.0,23.0
