time,num,w_s,w_a
1728453308.21,1,0.0,206.0
1728453308.41,1,0.0,206.0
1728453308.61,1,0.0,206.0
1728453308.81,1,0.0,206.0
1728453309.01,2,0.0,206.0
1728453309.22,2,0.0,206.0
1728453309.42,2,0.0,206.0
1728453309.62,2,0.0,206.0
1728453309.82,2,0.0,206.0
1728453310.02,3,0.0,206.0
1728453310.22,3,0.0,206.0
1728453310.42,3,0.0,206.0
1728453310.63,3,0.0,206.0
1728453310.83,3,0.0,206.0
1728453311.03,4,0.0,206.0
1728453311.23,4,0.0,206.0
1728453311.43,4,0.0,206.0
1728453311.63,4,0.0,206.0
1728453311.83,4,0.0,206.0
1728453312.03,5,0.0,206.0
1728453312.23,5,0.0,206.0
1728453312.43,5,0.0,206.0
1728453312.64,5,0.0,206.0
1728453312.84,5,0.0,206.0
1728453313.04,6,0.0,206.0
1728453313.24,6,0.0,206.0
1728453313.44,6,0.0,206.0
1728453313.64,6,0.0,206.0
1728453313.84,6,0.0,206.0
1728453314.04,7,0.0,206.0
1728453314.24,7,0.0,206.0
1728453314.44,7,0.0,206.0
1728453314.64,7,0.0,206.0
1728453314.84,7,0.0,206.0
1728453315.04,8,0.0,206.0
1728453315.24,8,0.0,206.0
1728453315.44,8,0.0,206.0
1728453315.64,8,0.0,206.0
1728453315.84,8,0.0,206.0
1728453316.05,9,0.0,206.0
1728453316.25,9,0.0,206.0
1728453316.45,9,0.0,206.0
1728453316.65,9,0.0,206.0
1728453316.85,9,0.0,206.0
1728453317.05,10,0.0,206.0
1728453317.25,10,0.0,206.0
1728453317.45,10,0.0,206.0
1728453317.65,10,0.0,206.0
1728453317.85,10,0.0,206.0
1728453318.05,11,0.0,206.0
1728453318.25,11,0.0,206.0
1728453318.45,11,0.0,206.0
1728453318.65,11,0.0,206.0
1728453318.85,11,0.0,206.0
1728453319.05,12,0.48,212.0
1728453319.25,12,0.48,212.0
1728453319.45,12,0.48,212.0
1728453319.65,12,0.48,212.0
1728453319.85,12,0.48,212.0
1728453320.06,13,0.0,213.0
1728453320.26,13,0.0,213.0
1728453320.46,13,0.0,213.0
1728453320.66,13,0.0,213.0
1728453320.86,13,0.0,213.0
1728453321.06,14,0.0,213.0
1728453321.26,14,0.0,213.0
1728453321.46,14,0.0,213.0
1728453321.66,14,0.0,213.0
1728453321.86,14,0.0,213.0
1728453322.06,15,0.0,213.0
1728453322.26,15,0.0,213.0
1728453322.46,15,0.0,213.0
1728453322.66,15,0.0,213.0
1728453322.86,15,0.0,213.0
1728453323.06,16,0.0,213.0
1728453323.26,16,0.0,213.0
1728453323.46,16,0.0,213.0
1728453323.66,16,0.0,213.0
1728453323.86,16,0.0,213.0
1728453324.06,17,0.0,213.0
1728453324.27,17,0.0,213.0
1728453324.47,17,0.0,213.0
1728453324.67,17,0.0,213.0
1728453324.87,17,0.0,213.0
1728453325.07,18,0.0,213.0
1728453325.27,18,0.0,213.0
1728453325.47,18,0.0,213.0
1728453325.67,18,0.0,213.0
1728453325.87,18,0.0,213.0
1728453326.07,19,0.0,213.0
1728453326.27,19,0.0,213.0
1728453326.47,19,0.0,213.0
1728453326.67,19,0.0,213.0
1728453326.87,19,0.0,213.0
1728453327.07,20,0.0,213.0
1728453327.27,20,0.0,213.0
1728453327.47,20,0.0,213.0
1728453327.67,20,0.0,213.0
1728453327.87,20,0.0,213.0
1728453328.07,21,0.0,213.0
1728453328.28,21,0.0,213.0
1728453328.48,21,0.0,213.0
1728453328.68,21,0.0,213.0
1728453328.88,21,0.0,213.0
1728453329.08,22,0.0,213.0
1728453329.28,22,0.0,213.0
1728453329.48,22,0.0,213.0
1728453329.68,22,0.0,213.0
1728453329.88,22,0.0,213.0
1728453330.08,23,0.0,213.0
1728453330.28,23,0.0,213.0
1728453330.48,23,0.0,213.0
1728453330.68,23,0.0,213.0
1728453330.88,23,0.0,213.0
1728453331.08,24,0.0,213.0
1728453331.28,24,0.0,213.0
1728453331.48,24,0.0,213.0
1728453331.68,24,0.0,213.0
1728453331.88,24,0.0,213.0
1728453332.08,25,0.0,213.0
1728453332.28,25,0.0,213.0
1728453332.49,25,0.0,213.0
1728453332.69,25,0.0,213.0
1728453332.89,25,0.0,213.0
1728453333.09,26,0.0,213.0
1728453333.29,26,0.0,213.0
1728453333.49,26,0.0,213.0
1728453333.69,26,0.0,213.0
1728453333.89,26,0.0,213.0
1728453334.09,27,0.0,213.0
1728453334.29,27,0.0,213.0
1728453334.49,27,0.0,213.0
1728453334.69,27,0.0,213.0
1728453334.89,27,0.0,213.0
1728453335.09,28,0.0,213.0
1728453335.29,28,0.0,213.0
1728453335.49,28,0.0,213.0
1728453335.69,28,0.0,213.0
1728453335.89,28,0.0,213.0
1728453336.09,29,0.0,213.0
1728453336.29,29,0.0,213.0
1728453336.49,29,0.0,213.0
1728453336.7,29,0.0,213.0
1728453336.9,29,0.0,213.0
1728453337.1,30,0.0,213.0
1728453337.3,30,0.0,213.0
1728453337.5,30,0.0,213.0
1728453337.7,30,0.0,213.0
1728453337.9,30,0.0,213.0
1728453338.1,31,0.0,213.0
1728453338.3,31,0.0,213.0
1728453338.5,31,0.0,213.0
1728453338.7,31,0.0,213.0
1728453338.9,31,0.0,213.0
1728453339.1,32,0.0,213.0
1728453339.3,32,0.0,213.0
1728453339.5,32,0.0,213.0
1728453339.7,32,0.0,213.0
1728453339.9,32,0.0,213.0
1728453340.1,33,0.0,213.0
1728453340.31,33,0.0,213.0
1728453340.51,33,0.0,213.0
1728453340.71,33,0.0,213.0
1728453340.91,33,0.0,213.0
1728453341.11,34,0.0,213.0
1728453341.31,34,0.0,213.0
1728453341.51,34,0.0,213.0
1728453341.71,34,0.0,213.0
1728453341.91,34,0.0,213.0
1728453342.11,35,0.0,213.0
1728453342.31,35,0.0,213.0
1728453342.51,35,0.0,213.0
1728453342.71,35,0.0,213.0
1728453342.91,35,0.0,213.0
1728453343.11,36,0.0,213.0
1728453343.31,36,0.0,213.0
1728453343.51,36,0.0,213.0
1728453343.71,36,0.0,213.0
1728453343.92,36,0.0,213.0
1728453344.12,37,0.0,213.0
1728453344.32,37,0.0,213.0
1728453344.52,37,0.0,213.0
1728453344.72,37,0.0,213.0
1728453344.92,37,0.0,213.0
1728453345.12,38,1.17,119.0
1728453345.32,38,1.17,119.0
1728453345.52,38,1.17,119.0
1728453345.72,38,1.17,119.0
1728453345.92,38,1.17,119.0
1728453346.12,39,0.0,130.0
1728453346.32,39,0.0,130.0
1728453346.52,39,0.0,130.0
1728453346.72,39,0.0,130.0
1728453346.92,39,0.0,130.0
1728453347.13,40,0.0,130.0
1728453347.33,40,0.0,130.0
1728453347.53,40,0.0,130.0
1728453347.73,40,0.0,130.0
1728453347.93,40,0.0,130.0
1728453348.13,41,0.0,130.0
1728453348.33,41,0.0,130.0
1728453348.53,41,0.0,130.0
1728453348.73,41,0.0,130.0
1728453348.93,41,0.0,130.0
1728453349.13,42,2.89,81.0
1728453349.34,42,2.89,81.0
1728453349.54,42,2.89,81.0
1728453349.74,42,2.89,81.0
1728453349.94,42,2.89,81.0
1728453350.14,43,2.65,71.0
1728453350.34,43,2.65,71.0
1728453350.54,43,2.65,71.0
1728453350.74,43,2.65,71.0
1728453350.94,43,2.65,71.0
1728453351.14,44,2.67,80.0
1728453351.34,44,2.67,80.0
1728453351.54,44,2.67,80.0
1728453351.74,44,2.67,80.0
1728453351.94,44,2.67,80.0
1728453352.14,45,3.13,72.0
1728453352.34,45,3.13,72.0
1728453352.54,45,3.13,72.0
1728453352.75,45,3.13,72.0
1728453352.95,45,3.13,72.0
1728453353.15,46,4.92,26.0
1728453353.35,46,4.92,26.0
1728453353.55,46,4.92,26.0
1728453353.75,46,4.92,26.0
1728453353.95,46,4.92,26.0
1728453354.15,47,5.01,44.0
1728453354.35,47,5.01,44.0
1728453354.55,47,5.01,44.0
1728453354.75,47,5.01,44.0
1728453354.95,47,5.01,44.0
1728453355.15,48,6.11,0.0
1728453355.35,48,6.11,0.0
1728453355.55,48,6.11,0.0
1728453355.75,48,6.11,0.0
1728453355.95,48,6.11,0.0
1728453356.16,49,6.05,355.0
1728453356.36,49,6.05,355.0
1728453356.56,49,6.05,355.0
1728453356.76,49,6.05,355.0
1728453356.96,49,6.05,355.0
1728453357.16,50,6.06,355.0
1728453357.36,50,6.06,355.0
1728453357.56,50,6.06,355.0
1728453357.76,50,6.06,355.0
1728453357.96,50,6.06,355.0
1728453358.16,51,5.85,355.0
1728453358.36,51,5.85,355.0
1728453358.56,51,5.85,355.0
1728453358.76,51,5.85,355.0
1728453358.96,51,5.85,355.0
1728453359.16,52,5.72,5.0
1728453359.36,52,5.72,5.0
1728453359.57,52,5.72,5.0
1728453359.77,52,5.72,5.0
1728453359.97,52,5.72,5.0
1728453360.17,53,5.82,359.0
1728453360.37,53,5.82,359.0
1728453360.57,53,5.82,359.0
1728453360.77,53,5.82,359.0
1728453360.97,53,5.82,359.0
1728453361.17,54,5.91,4.0
1728453361.37,54,5.91,4.0
1728453361.57,54,5.91,4.0
1728453361.77,54,5.91,4.0
1728453361.97,54,5.91,4.0
1728453362.17,55,5.52,6.0
1728453362.37,55,5.52,6.0
1728453362.57,55,5.52,6.0
1728453362.77,55,5.52,6.0
1728453362.97,55,5.52,6.0
1728453363.18,56,5.85,3.0
1728453363.38,56,5.85,3.0
1728453363.58,56,5.85,3.0
1728453363.78,56,5.85,3.0
1728453363.98,56,5.85,3.0
1728453364.18,57,5.63,1.0
