time,w_s,w_a,air_prs,b_voltage,b_current,b_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
1728999275.74,,,97799.0,16.6520004272,0.0,1.0,-2.92074012756,-0.12217476964,3.12104392052,34.0300923,108.7565164,0.0,0.0,0.0,0.00528676962685,0.00832602760526,-0.811346116018,-0.584482991035,-0.00163936824538,-0.0169402174652,0.00415787938982,0.0160882622004,-0.227869510651,9.77896022797,0.0
1728999275.94,,,97798.75,16.6560001373,0.0,1.0,-2.9326543808,-0.138221472502,3.11991357803,34.0300922,108.7565164,0.0,0.0,0.0,0.00519156977423,0.00833608818971,-0.811353175615,-0.584473739801,-0.00208890554495,-0.0176027044654,0.00390168442391,0.00409984169528,-0.205927282572,9.79738616943,0.0
1728999276.14,,,97797.75,16.6640014648,0.0,1.0,-2.94473338127,-0.155597791076,3.12064981461,34.0300921,108.7565163,0.0,0.0,0.0,0.00525761339194,0.0082996751236,-0.811337212496,-0.584495772067,-0.00113255949691,-0.0177801828831,0.00449785776436,0.0145002175122,-0.19769692421,9.75971317291,0.0
1728999276.34,,,97800.2421875,16.6680011749,0.0,1.0,-2.95673155785,-0.174818530679,3.12310934067,34.030092,108.7565162,0.0,0.0,0.0,0.00519175433133,0.00831415717587,-0.811361784109,-0.584462096735,-0.00148348626681,-0.0200317073613,0.00523910950869,0.0177051872015,-0.202766105533,9.8019990921,0.0
1728999276.54,,,97799.75,16.6640014648,0.0,1.0,-2.96733164787,-0.188108459115,3.12448072433,34.030092,108.7565161,0.0,0.0,0.0,0.00527256251691,0.00828710202721,-0.811353070248,-0.584473929462,-0.00189474551007,-0.0195192731917,0.00519911618903,0.00810323562473,-0.215977072716,9.78488063812,0.0
1728999276.74,,,97801.0,16.6599998474,0.0,1.0,-2.98037528992,-0.203234940767,3.12524843216,34.0300919,108.756516,0.0,0.0,0.0,0.00523894645395,0.00825517315529,-0.811368664582,-0.584453024625,-0.00217381748371,-0.0190034899861,0.00512322410941,0.0275859348476,-0.192878380418,9.82635593414,0.0
1728999276.94,,,97799.0,16.6640014648,0.0,1.0,-2.98960208893,-0.217467457056,3.12335157394,34.0300918,108.7565159,0.0,0.0,0.0,0.00528564549137,0.00822901543816,-0.811389453515,-0.584424143498,-0.0006067713839,-0.0183005426079,0.004065441899,0.0301335770637,-0.20268984139,9.76894760132,0.0
1728999277.14,,,97799.0,16.6599998474,0.0,1.0,-2.99774932861,-0.230120480061,3.12120604515,34.0300917,108.7565159,0.0,0.0,0.0,0.0052354230762,0.00818360006862,-0.811415152556,-0.584389425031,0.000926704437006,-0.0186386667192,0.00344299501739,0.0195588897914,-0.211997583508,9.76959609985,0.0
1728999277.34,,,97797.75,16.6520004272,0.0,1.0,-3.00671958923,-0.243524774909,3.11999726295,34.0300916,108.7565158,0.0,0.0,0.0,0.00525753568369,0.00818614205042,-0.811395691248,-0.584416388477,0.00237917527556,-0.017568288371,0.00268128584139,0.0239202883095,-0.210401982069,9.79049682617,0.0
1728999277.54,,,97800.25,16.6599998474,0.0,1.0,-3.01593756676,-0.257782489061,3.11801862717,34.0300914,108.7565157,0.0,0.0,0.0,0.00525652564105,0.00813214255322,-0.811394490063,-0.584418854068,0.00297580845654,-0.0172961093485,0.00203042291105,0.0148757882416,-0.223901152611,9.79950904846,0.0
1728999277.74,,,97801.75,16.6599998474,0.0,1.0,-3.0284512043,-0.27356672287,3.11670017242,34.0300914,108.7565156,0.0,0.0,0.0,0.00528877670587,0.00815230504578,-0.81137280551,-0.584448293642,0.00265276967548,-0.0175160635263,0.00159097416326,0.00675213662907,-0.201550439,9.84574890137,0.0
1728999277.94,,,97798.9921875,16.6599998474,0.0,1.0,-3.03886556625,-0.285059183836,3.11680531502,34.0300913,108.7565156,0.0,0.0,0.0,0.00530553057207,0.00810472207699,-0.811368875316,-0.58445416259,0.00226771156304,-0.0153778437525,0.0019328892231,0.0113698216155,-0.185296222568,9.84101009369,0.0
1728999278.14,,,97800.0,16.672000885,0.0,1.0,-3.04728674889,-0.295391708612,3.11761879921,34.0300911,108.7565155,0.0,0.0,0.0,0.00530757090759,0.00812871005461,-0.811373248052,-0.584447766806,0.00242574466392,-0.014328815043,0.00231510470621,0.005572384689,-0.200301826,9.83257484436,0.0
1728999278.34,,,97800.5,16.6599998474,0.0,1.0,-3.05877065659,-0.308514326811,3.12027239799,34.0300909,108.7565153,0.0,0.0,0.0,0.00532938280719,0.00805499299397,-0.811382688946,-0.584435459926,0.00183789420407,-0.0130549650639,0.00346422498114,0.0195361468941,-0.188198894262,9.81031990051,0.0
1728999278.54,,,97800.0,16.6520004272,0.0,1.0,-3.06809186935,-0.323717772961,3.11948227882,34.0300908,108.7565152,0.0,0.0,0.0,0.00529679234499,0.00811400294475,-0.811377357369,-0.584442308789,0.00240342575125,-0.0134096555412,0.00328817614354,0.00770584493876,-0.19458065927,9.82411956787,0.0
1728999278.74,,,97799.7421875,16.6599998474,0.0,1.0,-3.07820272446,-0.338477909565,3.11962151527,34.0300906,108.756515,0.0,0.0,0.0,0.00529310910556,0.00806958214205,-0.811377599714,-0.584442740794,0.00179332972039,-0.0142698436975,0.00300207710825,0.023342480883,-0.201244190335,9.79082584381,0.0
1728999278.94,,,97799.75,16.6440010071,0.0,1.0,-3.08975291252,-0.354176402092,3.12178587914,34.0300905,108.756515,0.0,0.0,0.0,0.0052276795806,0.00812244136944,-0.811377504883,-0.584442751331,0.00170500320382,-0.0148812104017,0.00301263015717,0.0054644360207,-0.217605531216,9.79552173615,0.0
1728999279.14,,,97800.0,16.6480007172,0.0,1.0,-3.09814691544,-0.366441875696,3.12075901031,34.0300902,108.7565148,0.0,0.0,0.0,0.00531031563878,0.00806594557696,-0.811356705414,-0.584471558702,0.0028226422146,-0.0126339830458,0.00217125471681,-0.00143037270755,-0.197660773993,9.78003692627,0.0
1728999279.34,,,97799.5,16.6480007172,0.0,1.0,-3.11094141006,-0.383888632059,3.12122607231,34.0300902,108.7565147,0.0,0.0,0.0,0.0052431000588,0.00810424051632,-0.81135056251,-0.584480230416,0.00146003370173,-0.014569286257,0.00280741997994,0.0287714228034,-0.210031539202,9.77882957458,0.0
1728999279.54,,,97798.75,16.6520004272,0.0,1.0,-3.1229159832,-0.395932972431,3.12174868584,34.0300899,108.7565146,0.0,0.0,0.0,0.00535568408702,0.00807246253341,-0.811333851285,-0.5845028422,0.000103090656921,-0.0127158639953,0.00344675243832,0.0136126559228,-0.201013162732,9.79567241669,0.0
1728999279.74,,,97801.0,16.6760005951,0.0,1.0,-3.13316655159,-0.414128988981,3.12390875816,34.0300898,108.7565145,0.0,0.0,0.0,0.00526310351287,0.00811126241178,-0.811344862149,-0.584487953826,-0.000260740547674,-0.0145511869341,0.00399117078632,0.0202708654106,-0.198800846934,9.76757907867,0.0
1728999279.94,,,97800.2421875,16.6680011749,0.0,1.0,-3.14349317551,-0.428540915251,3.12351155281,34.0300896,108.7565143,0.0,0.0,0.0,0.00532627060816,0.0081168249726,-0.811339825601,-0.58449425478,-0.00102708907798,-0.015322576277,0.00383107806556,0.00656660320237,-0.191305369139,9.77667140961,0.0
1728999280.14,,,97799.75,16.6760005951,0.0,1.0,-3.15503287315,-0.450839072466,3.11829805374,34.0300895,108.7565142,0.0,0.0,0.0,0.00522824494106,0.00819210846366,-0.811349561523,-0.584480557054,-0.000721596879885,-0.0186289492995,0.00228752498515,-0.00549586955458,-0.198714867234,9.79002380371,0.0
