time,num,w_s,w_a
1728999022.36,0,0.0,49.0
1728999022.56,0,0.0,49.0
1728999022.77,0,0.0,49.0
1728999022.97,0,0.0,49.0
1728999023.17,1,0.0,49.0
1728999023.37,1,0.0,49.0
1728999023.57,1,0.0,49.0
1728999023.77,1,0.0,49.0
1728999023.97,1,0.0,49.0
1728999024.17,2,0.0,49.0
1728999024.37,2,0.0,49.0
1728999024.57,2,0.0,49.0
1728999024.77,2,0.0,49.0
1728999024.97,2,0.0,49.0
1728999025.18,3,0.0,49.0
1728999025.38,3,0.0,49.0
1728999025.58,3,0.0,49.0
1728999025.78,3,0.0,49.0
1728999025.98,3,0.0,49.0
1728999026.18,4,0.0,49.0
1728999026.38,4,0.0,49.0
1728999026.58,4,0.0,49.0
1728999026.78,4,0.0,49.0
1728999026.98,4,0.0,49.0
1728999027.18,5,0.0,49.0
1728999027.38,5,0.0,49.0
1728999027.58,5,0.0,49.0
1728999027.79,5,0.0,49.0
1728999027.99,5,0.0,49.0
1728999028.19,6,0.0,49.0
1728999028.39,6,0.0,49.0
1728999028.59,6,0.0,49.0
1728999028.79,6,0.0,49.0
1728999028.99,6,0.0,49.0
1728999029.19,7,0.0,49.0
1728999029.39,7,0.0,49.0
1728999029.59,7,0.0,49.0
1728999029.79,7,0.0,49.0
1728999029.99,7,0.0,49.0
1728999030.19,8,0.0,49.0
1728999030.4,8,0.0,49.0
1728999030.6,8,0.0,49.0
1728999030.8,8,0.0,49.0
1728999031.0,8,0.0,49.0
1728999031.2,9,0.0,49.0
1728999031.4,9,0.0,49.0
1728999031.6,9,0.0,49.0
1728999031.8,9,0.0,49.0
1728999032.0,9,0.0,49.0
1728999032.2,10,0.0,49.0
1728999032.4,10,0.0,49.0
1728999032.6,10,0.0,49.0
1728999032.8,10,0.0,49.0
1728999033.01,10,0.0,49.0
1728999033.21,11,0.0,49.0
1728999033.41,11,0.0,49.0
1728999033.61,11,0.0,49.0
1728999033.81,11,0.0,49.0
1728999034.01,11,0.0,49.0
1728999034.21,12,0.0,49.0
1728999034.41,12,0.0,49.0
1728999034.61,12,0.0,49.0
1728999034.81,12,0.0,49.0
1728999035.01,12,0.0,49.0
1728999035.21,13,0.0,49.0
1728999035.41,13,0.0,49.0
1728999035.62,13,0.0,49.0
1728999035.82,13,0.0,49.0
1728999036.02,13,0.0,49.0
1728999036.22,14,0.0,49.0
1728999036.42,14,0.0,49.0
1728999036.62,14,0.0,49.0
1728999036.82,14,0.0,49.0
1728999037.02,14,0.0,49.0
1728999037.22,15,0.0,49.0
1728999037.42,15,0.0,49.0
1728999037.62,15,0.0,49.0
1728999037.82,15,0.0,49.0
1728999038.02,15,0.0,49.0
1728999038.23,16,0.0,49.0
1728999038.43,16,0.0,49.0
1728999038.63,16,0.0,49.0
1728999038.83,16,0.0,49.0
1728999039.03,16,0.0,49.0
1728999039.23,17,0.0,49.0
1728999039.43,17,0.0,49.0
