Data Dir,Date,Time,Route,FlightName,Uav,Length(s),BatteryName,BatteryCost,AllPower,WindSpeed_station,WindSpeed_test,AirPressure_station,AirPressure_test,Air Density,Temperature,Weather,Pick Man
Random,1120,1440,Manal Random,UavR_P0Random_1,R,728,37,0.8,679424,2.2,1.18,102700,97383,0.8,12.94,partly-cloudy-day,lmj
Random,1122,1046,Manal Random,UavR_P0Random_4,R,611,17,0.77,526986,8.9,1.95,102800,97505,1.49,6.94,clear-day,hfh
Random,1120,1415,Manal Random,UavR_P200Random_1,R,584,23,1.0,699003,2.2,1.18,102700,97575,0.8,12.94,partly-cloudy-day,lmj
Random,1120,1348,Manal Random,UavR_P400Random_1,R,595,31,0.94,661418,2.2,1.18,102800,97613,0.87,11.94,clear-day,lmj
Random,1121,1255,Manal Random,UavR_P0Random_3,R,579,11,0.81,501787,2.2,2.03,102800,97507,0.95,10.94,cloudy,hfh
Random,1121,1222,Manal Random,UavR_P200Random_3,R,563,5,0.72,591749,2.2,2.03,102800,97533,0.95,10.94,cloudy,hfh
Random,1122,1158,Manal Random,UavR_P200Random_4,R,579,12,0.77,607079,8.9,1.95,102700,97470,1.16,8.94,clear-day,hfh
Random,1121,1159,Manal Random,UavR_P400Random_3,R,653,18,1.0,768896,4.5,2.03,102900,97609,1.16,8.94,cloudy,hfh
Random,1122,1238,Manal Random,UavR_P400Random_4,R,641,3,0.97,754165,11.2,1.95,102600,97309,1.16,8.94,clear-day,hfh
Random,1122,1237,Manal Random,UavY_P0Random_1,Y,679,15,0.34,668779,11.2,1.95,102600,97518,1.16,8.94,clear-day,lmj
Random,1129,1558,Manal Random,UavY_P0Random_2,Y,594,30,0.86,661772,8.9,1.05,102200,97174,0.69,14.94,clear-day,lmj
Random,1130,1450,Manal Random,UavY_P0Random_3,Y,560,28,0.98,620973,6.7,1.43,101500,96422,0.69,14.94,clear-day,lmj
Random,1130,1519,Manal Random,UavY_P200Random_1,Y,527,11,0.69,666904,8.9,1.43,101400,96421,0.68,14.94,partly-cloudy-day,lmj
Random,1130,1613,Manal Random,UavY_P400Random_1,Y,511,41,0.82,723154,6.7,1.43,101400,96415,0.68,14.94,partly-cloudy-day,lmj
VarAVarS,1129,1510,VAVS_R1,UavR_P0VarAVarS4_1,R,579,43,0.71,511623,8.9,1.05,102200,96946,0.69,14.94,clear-day,lmj
VarAVarS,1202,1718,VAVS_R1,UavR_P0VarAVarS4_3,R,660,37,0.62,512931,4.5,0.92,102100,96911,1.04,9.94,cloudy,lmj
VarAVarS,1129,1353,VAVS_R2,UavR_P0VarAVarS4_5,R,587,33,0.68,523317,6.7,1.05,102500,97141,0.74,13.94,clear-day,lmj
VarAVarS,1120,1309,VAVS_R1,UavR_P0VarAVarS8_1,R,630,33,0.77,530281,2.2,1.18,102800,97528,0.87,11.94,clear-day,lmj
VarAVarS,1121,1044,VAVS_R1,UavR_P0VarAVarS8_3,R,696,30,0.69,561582,6.7,2.03,102900,97633,1.31,7.94,cloudy,hfh
VarAVarS,1122,1009,VAVS_R1,UavR_P0VarAVarS8_4,R,631,29,0.78,538573,8.9,1.95,102800,97485,1.49,6.94,clear-day,hfh
VarAVarS,1122,1110,VAVS_R2,UavR_P0VarAVarS8_5,R,556,45,0.66,448952,8.9,1.95,102700,97068,1.16,8.94,clear-day,lmj
VarAVarS,1129,1339,VAVS_R2,UavR_P0VarAVarS8_6,R,619,4,0.59,574887,6.7,1.05,102500,97172,0.74,13.94,clear-day,lmj
VarAVarS,1202,1733,VAVS_R2,UavR_P0VarAVarS8_7,R,556,43,0.61,494646,4.5,0.92,102100,96896,1.04,9.94,cloudy,lmj
VarAVarS,1129,1724,VAVS_R1,UavR_P200VarAVarS4_1,R,548,36,0.62,591524,6.7,1.05,102100,96939,0.8,12.94,clear-day,lmj
VarAVarS,1129,1736,VAVS_R1,UavR_P200VarAVarS4_2,R,574,31,0.65,621019,6.7,1.05,102100,96950,0.8,12.94,clear-day,lmj
VarAVarS,1202,1658,VAVS_R1,UavR_P200VarAVarS4_3,R,599,11,0.71,653750,4.5,0.92,102100,96861,0.94,10.94,cloudy,lmj
VarAVarS,1129,1544,VAVS_R2,UavR_P200VarAVarS4_5,R,589,19,0.65,618880,8.9,1.05,102200,97016,0.69,14.94,clear-day,lmj
VarAVarS,1120,1254,VAVS_R1,UavR_P200VarAVarS8_1,R,651,7,0.76,628808,2.2,1.18,103000,97570,0.95,10.94,clear-day,lmj
VarAVarS,1121,1124,VAVS_R1,UavR_P200VarAVarS8_3,R,627,36,0.52,615831,4.5,2.03,102900,97581,1.16,8.94,cloudy,hfh
