time,num,w_s,w_a
0.609117031097,0,2.4,56.0
0.811532020569,0,2.4,56.0
1.01346087456,0,2.4,56.0
1.2157330513,0,2.4,56.0
1.52011585236,1,2.5,66.0
1.72211885452,1,2.5,66.0
1.9241528511,1,2.5,66.0
2.12604594231,1,2.5,66.0
2.32789492607,1,2.5,66.0
2.63169002533,2,1.9,63.0
2.83360385895,2,1.9,63.0
3.03552508354,2,1.9,63.0
3.2373919487,2,1.9,63.0
3.43966507912,2,1.9,63.0
3.74409389496,3,2.6,59.0
3.94608402252,3,2.6,59.0
4.1480410099,3,2.6,59.0
4.34989094734,3,2.6,59.0
4.55172586441,3,2.6,59.0
4.85656499863,4,3.1,73.0
5.05899691582,4,3.1,73.0
5.26095986366,4,3.1,73.0
5.46316695213,4,3.1,73.0
5.66507101059,4,3.1,73.0
5.97045993805,5,3.5,90.0
6.17251086235,5,3.5,90.0
6.37486195564,5,3.5,90.0
6.57702493668,5,3.5,90.0
6.77960205078,5,3.5,90.0
7.08397507668,6,2.8,70.0
7.28589105606,6,2.8,70.0
7.48782300949,6,2.8,70.0
7.68977093697,6,2.8,70.0
7.89133095741,6,2.8,70.0
8.195333004,7,3.4,67.0
8.39726185799,7,3.4,67.0
8.59931087494,7,3.4,67.0
8.80125308037,7,3.4,67.0
9.00351595879,7,3.4,67.0
9.30794095993,8,4.0,57.0
9.50989103317,8,4.0,57.0
9.71186685562,8,4.0,57.0
9.9138469696,8,4.0,57.0
10.1159338951,8,4.0,57.0
10.4202959538,9,4.0,56.0
10.6226980686,9,4.0,56.0
10.8246769905,9,4.0,56.0
11.0272989273,9,4.0,56.0
11.2293169498,9,4.0,56.0
11.5342919827,10,4.4,67.0
11.7362799644,10,4.4,67.0
11.9387459755,10,4.4,67.0
12.1409230232,10,4.4,67.0
12.3432049751,10,4.4,67.0
12.6474289894,11,5.0,69.0
12.8493828773,11,5.0,69.0
13.0517158508,11,5.0,69.0
13.253606081,11,5.0,69.0
13.455616951,11,5.0,69.0
13.7605669498,12,4.8,82.0
13.9631738663,12,4.8,82.0
14.1652770042,12,4.8,82.0
14.3675169945,12,4.8,82.0
14.5694019794,12,4.8,82.0
14.8739988804,13,4.5,86.0
15.0760278702,13,4.5,86.0
15.2779660225,13,4.5,86.0
15.4797170162,13,4.5,86.0
15.6811048985,13,4.5,86.0
15.9853699207,14,3.0,107.0
16.1877889633,14,3.0,107.0
16.3899469376,14,3.0,107.0
16.5922830105,14,3.0,107.0
16.7948980331,14,3.0,107.0
17.0992939472,15,0.0,128.0
17.301347971,15,0.0,128.0
17.5036718845,15,0.0,128.0
17.7056229115,15,0.0,128.0
17.9075870514,15,0.0,128.0
18.2119429111,16,0.0,128.0
18.413902998,16,0.0,128.0
18.6158380508,16,0.0,128.0
18.8178150654,16,0.0,128.0
19.0198769569,16,0.0,128.0
19.3241598606,17,0.0,128.0
19.5268099308,17,0.0,128.0
19.7290010452,17,0.0,128.0
19.9313960075,17,0.0,128.0
20.1334609985,17,0.0,128.0
20.4384720325,18,2.1,171.0
20.6405589581,18,2.1,171.0
20.8429999352,18,2.1,171.0
21.045058012,18,2.1,171.0
21.2473380566,18,2.1,171.0
21.5519800186,19,4.4,186.0
21.7540779114,19,4.4,186.0
21.956223011,19,4.4,186.0
22.1581659317,19,4.4,186.0
22.3602399826,19,4.4,186.0
22.6642899513,20,5.5,176.0
22.866574049,20,5.5,176.0
23.0683050156,20,5.5,176.0
23.2707259655,20,5.5,176.0
23.4727489948,20,5.5,176.0
23.7769038677,21,4.7,117.0
23.978992939,21,4.7,117.0
24.1810979843,21,4.7,117.0
24.3835499287,21,4.7,117.0
24.5856878757,21,4.7,117.0
24.8905420303,22,4.1,55.0
25.0925848484,22,4.1,55.0
25.2949719429,22,4.1,55.0
25.4968628883,22,4.1,55.0
25.6991100311,22,4.1,55.0
26.0033528805,23,4.6,90.0
26.2052960396,23,4.6,90.0
26.40772295,23,4.6,90.0
26.6096670628,23,4.6,90.0
26.8115730286,23,4.6,90.0
27.1159088612,24,4.9,110.0
27.3179678917,24,4.9,110.0
27.5199179649,24,4.9,110.0
27.7220659256,24,4.9,110.0
27.924038887,24,4.9,110.0
28.2283329964,25,4.8,110.0
28.430752039,25,4.8,110.0
28.6327228546,25,4.8,110.0
28.8350548744,25,4.8,110.0
29.0369858742,25,4.8,110.0
29.3419239521,26,5.8,104.0
29.5439350605,26,5.8,104.0
29.7459459305,26,5.8,104.0
29.9480779171,26,5.8,104.0
30.1508700848,26,5.8,104.0
30.4557929039,27,5.2,102.0
30.6646399498,27,5.2,102.0
30.8671309948,27,5.2,102.0
31.0691080093,27,5.2,102.0
31.2713708878,27,5.2,102.0
31.5760519505,28,4.5,131.0
31.7780148983,28,4.5,131.0
31.9800219536,28,4.5,131.0
32.1820049286,28,4.5,131.0
32.384059906,28,4.5,131.0
32.688546896,29,5.5,154.0
32.8910639286,29,5.5,154.0
33.0931210518,29,5.5,154.0
33.2954518795,29,5.5,154.0
33.4974160194,29,5.5,154.0
33.8026659489,30,6.1,165.0
34.0046730042,30,6.1,165.0
34.2071559429,30,6.1,165.0
34.4091060162,30,6.1,165.0
34.6114759445,30,6.1,165.0
34.9162268639,31,5.7,160.0
35.1187829971,31,5.7,160.0
35.3208429813,31,5.7,160.0
35.5233139992,31,5.7,160.0
35.7252118587,31,5.7,160.0
36.0302948952,32,6.9,157.0
36.2323610783,32,6.9,157.0
36.4347500801,32,6.9,157.0
36.6366689205,32,6.9,157.0
36.8391718864,32,6.9,157.0
37.1437449455,33,7.4,161.0
37.3457150459,33,7.4,161.0
37.5476560593,33,7.4,161.0
37.7496709824,33,7.4,161.0
37.9519109726,33,7.4,161.0
38.2564299107,34,6.9,163.0
38.4588758945,34,6.9,163.0
38.6608479023,34,6.9,163.0
38.8632180691,34,6.9,163.0
39.0652849674,34,6.9,163.0
39.3701469898,35,6.8,151.0
39.5721349716,35,6.8,151.0
39.7741179466,35,6.8,151.0
39.9762189388,35,6.8,151.0
40.1787390709,35,6.8,151.0
40.4830880165,36,6.8,150.0
40.685076952,36,6.8,150.0
40.8875238895,36,6.8,150.0
41.0897409916,36,6.8,150.0
41.291697979,36,6.8,150.0
41.5961110592,37,7.0,141.0
41.7980570793,37,7.0,141.0
42.0002260208,37,7.0,141.0
42.2026288509,37,7.0,141.0
42.4045238495,37,7.0,141.0
42.708562851,38,6.5,146.0
42.9107408524,38,6.5,146.0
43.1129980087,38,6.5,146.0
43.3155908585,38,6.5,146.0
43.5171089172,38,6.5,146.0
43.8206188679,39,6.5,150.0
44.0233619213,39,6.5,150.0
44.2250170708,39,6.5,150.0
44.4272348881,39,6.5,150.0
44.6291630268,39,6.5,150.0
44.9343738556,40,6.4,151.0
45.1364729404,40,6.4,151.0
45.3389818668,40,6.4,151.0
45.5409550667,40,6.4,151.0
45.7432899475,40,6.4,151.0
46.0478730202,41,6.6,152.0
46.2498660088,41,6.6,152.0
46.4518089294,41,6.6,152.0
46.6532490253,41,6.6,152.0
46.8544869423,41,6.6,152.0
47.1592180729,42,6.2,151.0
47.3612549305,42,6.2,151.0
47.563628912,42,6.2,151.0
47.7659549713,42,6.2,151.0
47.9681220055,42,6.2,151.0
48.2725419998,43,5.9,150.0
48.4750540257,43,5.9,150.0
48.6773250103,43,5.9,150.0
48.8800518513,43,5.9,150.0
49.0821418762,43,5.9,150.0
49.3871119022,44,5.0,158.0
49.5894088745,44,5.0,158.0
49.7921979427,44,5.0,158.0
49.9947080612,44,5.0,158.0
50.1966159344,44,5.0,158.0
50.5010950565,45,6.4,167.0
50.7038760185,45,6.4,167.0
50.9059510231,45,6.4,167.0
51.1079468727,45,6.4,167.0
51.3098859787,45,6.4,167.0
51.614428997,46,7.6,173.0
51.8163878918,46,7.6,173.0
52.0184938908,46,7.6,173.0
52.2204070091,46,7.6,173.0
52.4226288795,46,7.6,173.0
52.7271609306,47,7.1,190.0
52.9291000366,47,7.1,190.0
53.1313769817,47,7.1,190.0
53.3332660198,47,7.1,190.0
53.535435915,47,7.1,190.0
53.8401348591,48,7.2,187.0
54.04281497,48,7.2,187.0
54.2448029518,48,7.2,187.0
54.4470808506,48,7.2,187.0
54.6490449905,48,7.2,187.0
54.954048872,49,7.1,190.0
55.156113863,49,7.1,190.0
55.3581440449,49,7.1,190.0
55.5603690147,49,7.1,190.0
55.7628250122,49,7.1,190.0
56.0671060085,50,7.3,180.0
56.2690939903,50,7.3,180.0
56.4714159966,50,7.3,180.0
56.6734209061,50,7.3,180.0
56.8757140636,50,7.3,180.0
57.1798799038,51,7.2,177.0
57.3818199635,51,7.2,177.0
57.5839059353,51,7.2,177.0
57.7859940529,51,7.2,177.0
57.9879119396,51,7.2,177.0
58.292028904,52,6.7,173.0
58.4939720631,52,6.7,173.0
58.6959199905,52,6.7,173.0
58.8978700638,52,6.7,173.0
59.100151062,52,6.7,173.0
59.4052360058,53,5.3,163.0
59.6077029705,53,5.3,163.0
59.8097269535,53,5.3,163.0
