time,num,w_s,w_a
1728998915.98,1,0.0,50.0
1728998916.18,1,0.0,50.0
1728998916.38,1,0.0,50.0
1728998916.58,1,0.0,50.0
1728998917.79,4,0.0,50.0
1728998917.99,4,0.0,50.0
1728998918.19,4,0.0,50.0
1728998918.39,4,0.0,50.0
1728998918.59,4,0.0,50.0
1728998919.79,7,0.0,50.0
1728998919.99,7,0.0,50.0
1728998920.2,7,0.0,50.0
1728998920.4,7,0.0,50.0
1728998920.6,7,0.0,50.0
1728998921.8,10,0.0,50.0
1728998922.0,10,0.0,50.0
1728998922.2,10,0.0,50.0
1728998922.4,10,0.0,50.0
1728998922.6,10,0.0,50.0
1728998923.81,13,0.0,50.0
1728998924.01,13,0.0,50.0
1728998924.21,13,0.0,50.0
1728998924.41,13,0.0,50.0
1728998924.61,13,0.0,50.0
1728998925.81,16,0.0,50.0
1728998926.01,16,0.0,50.0
1728998926.21,16,0.0,50.0
1728998926.42,16,0.0,50.0
1728998926.62,16,0.0,50.0
1728998927.82,19,0.0,50.0
1728998928.02,19,0.0,50.0
1728998928.22,19,0.0,50.0
1728998928.42,19,0.0,50.0
1728998928.62,19,0.0,50.0
1728998928.82,20,0.0,50.0
1728998929.02,20,0.0,50.0
1728998929.22,20,0.0,50.0
1728998929.43,20,0.0,50.0
1728998929.63,20,0.0,50.0
1728998929.83,21,0.0,50.0
1728998930.03,21,0.0,50.0
1728998930.23,21,0.0,50.0
1728998930.43,21,0.0,50.0
1728998930.63,21,0.0,50.0
1728998930.83,22,0.0,50.0
1728998931.03,22,0.0,50.0
1728998931.23,22,0.0,50.0
1728998931.43,22,0.0,50.0
1728998931.63,22,0.0,50.0
1728998931.83,23,0.0,50.0
1728998932.03,23,0.0,50.0
1728998932.23,23,0.0,50.0
1728998932.43,23,0.0,50.0
1728998932.64,23,0.0,50.0
1728998932.84,24,0.0,50.0
1728998933.04,24,0.0,50.0
1728998933.24,24,0.0,50.0
1728998933.44,24,0.0,50.0
1728998933.64,24,0.0,50.0
1728998933.84,25,0.0,50.0
1728998934.04,25,0.0,50.0
1728998934.24,25,0.0,50.0
1728998934.44,25,0.0,50.0
1728998934.64,25,0.0,50.0
1728998934.84,26,0.0,50.0
1728998935.04,26,0.0,50.0
1728998935.24,26,0.0,50.0
1728998935.45,26,0.0,50.0
1728998935.65,26,0.0,50.0
1728998935.85,27,0.0,50.0
1728998936.05,27,0.0,50.0
1728998936.25,27,0.0,50.0
1728998936.45,27,0.0,50.0
1728998936.65,27,0.0,50.0
1728998936.85,28,0.0,50.0
1728998937.05,28,0.0,50.0
1728998937.25,28,0.0,50.0
1728998937.45,28,0.0,50.0
1728998937.65,28,0.0,50.0
1728998937.85,29,0.0,50.0
1728998938.05,29,0.0,50.0
1728998938.26,29,0.0,50.0
1728998938.46,29,0.0,50.0
1728998938.66,29,0.0,50.0
1728998938.86,30,0.0,50.0
1728998939.06,30,0.0,50.0
1728998939.26,30,0.0,50.0
1728998939.46,30,0.0,50.0
1728998939.66,30,0.0,50.0
1728998939.86,31,0.0,50.0
1728998940.06,31,0.0,50.0
1728998940.26,31,0.0,50.0
1728998940.46,31,0.0,50.0
1728998940.66,31,0.0,50.0
1728998940.86,32,0.0,50.0
1728998941.06,32,0.0,50.0
1728998941.26,32,0.0,50.0
1728998941.47,32,0.0,50.0
1728998941.67,32,0.0,50.0
1728998941.87,33,0.0,50.0
1728998942.07,33,0.0,50.0
1728998942.27,33,0.0,50.0
1728998942.47,33,0.0,50.0
1728998942.67,33,0.0,50.0
1728998942.87,34,0.0,50.0
1728998943.07,34,0.0,50.0
1728998943.27,34,0.0,50.0
1728998943.47,34,0.0,50.0
1728998943.67,34,0.0,50.0
1728998943.87,35,0.0,50.0
1728998944.07,35,0.0,50.0
1728998944.27,35,0.0,50.0
1728998944.48,35,0.0,50.0
1728998944.68,35,0.0,50.0
1728998944.88,36,0.0,50.0
1728998945.08,36,0.0,50.0
1728998945.28,36,0.0,50.0
1728998945.48,36,0.0,50.0
1728998945.68,36,0.0,50.0
1728998945.88,37,1.24,129.0
1728998946.08,37,1.24,129.0
1728998946.28,37,1.24,129.0
1728998946.48,37,1.24,129.0
1728998946.68,37,1.24,129.0
1728998946.88,38,1.09,126.0
1728998947.08,38,1.09,126.0
1728998947.28,38,1.09,126.0
1728998947.48,38,1.09,126.0
1728998947.69,38,1.09,126.0
1728998947.89,39,0.59,134.0
1728998948.09,39,0.59,134.0
1728998948.29,39,0.59,134.0
1728998948.49,39,0.59,134.0
1728998948.69,39,0.59,134.0
1728998948.89,40,0.0,133.0
1728998949.09,40,0.0,133.0
1728998949.29,40,0.0,133.0
1728998949.49,40,0.0,133.0
1728998949.69,40,0.0,133.0
1728998949.9,41,0.0,133.0
1728998950.1,41,0.0,133.0
1728998950.3,41,0.0,133.0
1728998950.5,41,0.0,133.0
1728998950.7,41,0.0,133.0
1728998950.9,42,2.53,118.0
1728998951.1,42,2.53,118.0
1728998951.3,42,2.53,118.0
1728998951.5,42,2.53,118.0
1728998951.7,42,2.53,118.0
1728998951.9,43,2.19,114.0
1728998952.1,43,2.19,114.0
1728998952.3,43,2.19,114.0
1728998952.5,43,2.19,114.0
1728998952.71,43,2.19,114.0
1728998952.91,44,2.61,124.0
1728998953.11,44,2.61,124.0
1728998953.31,44,2.61,124.0
1728998953.51,44,2.61,124.0
1728998953.71,44,2.61,124.0
1728998953.91,45,3.23,99.0
1728998954.11,45,3.23,99.0
1728998954.31,45,3.23,99.0
1728998954.51,45,3.23,99.0
1728998954.71,45,3.23,99.0
1728998954.92,46,6.29,58.0
1728998955.12,46,6.29,58.0
1728998955.32,46,6.29,58.0
1728998955.52,46,6.29,58.0
1728998955.72,46,6.29,58.0
1728998955.92,47,8.28,11.0
1728998956.12,47,8.28,11.0
1728998956.32,47,8.28,11.0
1728998956.52,47,8.28,11.0
1728998956.72,47,8.28,11.0
1728998956.92,48,7.73,352.0
1728998957.12,48,7.73,352.0
1728998957.32,48,7.73,352.0
1728998957.53,48,7.73,352.0
1728998957.73,48,7.73,352.0
1728998957.93,49,5.56,345.0
1728998958.13,49,5.56,345.0
1728998958.33,49,5.56,345.0
1728998958.53,49,5.56,345.0
1728998958.73,49,5.56,345.0
1728998958.93,50,3.46,326.0
1728998959.13,50,3.46,326.0
1728998959.33,50,3.46,326.0
1728998959.53,50,3.46,326.0
1728998959.73,50,3.46,326.0
1728998959.93,51,2.8,335.0
1728998960.13,51,2.8,335.0
1728998960.34,51,2.8,335.0
1728998960.54,51,2.8,335.0
1728998960.74,51,2.8,335.0
1728998960.94,52,2.78,354.0
1728998961.14,52,2.78,354.0
1728998961.34,52,2.78,354.0
1728998961.54,52,2.78,354.0
1728998961.74,52,2.78,354.0
1728998961.94,53,2.66,340.0
1728998962.14,53,2.66,340.0
1728998962.34,53,2.66,340.0
1728998962.54,53,2.66,340.0
1728998962.74,53,2.66,340.0
1728998962.95,54,2.54,329.0
1728998963.15,54,2.54,329.0
1728998963.35,54,2.54,329.0
1728998963.55,54,2.54,329.0
1728998963.75,54,2.54,329.0
1728998963.95,55,2.21,332.0
1728998964.15,55,2.21,332.0
1728998964.35,55,2.21,332.0
1728998964.55,55,2.21,332.0
1728998964.75,55,2.21,332.0
