time,num,w_s,w_a
1728453468.2,0,0.9,21.0
1728453468.41,0,0.9,21.0
1728453468.61,0,0.9,21.0
1728453468.81,0,0.9,21.0
1728453469.12,1,0.8,19.0
1728453469.32,1,0.8,19.0
1728453469.53,1,0.8,19.0
1728453469.73,1,0.8,19.0
1728453469.93,1,0.8,19.0
1728453470.23,2,0.8,22.0
1728453470.44,2,0.8,22.0
1728453470.64,2,0.8,22.0
1728453470.84,2,0.8,22.0
1728453471.04,2,0.8,22.0
1728453471.35,3,0.9,21.0
1728453471.55,3,0.9,21.0
1728453471.75,3,0.9,21.0
1728453471.95,3,0.9,21.0
1728453472.16,3,0.9,21.0
1728453472.46,4,0.9,25.0
1728453472.66,4,0.9,25.0
1728453472.87,4,0.9,25.0
1728453473.07,4,0.9,25.0
1728453473.27,4,0.9,25.0
1728453473.58,5,0.8,28.0
1728453473.78,5,0.8,28.0
1728453473.99,5,0.8,28.0
1728453474.19,5,0.8,28.0
1728453474.39,5,0.8,28.0
1728453474.69,6,1.4,27.0
1728453474.9,6,1.4,27.0
1728453475.1,6,1.4,27.0
1728453475.3,6,1.4,27.0
1728453475.5,6,1.4,27.0
1728453475.81,7,0.8,20.0
1728453476.01,7,0.8,20.0
1728453476.21,7,0.8,20.0
1728453476.42,7,0.8,20.0
1728453476.62,7,0.8,20.0
1728453476.92,8,0.9,24.0
1728453477.13,8,0.9,24.0
1728453477.33,8,0.9,24.0
1728453477.53,8,0.9,24.0
1728453477.73,8,0.9,24.0
1728453478.04,9,1.5,27.0
1728453478.24,9,1.5,27.0
1728453478.44,9,1.5,27.0
1728453478.64,9,1.5,27.0
1728453478.85,9,1.5,27.0
1728453479.15,10,0.9,31.0
1728453479.35,10,0.9,31.0
1728453479.56,10,0.9,31.0
1728453479.76,10,0.9,31.0
1728453479.96,10,0.9,31.0
1728453480.27,11,0.0,31.0
1728453480.47,11,0.0,31.0
1728453480.67,11,0.0,31.0
1728453480.87,11,0.0,31.0
1728453481.07,11,0.0,31.0
1728453481.38,12,0.0,29.0
1728453481.58,12,0.0,29.0
1728453481.78,12,0.0,29.0
1728453481.98,12,0.0,29.0
1728453482.18,12,0.0,29.0
1728453482.49,13,0.8,29.0
1728453482.69,13,0.8,29.0
1728453482.89,13,0.8,29.0
1728453483.09,13,0.8,29.0
1728453483.3,13,0.8,29.0
1728453483.6,14,0.8,31.0
1728453483.8,14,0.8,31.0
1728453484.0,14,0.8,31.0
1728453484.21,14,0.8,31.0
1728453484.41,14,0.8,31.0
1728453484.71,15,0.8,29.0
1728453484.92,15,0.8,29.0
1728453485.12,15,0.8,29.0
1728453485.32,15,0.8,29.0
1728453485.52,15,0.8,29.0
1728453485.83,16,0.8,31.0
1728453486.03,16,0.8,31.0
1728453486.23,16,0.8,31.0
1728453486.43,16,0.8,31.0
1728453486.64,16,0.8,31.0
1728453486.94,17,0.8,30.0
1728453487.14,17,0.8,30.0
1728453487.35,17,0.8,30.0
1728453487.55,17,0.8,30.0
1728453487.75,17,0.8,30.0
1728453488.06,18,0.9,27.0
1728453488.26,18,0.9,27.0
1728453488.46,18,0.9,27.0
1728453488.66,18,0.9,27.0
1728453488.86,18,0.9,27.0
1728453489.17,19,0.9,27.0
1728453489.37,19,0.9,27.0
1728453489.57,19,0.9,27.0
1728453489.78,19,0.9,27.0
1728453489.98,19,0.9,27.0
1728453490.28,20,1.4,20.0
1728453490.49,20,1.4,20.0
1728453490.69,20,1.4,20.0
1728453490.89,20,1.4,20.0
1728453491.09,20,1.4,20.0
1728453491.4,21,1.4,23.0
1728453491.6,21,1.4,23.0
1728453491.8,21,1.4,23.0
1728453492.01,21,1.4,23.0
1728453492.21,21,1.4,23.0
1728453492.51,22,0.0,23.0
1728453492.72,22,0.0,23.0
1728453492.92,22,0.0,23.0
1728453493.12,22,0.0,23.0
1728453493.32,22,0.0,23.0
1728453493.62,23,1.5,22.0
1728453493.83,23,1.5,22.0
1728453494.03,23,1.5,22.0
1728453494.23,23,1.5,22.0
1728453494.43,23,1.5,22.0
1728453494.74,24,1.5,26.0
1728453494.94,24,1.5,26.0
1728453495.14,24,1.5,26.0
1728453495.34,24,1.5,26.0
1728453495.54,24,1.5,26.0
1728453495.85,25,0.9,26.0
1728453496.05,25,0.9,26.0
1728453496.25,25,0.9,26.0
1728453496.45,25,0.9,26.0
